Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,15.58,15.6,14.65,14.8,14.8,108900,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-05,15.5,15.8,14.15,14.36,14.36,310300,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-08,14.63,15.11,14.37,14.43,14.43,214800,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-09,15.04,15.2,14.61,14.86,14.86,107400,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-10,14.86,15.45,14.86,15.2,15.2,137500,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-11,15.31,15.69,15.26,15.69,15.69,78800,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-12,15.69,15.75,15.07,15.48,15.48,69300,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-15,15.37,15.72,15.14,15.72,15.72,64100,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-16,15.45,15.73,15.26,15.68,15.68,83600,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-17,15.5,15.75,15.32,15.69,15.69,67200,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-18,15.56,15.78,15.42,15.51,15.51,76000,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-19,15.5,16.030001,15.35,15.95,15.95,330000,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-22,16.0,16.85,15.6,16.25,16.25,118300,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-23,16.32,16.77,15.4,15.58,15.58,94700,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-24,15.7,16.780001,15.45,15.5,15.5,151000,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-25,15.4,15.98,15.32,15.87,15.87,198400,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-26,15.92,15.93,15.54,15.77,15.77,94200,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-29,15.74,15.98,15.35,15.5,15.5,130000,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-30,15.48,16.190001,15.48,15.9,15.9,141900,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,,,
2021-03-31,15.92,16.35,15.92,15.93,15.93,171100,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,1.4650782826548747,,
2021-04-01,16.0,16.110001,15.55,15.9,15.9,70400,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,0.05492360605194868,,
2021-04-05,16.0,16.18,15.5,15.61,15.61,89400,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-3.2784607361355578,,
2021-04-06,15.53,15.78,15.0,15.0,15.0,176000,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-6.856664211648733,,
2021-04-07,14.92,15.08,14.36,14.44,14.44,168900,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-10.130599663070205,,
2021-04-08,14.44,14.85,14.35,14.63,14.63,256500,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-8.951788399233763,,
2021-04-09,14.54,15.08,14.45,14.99,14.99,219000,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-7.00835173219001,,
2021-04-12,15.0,15.0,14.32,14.38,14.38,138900,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-10.267020675428217,,
2021-04-13,14.43,14.52,14.08,14.48,14.48,56600,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-9.397660517668893,,
2021-04-14,14.43,14.57,14.11,14.46,14.46,59500,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-8.617257245691123,,
2021-04-15,14.6,14.62,14.33,14.53,14.53,41800,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-8.62989174411738,,
2021-04-16,14.65,14.68,14.26,14.56,14.56,58700,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-8.189579924326761,,
2021-04-19,14.56,14.82,14.35,14.46,14.46,49100,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-7.598683343250445,,
2021-04-20,14.38,14.76,13.84,13.87,13.87,119800,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-9.839077471510581,,
2021-04-21,13.9,14.76,13.9,14.56,14.56,122200,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-5.597951810925594,,
2021-04-22,14.61,14.75,14.15,14.24,14.24,142700,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-6.126469506178422,,
2021-04-23,14.35,14.71,14.06,14.25,14.25,116100,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-6.245026890589034,,
2021-04-26,14.36,14.51,14.03,14.41,14.41,95100,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-4.670612983741684,,
2021-04-27,14.21,14.73,14.17,14.68,14.68,95000,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-2.3265931077158353,,
2021-04-28,14.63,14.85,14.2,14.55,14.55,89400,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-2.3775499885779094,,
2021-04-29,14.64,14.77,14.31,14.6,14.6,64500,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-1.9530310589429,,
2021-04-30,14.48,14.68,14.2,14.41,14.41,106500,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-1.8210954532589807,,
2021-05-03,14.48,14.77,14.31,14.55,14.55,67000,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-0.6328022082361939,,
2021-05-04,15.19,15.19,14.31,14.4,14.4,75600,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-0.6771139967109208,,
2021-05-05,14.55,14.63,14.2,14.36,14.36,112200,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-0.8893664839260684,,
2021-05-06,14.38,14.47,14.08,14.4,14.4,83100,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-1.2143696080262,,
2021-05-07,14.79,15.55,14.75,15.39,15.39,286700,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,4.796125864544498,,
2021-05-10,15.4,15.4,14.82,15.0,15.0,140300,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,3.0724112094737244,,
2021-05-11,14.66,15.55,14.25,15.4,15.4,170500,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,6.421147147643769,,
2021-05-12,15.3,15.94,15.24,15.57,15.57,169400,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,9.441957863712114,,
2021-05-13,15.74,16.49,15.66,16.34,16.34,193900,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,12.685824912511334,,
2021-05-14,16.530001,16.959999,16.52,16.799999,16.799999,90200,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,13.277524507212846,,
2021-05-17,16.799999,17.040001,16.309999,16.43,16.43,351900,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,10.329147395378047,,
2021-05-18,16.52,16.98,16.52,16.540001,16.540001,111800,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,11.009263944620296,,
2021-05-19,16.389999,16.43,15.73,15.8,15.8,63700,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,5.842262218023508,,
2021-05-20,15.8,16.18,15.31,16.129999,16.129999,96600,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,6.287792722050511,,
2021-05-21,16.33,16.57,15.62,15.82,15.82,132000,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,3.7613478404882272,,
2021-05-24,15.87,16.450001,15.87,15.97,15.97,244700,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,3.205273379372864,,
2021-05-25,16.0,16.35,15.2,15.23,15.23,248400,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-1.5410900309719366,,
2021-05-26,15.23,15.84,15.21,15.79,15.79,234000,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,1.496509829656878,,
2021-05-27,15.97,16.440001,15.39,15.5,15.5,369600,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-0.7819019703733998,,
2021-05-28,15.75,15.75,15.18,15.37,15.37,64500,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-1.9658398462218174,,
2021-06-01,15.65,15.85,15.08,15.28,15.28,171800,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-2.7083870383465825,,
2021-06-02,15.33,15.41,15.08,15.39,15.39,111200,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-2.4100910686816635,,
2021-06-03,15.24,15.61,15.13,15.37,15.37,157600,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-2.468408000263911,,
2021-06-04,15.45,15.78,15.27,15.63,15.63,101400,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-2.036170899962819,,
2021-06-07,15.75,15.92,15.52,15.69,15.69,164100,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-1.6810220666217512,,
2021-06-08,15.72,15.82,15.31,15.55,15.55,120700,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-2.700617796141913,,
2021-06-09,15.53,15.75,15.4,15.52,15.52,96300,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-2.671182073952305,,
2021-06-10,15.69,16.379999,15.6,15.96,15.96,160300,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-0.28664627087560124,,
2021-06-11,16.030001,17.190001,16.030001,16.780001,16.780001,466800,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,4.663982746792095,,
2021-06-14,16.93,17.440001,16.9,17.309999,17.309999,173100,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,7.7128895328191005,,
2021-06-15,17.299999,17.360001,16.9,17.24,17.24,152700,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,7.332519951670102,,
2021-06-16,17.16,17.370001,16.950001,17.299999,17.299999,239900,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,8.162521746633079,,
2021-06-17,17.32,17.559999,17.23,17.379999,17.379999,211900,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,8.31292726060411,,
2021-06-18,17.290001,17.43,16.959999,17.01,17.01,414200,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,7.128817234547391,,
2021-06-21,17.139999,17.870001,16.85,17.75,17.75,344300,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,9.677643818365,,
2021-06-22,17.700001,18.49,17.4,18.379999,18.379999,352100,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,12.224890951820777,,
2021-06-23,18.4,18.49,18.209999,18.360001,18.360001,231200,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,11.226759937216002,,
2021-06-24,18.370001,19.08,18.27,18.84,18.84,428400,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,12.531491240879888,,
2021-06-25,18.870001,19.08,17.780001,17.83,17.83,387100,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,5.505984246078044,,
2021-06-28,17.77,18.16,17.549999,18.040001,18.040001,109600,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,5.767219987843264,,
2021-06-29,18.18,18.290001,17.51,17.549999,17.549999,130700,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,2.2832377214847543,,
2021-06-30,16.08,16.08,14.5,15.03,15.03,1611500,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,-12.344549686002516,,
2021-07-01,15.49,19.280001,15.29,18.799999,18.799999,6640300,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,8.14280296098917,,
2021-07-02,18.9,20.75,18.370001,20.57,20.57,1872300,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,15.958001996670657,,
2021-07-06,20.5,20.530001,19.139999,20.440001,20.440001,485000,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,14.068268943202678,,
2021-07-07,20.200001,20.540001,19.68,20.42,20.42,670800,GDYN,Grid Dynamics Holdings Inc,소프트웨어 및 IT서비스,12.205730245101144,,
