Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,8.73,9.15,8.56,8.94,8.310845,10620100,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-05,9.01,9.54,8.77,9.37,8.710584,8720100,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-08,9.05,9.57,9.0,9.5,8.831435,10677300,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-09,9.75,9.96,9.59,9.63,8.952288,6128000,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-10,9.56,9.57,9.29,9.32,8.664103,8113900,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-11,9.56,9.7,9.3,9.47,9.014399,8135200,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-12,9.19,9.39,9.18,9.32,8.871614,3456500,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-15,9.35,9.59,9.27,9.53,9.07151,12047800,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-16,9.56,9.66,9.45,9.59,9.128625,6407700,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-17,9.46,9.82,9.26,9.7,9.233333,8576900,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-18,9.55,9.85,9.49,9.75,9.280927,9007300,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-19,9.57,10.13,9.56,10.04,9.556975,16711800,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-22,10.12,10.33,9.74,9.76,9.290446,8553800,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-23,9.65,9.66,9.2,9.21,8.766906,8927900,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-24,9.15,9.21,9.01,9.02,8.586048,6317200,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-25,9.05,9.19,9.01,9.15,8.709793,5072000,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-26,9.08,9.42,9.08,9.36,8.909691,6132000,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-29,9.32,9.75,9.27,9.75,9.280927,5881500,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-30,9.35,9.44,9.16,9.3,8.852577,5931800,GFI,Gold Fields Ltd ADR,메탈&마이닝,,,
2021-03-31,9.2,9.62,9.16,9.49,9.033435,6245100,GFI,Gold Fields Ltd ADR,메탈&마이닝,-1.0850313579232163,,
2021-04-01,9.95,10.2,9.88,10.14,9.652164,7228600,GFI,Gold Fields Ltd ADR,메탈&마이닝,4.131033010615015,,
2021-04-05,10.18,10.41,10.07,10.24,9.747353,4646300,GFI,Gold Fields Ltd ADR,메탈&마이닝,3.5069901656299862,,
2021-04-06,10.34,10.39,10.03,10.23,9.737834,6753800,GFI,Gold Fields Ltd ADR,메탈&마이닝,3.4532645649056226,,
2021-04-07,10.13,10.16,10.01,10.1,9.614089,5336500,GFI,Gold Fields Ltd ADR,메탈&마이닝,2.007818111823312,,
2021-04-08,10.16,10.19,10.03,10.04,9.556975,5662300,GFI,Gold Fields Ltd ADR,메탈&마이닝,0.8509801742258238,,
2021-04-09,9.79,9.96,9.74,9.88,9.404674,2733600,GFI,Gold Fields Ltd ADR,메탈&마이닝,-1.4941778542827966,,
2021-04-12,9.79,9.79,9.4,9.47,9.014399,4405800,GFI,Gold Fields Ltd ADR,메탈&마이닝,-5.428395397256569,,
2021-04-13,9.41,9.61,9.33,9.48,9.023916,6432200,GFI,Gold Fields Ltd ADR,메탈&마이닝,-5.420731486711306,,
2021-04-14,9.44,9.54,9.27,9.36,8.909691,6392300,GFI,Gold Fields Ltd ADR,메탈&마이닝,-5.941645322039857,,
2021-04-15,9.48,9.99,9.44,9.89,9.414191,5717100,GFI,Gold Fields Ltd ADR,메탈&마이닝,-1.564752611424669,,
2021-04-16,10.07,10.09,9.95,10.07,9.585532,6075100,GFI,Gold Fields Ltd ADR,메탈&마이닝,0.04118269391064633,,
2021-04-19,9.94,10.06,9.74,9.87,9.395154,2643800,GFI,Gold Fields Ltd ADR,메탈&마이닝,-1.0213484364492431,,
2021-04-20,9.82,10.04,9.76,9.95,9.471305,4326500,GFI,Gold Fields Ltd ADR,메탈&마이닝,0.6122945034517935,,
2021-04-21,10.04,10.29,9.95,10.25,9.756872,3853000,GFI,Gold Fields Ltd ADR,메탈&마이닝,2.4741734032533103,,
2021-04-22,10.16,10.22,9.87,9.97,9.490342,5150800,GFI,Gold Fields Ltd ADR,메탈&마이닝,0.40906949856009955,,
2021-04-23,10.11,10.2,9.86,9.92,9.442749,3653600,GFI,Gold Fields Ltd ADR,메탈&마이닝,-1.2416977649172711,,
2021-04-26,10.02,10.04,9.88,10.02,9.537937,3292600,GFI,Gold Fields Ltd ADR,메탈&마이닝,-0.5018349926815269,,
2021-04-27,10.11,10.11,9.57,9.59,9.128625,6246500,GFI,Gold Fields Ltd ADR,메탈&마이닝,-4.42402285059309,,
2021-04-28,9.44,9.65,9.4,9.6,9.138144,4382300,GFI,Gold Fields Ltd ADR,메탈&마이닝,-4.134512452339967,,
2021-04-29,9.43,9.46,9.27,9.42,8.966803,3377300,GFI,Gold Fields Ltd ADR,메탈&마이닝,-6.266414743530236,,
2021-04-30,9.39,9.53,9.35,9.38,8.928728,3265400,GFI,Gold Fields Ltd ADR,메탈&마이닝,-5.435072367678573,,
2021-05-03,9.66,9.87,9.64,9.8,9.328523,4492900,GFI,Gold Fields Ltd ADR,메탈&마이닝,-1.1096112893635657,,
2021-05-04,9.78,9.95,9.49,9.6,9.138144,5222000,GFI,Gold Fields Ltd ADR,메탈&마이닝,-2.0497086882717563,,
2021-05-05,9.73,9.75,9.6,9.71,9.242852,2391600,GFI,Gold Fields Ltd ADR,메탈&마이닝,-0.6897159721506951,,
2021-05-06,9.68,10.11,9.66,9.96,9.480824,6782600,GFI,Gold Fields Ltd ADR,메탈&마이닝,1.2146144034724582,,
2021-05-07,10.37,10.62,10.21,10.48,9.975807,7093200,GFI,Gold Fields Ltd ADR,메탈&마이닝,5.5322468741223485,,
2021-05-10,10.81,10.85,10.31,10.36,9.86158,6837100,GFI,Gold Fields Ltd ADR,메탈&마이닝,5.022543056397244,,
2021-05-11,10.33,10.61,10.24,10.6,10.090034,6239800,GFI,Gold Fields Ltd ADR,메탈&마이닝,7.791695584493641,,
2021-05-12,10.7,10.77,10.49,10.57,10.061476,4709400,GFI,Gold Fields Ltd ADR,메탈&마이닝,9.077648254148674,,
2021-05-13,10.54,10.72,10.46,10.61,10.099552,3494800,GFI,Gold Fields Ltd ADR,메탈&마이닝,7.702896022149375,,
2021-05-14,10.94,11.25,10.88,11.22,10.680206,5111300,GFI,Gold Fields Ltd ADR,메탈&마이닝,11.563734747675468,,
2021-05-17,11.33,11.86,11.31,11.73,11.165668,8129100,GFI,Gold Fields Ltd ADR,메탈&마이닝,15.85662177942384,,
2021-05-18,11.94,12.08,11.76,11.93,11.356048,7515400,GFI,Gold Fields Ltd ADR,메탈&마이닝,17.673696160347507,,
2021-05-19,12.15,12.53,11.73,11.86,11.289414,12630200,GFI,Gold Fields Ltd ADR,메탈&마이닝,16.32064890770055,,
2021-05-20,12.07,12.35,12.02,12.15,11.565463,7913800,GFI,Gold Fields Ltd ADR,메탈&마이닝,16.71851482676596,,
2021-05-21,12.17,12.22,12.0,12.03,11.451236,8559900,GFI,Gold Fields Ltd ADR,메탈&마이닝,14.463678804036494,,
2021-05-24,12.08,12.13,11.86,11.94,11.365565,6124200,GFI,Gold Fields Ltd ADR,메탈&마이닝,11.495811087298314,,
