Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-03-19,GLG,TD Holdings Inc,운송업,34.25,34.25,32.5,33.5,33.5,904.0,,,,,,,,,,,,,False
2018-03-20,GLG,TD Holdings Inc,운송업,33.0,34.25,32.0,32.0,32.0,3904.0,,,,,,,,,,,,,False
2018-03-21,GLG,TD Holdings Inc,운송업,32.5,33.25,32.25,32.5,32.5,2700.0,,,,,,,,,,,,,False
2018-03-22,GLG,TD Holdings Inc,운송업,32.25,33.25,32.0,32.0,32.0,2436.0,,,,,,,,,,,,,False
2018-03-23,GLG,TD Holdings Inc,운송업,33.25,33.25,28.0,30.75,30.75,3704.0,,,,,,,,,,,,,False
2018-03-26,GLG,TD Holdings Inc,운송업,31.25,31.25,29.5,30.0,30.0,2808.0,,,,,,,,,,,,,False
2018-03-27,GLG,TD Holdings Inc,운송업,30.75,31.25,30.0,30.25,30.25,1580.0,,,,,,,,,,,,,False
2018-03-28,GLG,TD Holdings Inc,운송업,30.0,30.75,29.25,29.25,29.25,2784.0,,,,,,,,,,,,,False
2018-03-29,GLG,TD Holdings Inc,운송업,28.75,29.5,25.75,27.5,27.5,4116.0,,,,,,,,,,,,,False
2018-04-02,GLG,TD Holdings Inc,운송업,26.5,27.0,24.25,25.25,25.25,9000.0,,,,,,,,,,,,,False
2018-04-03,GLG,TD Holdings Inc,운송업,25.25,31.25,25.25,26.75,26.75,2964.0,,,,,,,,,,,,,False
2018-04-04,GLG,TD Holdings Inc,운송업,27.0,31.5,27.0,30.0,30.0,11368.0,,,,,,,,,,,,,False
2018-04-05,GLG,TD Holdings Inc,운송업,31.25,31.5,28.0,28.25,28.25,2252.0,,,,,,,,,,,,,False
2018-04-06,GLG,TD Holdings Inc,운송업,28.75,28.75,28.25,28.25,28.25,788.0,,,,,,,,,,,,,False
2018-04-09,GLG,TD Holdings Inc,운송업,28.25,28.75,26.25,28.5,28.5,1424.0,,,,,,,2.767857142857143,0.0903225806451613,,-0.06346810945932171,,,False
2018-04-10,GLG,TD Holdings Inc,운송업,28.75,31.0,27.5,29.5,29.5,3608.0,,,,,,,2.857142857142857,0.35,,-0.38800083729910895,,,False
2018-04-11,GLG,TD Holdings Inc,운송업,31.0,31.0,29.0,29.75,29.75,1232.0,,,,,,,2.9107142857142856,0.08588957055214724,,0.3359108103025371,,,False
2018-04-12,GLG,TD Holdings Inc,운송업,31.0,31.25,29.0,29.25,29.25,1960.0,,,,,,,2.982142857142857,-0.16766467065868262,,-0.5568469134339873,,,False
2018-04-13,GLG,TD Holdings Inc,운송업,29.5,29.75,28.25,29.25,29.25,1076.0,,,,,,,2.7142857142857144,0.0,,0.14399865498927852,,,False
2018-04-16,GLG,TD Holdings Inc,운송업,29.5,29.5,28.5,28.5,28.5,512.0,-4.6819618979033635,,,,,,2.6607142857142856,-0.2818791946308725,,-0.709788542264983,,,False
2018-04-17,GLG,TD Holdings Inc,운송업,29.25,30.0,28.75,29.5,29.5,1616.0,-1.7410543008487878,,,,,,2.6785714285714284,0.37333333333333335,,-0.23083134903860475,,,False
2018-04-18,GLG,TD Holdings Inc,운송업,29.25,30.5,29.0,29.5,29.5,908.0,-1.428647899433011,,,,,,2.6785714285714284,0.0,,-0.04954073910492361,,,False
