Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-12-07,10.12,10.19,10.11,10.13,10.13,4830100,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-08,10.14,10.18,10.13,10.15,10.15,73300,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-09,10.13,10.18,10.13,10.14,10.14,13100,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-10,10.18,10.18,10.18,10.18,10.18,100,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-13,10.18,10.18,10.1,10.1,10.1,409200,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-14,10.17,10.2,10.13,10.13,10.13,158600,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-15,10.13,10.13,10.12,10.13,10.13,24800,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-16,10.16,10.2,10.16,10.19,10.19,77500,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-17,10.19,10.23,10.19,10.2,10.2,36100,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-20,10.2,10.2,10.18,10.18,10.18,1100,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-21,10.22,10.22,10.18,10.21,10.21,3700,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-22,10.2,10.25,10.18,10.18,10.18,302200,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-23,10.25,10.25,10.22,10.22,10.22,1400,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-27,10.2,10.2,10.11,10.18,10.18,57700,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-28,10.11,10.25,10.11,10.215,10.215,1900,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-29,10.11,10.53,10.11,10.12,10.12,2300,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-30,10.22,10.22,10.2,10.2,10.2,700,GLLIU,Globalink Investment Units,기타 금융업,,,
2021-12-31,10.2,10.29,10.2,10.29,10.29,600,GLLIU,Globalink Investment Units,기타 금융업,,,
2022-01-03,10.23,10.245,10.21,10.245,10.245,7400,GLLIU,Globalink Investment Units,기타 금융업,,,
2022-01-04,10.25,10.26,10.225,10.26,10.26,11900,GLLIU,Globalink Investment Units,기타 금융업,-0.9959526555185616,,
2022-01-05,10.26,10.26,10.26,10.26,10.26,1100,GLLIU,Globalink Investment Units,기타 금융업,0.9122745701017232,,
2022-01-06,10.26,10.26,10.26,10.26,10.26,0,GLLIU,Globalink Investment Units,기타 금융업,0.9494267990277416,,
2022-01-07,10.23,10.25,10.23,10.23,10.23,5300,GLLIU,Globalink Investment Units,기타 금융업,1.0290546747287355,,
2022-01-10,10.22,10.24,10.21,10.24,10.24,8000,GLLIU,Globalink Investment Units,기타 금융업,1.198609297300779,,
2022-01-11,10.23,10.27,10.23,10.27,10.27,120000,GLLIU,Globalink Investment Units,기타 금융업,0.5371093868147492,,
2022-01-12,10.26,10.26,10.26,10.26,10.26,200,GLLIU,Globalink Investment Units,기타 금융업,0.1920506610894046,,
2022-01-13,10.26,10.28,10.21,10.28,10.28,6000,GLLIU,Globalink Investment Units,기타 금융업,1.7072647969695431,,
2022-01-14,10.28,10.28,10.28,10.28,10.28,0,GLLIU,Globalink Investment Units,기타 금융업,1.572373168614405,,
2022-01-18,10.28,10.28,10.28,10.28,10.28,0,GLLIU,Globalink Investment Units,기타 금융업,3.3834441141148863,,
2022-01-19,10.2,10.2,10.2,10.2,10.2,400,GLLIU,Globalink Investment Units,기타 금융업,3.5307499251094887,,
2022-01-20,10.11,10.2,10.11,10.19,10.19,10600,GLLIU,Globalink Investment Units,기타 금융업,4.398402585222794,,
2022-01-21,10.2,10.2,10.14,10.18,10.18,8900,GLLIU,Globalink Investment Units,기타 금융업,5.948655620278798,,
2022-01-24,10.18,10.18,10.18,10.18,10.18,0,GLLIU,Globalink Investment Units,기타 금융업,5.304620617048239,,
2022-01-25,10.18,10.18,10.18,10.18,10.18,0,GLLIU,Globalink Investment Units,기타 금융업,6.0890832640355,,
2022-01-26,9.916,10.15,9.915,10.15,10.15,36700,GLLIU,Globalink Investment Units,기타 금융업,5.458180537233237,,
2022-01-27,10.15,10.15,10.15,10.15,10.15,0,GLLIU,Globalink Investment Units,기타 금융업,5.4698695150988685,,
2022-01-28,10.15,10.15,10.15,10.15,10.15,0,GLLIU,Globalink Investment Units,기타 금융업,2.60367036136977,,
2022-01-31,10.34,10.34,10.1,10.25,10.25,900,GLLIU,Globalink Investment Units,기타 금융업,1.4417924045472263,,
2022-02-01,10.34,10.34,10.27,10.27,10.27,2700,GLLIU,Globalink Investment Units,기타 금융업,0.6703483713127678,,
2022-02-02,9.72,10.34,9.72,10.14,10.14,2200,GLLIU,Globalink Investment Units,기타 금융업,-1.6830955561077166,,
2022-02-03,10.04,10.29,9.74,10.28,10.28,600,GLLIU,Globalink Investment Units,기타 금융업,1.90950986162568,,
2022-02-04,10.23,10.34,10.12,10.135,10.135,4600,GLLIU,Globalink Investment Units,기타 금융업,-0.19212295227104548,,
2022-02-07,10.13,10.24,10.13,10.19,10.19,3000,GLLIU,Globalink Investment Units,기타 금융업,0.5323098384080849,,
2022-02-08,10.19,10.19,10.19,10.19,10.19,0,GLLIU,Globalink Investment Units,기타 금융업,-0.43973772295181623,,
2022-02-09,9.75,10.15,9.75,10.14,10.14,700,GLLIU,Globalink Investment Units,기타 금융업,-2.4137383177973537,,
2022-02-10,10.14,10.14,10.14,10.14,10.14,0,GLLIU,Globalink Investment Units,기타 금융업,-0.7895271158662398,,
2022-02-11,10.14,10.34,10.14,10.34,10.34,1500,GLLIU,Globalink Investment Units,기타 금융업,2.8207617742786795,,
2022-02-14,9.75,9.75,9.75,9.75,9.75,100,GLLIU,Globalink Investment Units,기타 금융업,-2.6946409175389707,,
2022-02-15,10.13,10.13,10.13,10.13,10.13,400,GLLIU,Globalink Investment Units,기타 금융업,-0.514552635980714,,
2022-02-16,10.12,10.35,10.12,10.33,10.33,53500,GLLIU,Globalink Investment Units,기타 금융업,1.2311959684103257,,
2022-02-17,10.33,10.33,10.33,10.33,10.33,0,GLLIU,Globalink Investment Units,기타 금융업,3.2282309207121385,,
2022-02-18,10.1,10.14,10.1,10.13,10.13,8200,GLLIU,Globalink Investment Units,기타 금융업,1.9276688116695917,,
2022-02-22,10.13,10.13,10.13,10.13,10.13,0,GLLIU,Globalink Investment Units,기타 금융업,2.8710807685601747,,
2022-02-23,10.13,10.15,10.12,10.12,10.12,7500,GLLIU,Globalink Investment Units,기타 금융업,4.564169663846429,,
2022-02-24,9.945,9.945,9.77,9.77,9.77,400,GLLIU,Globalink Investment Units,기타 금융업,-0.4195985631687993,,
2022-02-25,10.09,10.09,10.09,10.09,10.09,300,GLLIU,Globalink Investment Units,기타 금융업,0.6900636057913578,,
2022-02-28,10.09,10.09,10.09,10.09,10.09,0,GLLIU,Globalink Investment Units,기타 금융업,0.8999575392798276,,
2022-03-01,10.09,10.09,10.09,10.09,10.09,0,GLLIU,Globalink Investment Units,기타 금융업,2.322042723572393,,
2022-03-02,10.045,10.045,10.045,10.045,10.045,200,GLLIU,Globalink Investment Units,기타 금융업,-0.06645386230527128,,
2022-03-03,10.045,10.045,10.045,10.045,10.045,0,GLLIU,Globalink Investment Units,기타 금융업,0.2588456261859884,,
2022-03-04,10.045,10.045,10.045,10.045,10.045,0,GLLIU,Globalink Investment Units,기타 금융업,1.0067505227468132,,
2022-03-07,10.045,10.045,10.045,10.045,10.045,0,GLLIU,Globalink Investment Units,기타 금융업,3.7648551751300996,,
2022-03-08,10.045,10.045,10.045,10.045,10.045,0,GLLIU,Globalink Investment Units,기타 금융업,4.213673466965684,,
2022-03-09,10.045,10.045,10.045,10.045,10.045,0,GLLIU,Globalink Investment Units,기타 금융업,1.395429157123429,,
2022-03-10,10.045,10.045,10.045,10.045,10.045,0,GLLIU,Globalink Investment Units,기타 금융업,1.5086845901342905,,
2022-03-11,10.01,10.01,10.01,10.01,10.01,100,GLLIU,Globalink Investment Units,기타 금융업,2.1982852167800493,,
2022-03-14,10.01,10.01,10.01,10.01,10.01,0,GLLIU,Globalink Investment Units,기타 금융업,2.833028238287061,,
2022-03-15,10.01,10.01,10.01,10.01,10.01,0,GLLIU,Globalink Investment Units,기타 금융업,0.39071560405903316,,
2022-03-16,10.01,10.01,10.01,10.01,10.01,0,GLLIU,Globalink Investment Units,기타 금융업,-1.872902793787623,,
2022-03-17,10.01,10.01,10.01,10.01,10.01,0,GLLIU,Globalink Investment Units,기타 금융업,-2.988151430370123,,
2022-03-18,10.01,10.01,10.01,10.01,10.01,0,GLLIU,Globalink Investment Units,기타 금융업,-3.869166248917355,,
2022-03-21,10.01,10.01,10.01,10.01,10.01,1500,GLLIU,Globalink Investment Units,기타 금융업,-3.650738184019342,,
2022-03-22,10.072,10.072,10.072,10.072,10.072,300,GLLIU,Globalink Investment Units,기타 금융업,-3.888445285240405,,
2022-03-23,10.072,10.072,10.072,10.072,10.072,0,GLLIU,Globalink Investment Units,기타 금융업,-2.411106885747083,,
2022-03-24,10.09,10.09,10.09,10.09,10.09,200,GLLIU,Globalink Investment Units,기타 금융업,-3.523669006814878,,
2022-03-25,10.09,10.09,10.09,10.09,10.09,0,GLLIU,Globalink Investment Units,기타 금융업,-3.843236921003801,,
2022-03-28,10.101,10.101,10.032,10.032,10.032,700,GLLIU,Globalink Investment Units,기타 금융업,-4.838739579816053,,
2022-03-29,10.042,10.16,10.03,10.15,10.15,17300,GLLIU,Globalink Investment Units,기타 금융업,-4.571177491966505,,
2022-03-30,10.15,10.15,10.15,10.15,10.15,0,GLLIU,Globalink Investment Units,기타 금융업,-3.7895288411194272,,
2022-03-31,10.05,10.05,10.05,10.05,10.05,100,GLLIU,Globalink Investment Units,기타 금융업,-3.0455589796604454,,
2022-04-01,10.03,10.03,10.03,10.03,10.03,300,GLLIU,Globalink Investment Units,기타 금융업,-3.326389054790524,,
2022-04-04,10.04,10.04,10.04,10.04,10.04,5300,GLLIU,Globalink Investment Units,기타 금융업,-3.58387535088619,,
2022-04-05,10.04,10.04,10.04,10.04,10.04,0,GLLIU,Globalink Investment Units,기타 금융업,-1.9489307622187813,,
2022-04-06,10.04,10.04,10.04,10.04,10.04,0,GLLIU,Globalink Investment Units,기타 금융업,-0.7507928154491528,,
2022-04-07,10.15,10.15,10.15,10.15,10.15,6200,GLLIU,Globalink Investment Units,기타 금융업,0.13963761793607254,,
2022-04-08,10.17,10.17,10.17,10.17,10.17,2000,GLLIU,Globalink Investment Units,기타 금융업,0.861126788482447,,
2022-04-11,10.17,10.17,10.17,10.17,10.17,0,GLLIU,Globalink Investment Units,기타 금융업,2.807443936270726,,
2022-04-12,10.01,10.01,10.01,10.01,10.01,300,GLLIU,Globalink Investment Units,기타 금융업,1.7005464873134146,,
2022-04-13,10.15,10.16,10.15,10.16,10.16,3000,GLLIU,Globalink Investment Units,기타 금융업,2.11139274725769,,
2022-04-14,10.058,10.058,10.058,10.058,10.058,2700,GLLIU,Globalink Investment Units,기타 금융업,2.2814562173517405,,
2022-04-18,10.02,10.16,10.02,10.14,10.14,1600,GLLIU,Globalink Investment Units,기타 금융업,2.9844648373314575,,
