Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2022-01-03,9.78,9.85,9.78,9.85,9.85,500200,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,,,,,
2022-01-04,9.9,9.95,9.9,9.95,9.95,300,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,,,,,
2022-01-05,9.857,9.95,9.857,9.95,9.95,315300,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,,,,,
2022-01-06,9.95,9.95,9.95,9.95,9.95,0,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,,,,,
2022-01-07,9.92,9.92,9.92,9.92,9.92,16500,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,,,,,
2022-01-10,9.92,9.92,9.92,9.92,9.92,0,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,,,,,
2022-01-11,9.92,9.92,9.92,9.92,9.92,0,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,,,,,
2022-01-12,9.92,9.92,9.92,9.92,9.92,70000,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,,,,,
2022-01-13,9.95,9.95,9.89,9.91,9.91,61000,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,,,,,
2022-01-14,9.9,9.9,9.89,9.89,9.89,73400,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,,,,,
2022-01-18,9.88,9.89,9.88,9.88,9.88,5300,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,,,,,
2022-01-19,9.91,9.91,9.9,9.9,9.9,50200,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,,,,,
2022-01-20,9.9,9.9,9.9,9.9,9.9,400,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,,,,,
2022-01-21,9.9,9.9,9.9,9.9,9.9,0,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,,,,,
2022-01-24,9.9,9.9,9.9,9.9,9.9,0,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,0.024499999999999744,0.0,,-0.14315497833729232,
2022-01-25,9.9,9.9,9.9,9.9,9.9,0,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,0.017357142857142627,0.0,,0.5909634436170887,
2022-01-26,9.89,9.89,9.89,9.89,9.89,155800,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,0.011428571428571186,-0.8749999999999999,,-0.8059449935619842,
2022-01-27,9.89,9.89,9.87,9.87,9.87,304700,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,0.01285714285714271,-1.5555555555556784,,-1.319214062264758,
2022-01-28,9.87,9.87,9.87,9.87,9.87,0,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,,,,0.010714285714285612,0.0,,-0.9948566043280334,
2022-01-31,9.9,9.9,9.899,9.9,9.9,32500,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,1.1370294439289719,,,0.012857142857142836,2.3333333333334254,,1.547140983373804,
2022-02-01,9.95,9.95,9.93,9.94,9.94,7400,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,0.5457085343939072,,,0.01642857142857133,2.4347826086956146,,2.141942456662161,
2022-02-02,9.95,9.95,9.94,9.95,9.95,6200,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,-0.5038933891260866,,,0.017142857142857033,0.5833333333333246,,0.18093025628100468,
2022-02-03,9.95,9.95,9.95,9.95,9.95,0,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,1.7373295192658622,,,0.012857142857142836,0.0,,1.0340255891339045,
2022-02-04,9.95,9.95,9.95,9.95,9.95,1500,GVCI,Green Visor Financial Technology Acquisition I Corp,기타 금융업,1.0025514482072895,,,0.011428571428571439,0.0,,-0.20810089655571898,
