Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,15.0,15.0,15.0,15.0,14.342851,0,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-05,15.0,15.0,15.0,15.0,14.342851,0,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-08,15.0,15.0,15.0,15.0,14.342851,0,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-09,15.0,15.0,15.0,15.0,14.342851,600,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-10,15.0,15.0,14.75,14.97,14.314164,4800,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-11,15.5,15.5,15.395,15.395,14.720548,1400,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-12,15.4,15.4,15.4,15.4,14.725327,400,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-15,15.265,15.45,15.265,15.265,14.596242,31200,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-16,15.62,15.625,15.265,15.265,14.596242,2600,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-17,15.265,15.265,15.265,15.265,14.596242,400,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-18,15.5,15.75,15.5,15.75,15.059994,2000,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-19,15.86,15.86,15.495,15.495,14.816166,4400,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-22,15.67,15.98,15.67,15.95,15.251232,1400,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-23,15.53,15.995,15.53,15.995,15.294261,600,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-24,15.25,15.705,15.25,15.705,15.016966,1000,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-25,15.705,15.705,15.705,15.705,15.016966,0,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-26,15.06,15.52,15.06,15.515,14.835289,2000,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-29,15.705,15.705,15.705,15.705,15.016966,800,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-30,15.5,15.5,15.5,15.5,14.820947,400,HFBL,Home Federal Bancorp Inc of Louisiana,은행,,,
2021-03-31,15.75,15.75,15.7,15.7,15.012184,2200,HFBL,Home Federal Bancorp Inc of Louisiana,은행,0.3320560068373224,,
