Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,3.6,3.75,3.6,3.7,3.7,404000,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,,,,,
2018-03-07,3.7,3.78,3.63,3.7,3.7,583900,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,,,,,
2018-03-08,3.75,3.75,3.7,3.75,3.75,88900,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,,,,,
2018-03-09,3.75,3.75,3.4,3.55,3.55,1275400,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,,,,,
2018-03-12,3.55,3.75,3.55,3.7,3.7,811400,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,,,,,
2018-03-13,3.75,3.9,3.7,3.75,3.75,949600,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,,,,,
2018-03-14,3.75,3.85,3.7,3.7,3.7,328600,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,,,,,
2018-03-15,3.75,3.75,3.6,3.65,3.65,314800,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,,,,,
2018-03-16,3.65,3.9,3.6,3.85,3.85,1350400,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,,,,,
2018-03-19,3.85,3.95,3.7,3.9,3.9,639200,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,,,,,
2018-03-20,3.9,3.95,3.85,3.85,3.85,358700,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,,,,,
2018-03-21,3.85,3.9,3.65,3.8,3.8,597600,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,,,,,
2018-03-22,3.75,3.95,3.75,3.9,3.9,405100,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,,,,,
2018-03-23,3.9,3.98,3.8,3.8,3.8,388600,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,,,,,
2018-03-26,3.8,3.9,3.7,3.85,3.85,407400,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,0.19499999999999998,0.25641025641025783,,-1.5653500176355326,
2018-03-27,3.9,3.95,3.8,3.85,3.85,321600,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,0.195,0.0,,1.0899182719076979,
2018-03-28,3.85,3.95,3.75,3.9,3.9,323300,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,0.20571428571428574,0.24305555555555466,,0.41744041155070755,
2018-03-29,3.9,3.9,3.75,3.8,3.8,313900,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,0.19142857142857145,-0.5223880597014929,,-1.334677749430794,
2018-04-02,3.8,3.85,3.7,3.75,3.75,238500,HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,,,,0.18785714285714286,-0.26615969581748955,,0.9349565073714282,
