Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2021-07-01,HTZ,Hertz Global Holdings Inc,운송업,22.0,35.0,16.0,26.99,26.99,2339600.0,,,,,,,,,,,,,False
2021-07-02,HTZ,Hertz Global Holdings Inc,운송업,29.799999,29.799999,23.5,23.959999,23.959999,2002700.0,,,,,,,,,,,,,False
2021-07-06,HTZ,Hertz Global Holdings Inc,운송업,23.389999,23.75,19.780001,21.75,21.75,1570000.0,,,,,,,,,,,,,False
2021-07-07,HTZ,Hertz Global Holdings Inc,운송업,21.1,22.700001,20.18,21.450001,21.450001,846900.0,,,,,,,,,,,,,False
2021-07-08,HTZ,Hertz Global Holdings Inc,운송업,21.450001,21.450001,19.110001,19.23,19.23,765400.0,,,,,,,,,,,,,False
2021-07-09,HTZ,Hertz Global Holdings Inc,운송업,19.1,21.43,18.6,20.9,20.9,904800.0,,,,,,,,,,,,,False
2021-07-12,HTZ,Hertz Global Holdings Inc,운송업,20.25,23.74,20.25,21.35,21.35,633700.0,,,,,,,,,,,,,False
2021-07-13,HTZ,Hertz Global Holdings Inc,운송업,23.0,23.0,19.799999,20.1,20.1,343300.0,,,,,,,,,,,,,False
2021-07-14,HTZ,Hertz Global Holdings Inc,운송업,21.0,21.0,19.08,19.43,19.43,414100.0,,,,,,,,,,,,,False
2021-07-15,HTZ,Hertz Global Holdings Inc,운송업,19.5,19.5,19.0,19.120001,19.120001,266100.0,,,,,,,,,,,,,False
2021-07-16,HTZ,Hertz Global Holdings Inc,운송업,19.120001,20.0,18.809999,19.0,19.0,221300.0,,,,,,,,,,,,,False
2021-07-19,HTZ,Hertz Global Holdings Inc,운송업,18.25,18.99,17.35,17.92,17.92,575600.0,,,,,,,,,,,,,False
2021-07-20,HTZ,Hertz Global Holdings Inc,운송업,18.0,18.700001,17.809999,17.879999,17.879999,470700.0,,,,,,,,,,,,,False
2021-07-21,HTZ,Hertz Global Holdings Inc,운송업,17.825001,18.24,17.32,17.85,17.85,292200.0,,,,,,,,,,,,,False
2021-07-22,HTZ,Hertz Global Holdings Inc,운송업,18.0,18.24,17.18,17.26,17.26,240800.0,,,,,,,2.3564287142857134,-0.2503788875187095,,-0.44771127907432406,,,False
2021-07-23,HTZ,Hertz Global Holdings Inc,운송업,18.18,18.18,16.6,16.77,16.77,250700.0,,,,,,,2.019285928571428,-0.24266003792076107,,-1.218298606188477,,,False
2021-07-26,HTZ,Hertz Global Holdings Inc,운송업,16.0,16.75,15.0,15.0,15.0,846200.0,,,,,,,1.8471432142857136,-0.9582364736588412,,-1.199041359242779,,,False
2021-07-27,HTZ,Hertz Global Holdings Inc,운송업,15.0,15.99,14.15,15.63,15.63,370200.0,,,,,,,1.7985717142857136,0.350277942767603,,0.814327899576329,,,False
2021-07-28,HTZ,Hertz Global Holdings Inc,운송업,15.99,17.75,15.81,16.0,16.0,643000.0,,,,,,,1.7828574285714278,0.2075320180237147,,0.22703765842710097,,,False
2021-07-29,HTZ,Hertz Global Holdings Inc,운송업,16.790001,18.5,15.9,17.790001,17.790001,467000.0,-8.922040569118261,,,,,,1.7664288571428564,1.0133445186664756,,0.5562900621853832,,,False
2021-07-30,HTZ,Hertz Global Holdings Inc,운송업,17.780001,19.1,17.75,18.75,18.75,291800.0,-1.2721110223868903,,,,,,1.6135717142857138,0.5949527941650653,,1.1778210056644247,,,False
2021-08-02,HTZ,Hertz Global Holdings Inc,운송업,18.700001,19.25,17.5,18.1,18.1,242100.0,-2.96993460060172,,,,,,1.5100002142857138,-0.43046351507140196,,-0.23687181904038662,,,False
2021-08-03,HTZ,Hertz Global Holdings Inc,운송업,20.0,20.0,16.700001,17.549999,17.549999,273800.0,-5.528889267556158,,,,,,1.6085715714285709,-0.3419188861528532,,-1.1744498591929493,,,False
2021-08-04,HTZ,Hertz Global Holdings Inc,운송업,17.35,17.99,16.469999,16.6,16.6,396100.0,-8.97921026763633,,,,,,1.681428785714285,-0.5649950851747972,,-0.08250290341197214,,,False
2021-08-05,HTZ,Hertz Global Holdings Inc,운송업,16.18,17.5,16.18,16.52,16.52,206300.0,-9.168491199871598,,,,,,1.6907144285714277,-0.047317275258364,,-0.6977802851790077,,,False
2021-08-06,HTZ,Hertz Global Holdings Inc,운송업,17.0,17.0,16.360001,16.440001,16.440001,197900.0,-8.559848921550383,,,,,,1.6185714999999994,-0.049425681843527365,,-0.2628213959657728,,,False
