Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,76.010002,76.300003,73.150002,74.800003,74.028008,1062000,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-05,76.139999,76.599998,71.489998,75.199997,74.423866,976900,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-08,75.839996,76.940002,74.959999,75.860001,75.077057,490600,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-09,76.620003,79.580002,75.5,78.879997,78.065895,1029600,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-10,79.970001,80.57,77.900002,78.400002,77.590851,694900,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-11,78.57,79.57,77.379997,78.809998,77.996628,413200,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-12,79.080002,79.519997,77.970001,78.879997,78.065895,495600,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-15,79.339996,79.339996,77.410004,78.639999,77.828377,491500,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-16,78.699997,78.980003,76.120003,76.720001,75.9282,745100,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-17,76.550003,78.400002,76.309998,77.480003,76.680351,625600,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-18,77.519997,78.989998,77.190002,78.029999,77.224663,583200,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-19,77.900002,79.139999,77.110001,78.459999,77.650223,833400,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-22,78.199997,79.5,77.440002,78.010002,77.20488,972800,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-23,77.82,78.5,75.919998,76.239998,75.45314,473900,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-24,76.5,77.730003,74.459999,74.650002,73.879547,1422900,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-25,74.080002,74.580002,71.650002,73.82,73.058121,1216700,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-26,74.879997,75.010002,72.330002,73.0,72.246582,1257900,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-29,72.290001,72.980003,71.230003,72.540001,71.791328,1286700,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-30,72.790001,73.160004,71.580002,72.32,71.573593,634700,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,,,
2021-03-31,72.300003,73.830002,72.300003,73.040001,72.286171,668200,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,-5.490400186946487,,
2021-04-01,73.150002,74.739998,73.040001,73.669998,72.909668,807900,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,-5.419166441294021,,
2021-04-05,74.629997,76.510002,74.349998,75.120003,74.344711,851100,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,-4.646710622976635,,
2021-04-06,75.080002,75.699997,74.400002,74.739998,73.96862,534200,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,-4.665090724960463,,
2021-04-07,74.629997,74.809998,73.0,74.010002,73.246155,903800,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,-5.189929365246815,,
2021-04-08,74.230003,74.470001,73.190002,73.629997,72.870079,599500,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,-5.545483393371287,,
2021-04-09,73.690002,74.800003,73.040001,74.470001,73.701408,754700,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,-4.706618389602168,,
2021-04-12,74.599998,74.900002,73.639999,74.07,73.30555,492200,IBKR,Interactive Brokers Group Inc,투자은행 및 서비스,-4.681176548115051,,
