Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2018-03-12,2.67,2.85,2.65,2.85,2.85,16000,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,,,,,,
2018-03-13,2.82,2.82,2.65,2.68,2.68,11700,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,,,,,,
2018-03-14,2.66,2.66,2.58,2.64,2.64,13600,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,,,,,,
2018-03-15,2.62,2.84,2.58,2.6,2.6,61400,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,,,,,,
2018-03-16,2.62,2.86,2.6,2.86,2.86,29500,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,,,,,,
2018-03-19,2.8,2.8,2.58,2.62,2.62,41000,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,,,,,,
2018-03-20,2.62,2.62,2.33,2.45,2.45,116400,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,,,,,,
2018-03-21,2.42,2.49,2.36,2.45,2.45,99100,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,,,,,,
2018-03-22,2.41,2.41,2.2,2.26,2.26,198500,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,,,,,,
2018-03-23,2.16,2.18,1.82,1.9,1.9,293100,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,,,,,,
2018-03-26,1.99,2.0,1.56,1.65,1.65,515900,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,,,,,,
2018-03-27,1.68,1.8,1.53,1.6,1.6,274500,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,,,,,,
2018-03-28,1.59,1.67,1.5,1.64,1.64,69300,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,,,,,,
2018-03-29,1.64,1.82,1.62,1.8,1.8,117800,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,,,,,,
2018-04-02,1.8,1.8,1.71,1.76,1.76,40200,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,0.2414285714285714,-0.16568047337278122,,1.0354357298161365,,
2018-04-03,1.79,1.85,1.7,1.74,1.74,29700,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,0.23785714285714282,-0.08408408408408417,,-0.7468376900052927,,
2018-04-04,1.75,1.82,1.68,1.82,1.82,9400,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,0.2407142857142857,0.33234421364985195,,-0.2463882050027157,,
2018-04-05,1.8,1.92,1.8,1.91,1.91,18400,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,0.23071428571428568,0.3900928792569654,,0.04548212020209835,,
2018-04-06,1.89,2.02,1.82,1.94,1.94,26900,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,,,,0.22642857142857142,0.1324921135646689,,1.1547234822028452,,
2018-04-09,2.09,2.09,1.95,2.05,2.05,43700,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,-2.699418129488418,,,0.21714285714285714,0.5065789473684205,,0.3527882572639375,,
2018-04-10,2.05,2.13,2.0,2.06,2.06,34000,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,-2.326812073349005,,,0.2057142857142857,0.048611111111112236,,-0.6893897261879967,,
2018-04-11,2.04,2.04,1.96,1.96,1.96,9400,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,-5.194329260310237,,,0.20357142857142854,-0.4912280701754391,,-0.24120683042504926,,
2018-04-12,1.98,2.03,1.96,2.01,2.01,12500,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,-2.287192842210617,,,0.19071428571428567,0.2621722846441939,,-0.12700995813111077,,
2018-04-13,1.98,1.99,1.91,1.94,1.94,14800,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,-4.075228479061021,,,0.16642857142857137,-0.4206008583690979,,-0.27660220337981933,,
2018-04-16,1.93,2.11,1.9,2.03,2.03,17900,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,1.440553487252716,,,0.14999999999999997,0.5999999999999992,,0.17209065236588877,,
2018-04-17,2.05,2.1,2.03,2.04,2.04,10400,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,2.316009636118044,,,0.1357142857142857,0.0736842105263175,,-0.5304804718456206,,
2018-04-18,2.02,2.03,1.95,1.95,1.95,6200,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,-1.0581548566678811,,,0.13,-0.6923076923076928,,-0.7418484314126165,,
2018-04-19,1.96,2.1,1.96,2.08,2.08,39200,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,7.110568692237607,,,0.12642857142857145,1.0282485875706222,0.10859451209878974,1.3850875039500998,0.03898887352934176,
2018-04-20,2.1,2.11,2.08,2.09,2.09,20500,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,9.09789024151686,,,0.12214285714285714,0.08187134502923803,0.12627678484179114,0.6620394287692939,0.012317709168852997,
2018-04-23,2.09,2.09,1.95,1.96,1.96,22200,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,2.306723436802871,,,0.12142857142857141,-1.070588235294117,0.05581220261250308,-1.0745100306230921,-0.01108745801813268,
2018-04-24,1.95,2.0,1.89,1.89,1.89,22800,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,-0.6788256152778893,,,0.11928571428571426,-0.5868263473053899,-0.00984283745572848,0.36421556492334606,0.03252709697658602,
2018-04-25,1.94,1.98,1.89,1.93,1.93,9900,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,0.4113613908311775,,,0.11714285714285713,0.3414634146341467,-0.013316370643072669,0.2139097621728782,0.044557642831641715,
2018-04-26,1.94,2.05,1.94,2.0,2.0,7100,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,2.134664323282931,,,0.11142857142857142,0.6282051282051289,0.022091701831245897,-0.15590041282066436,-0.049058349670037533,
2018-04-27,2.01,2.07,2.0,2.07,2.07,10500,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,4.922217690365227,,,0.10571428571428569,0.6621621621621608,0.03320478860222735,0.5719639461545184,-0.033402943320710324,
2018-04-30,2.03,2.12,2.02,2.12,2.12,7300,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,7.478816419321799,,,0.10357142857142856,0.4827586206896578,0.06421532500069489,1.1727791364376858,0.09960911829540985,
2018-05-01,2.1,2.1,1.94,2.0,2.0,16300,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,0.5446025885009531,,,0.10928571428571429,-1.0980392156862755,0.020871671749920866,-1.3074805003414032,0.02344671330138456,
2018-05-02,1.98,2.05,1.97,2.0,2.0,20000,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,0.7991535495422974,,,0.11,0.0,0.0021450799896213036,0.5980292804061811,0.07523523033976255,
2018-05-03,2.0,2.0,1.91,1.95,1.95,10700,IDN,Intellicheck Inc,소프트웨어 및 IT서비스,-1.6571770016773346,,,0.1092857142857143,-0.45751633986928136,-0.000491740117534659,-0.2748092842198605,0.07536329599404534,
