Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2021-07-14,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,5.0,6.18,4.43,4.75,4.75,6621700.0,,,,,,,,,,,,,False
2021-07-15,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,4.51,5.88,4.31,5.2,5.2,8376400.0,,,,,,,,,,,,,False
2021-07-16,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,4.96,5.3,4.68,4.77,4.77,1643100.0,,,,,,,,,,,,,False
2021-07-19,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,4.68,5.15,4.2,4.88,4.88,1298300.0,,,,,,,,,,,,,False
2021-07-20,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,4.89,5.263,4.642,5.03,5.03,1116800.0,,,,,,,,,,,,,False
2021-07-21,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,4.87,5.17,4.53,4.53,4.53,954100.0,,,,,,,,,,,,,False
2021-07-22,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,4.54,5.0,4.42,4.79,4.79,640400.0,,,,,,,,,,,,,False
2021-07-23,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,4.71,4.79,4.2,4.38,4.38,651000.0,,,,,,,,,,,,,False
2021-07-26,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,4.36,4.59,3.86,4.08,4.08,607100.0,,,,,,,,,,,,,False
2021-07-27,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,3.94,4.131,3.75,3.92,3.92,355400.0,,,,,,,,,,,,,False
2021-07-28,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,3.88,3.9,3.61,3.75,3.75,347400.0,,,,,,,,,,,,,False
2021-07-29,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,3.76,4.0,3.672,3.89,3.89,569700.0,,,,,,,,,,,,,False
2021-07-30,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,3.85,4.37,3.773,3.92,3.92,885500.0,,,,,,,,,,,,,False
2021-08-02,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,3.99,4.74,3.99,4.19,4.19,507300.0,,,,,,,,,,,,,False
2021-08-03,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,4.14,4.27,4.02,4.04,4.04,263000.0,,,,,,,0.6419285714285714,-0.2336708579058646,,-1.0662018309459607,,,False
2021-08-04,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,4.02,4.17,3.91,3.97,3.97,138300.0,,,,,,,0.5483571428571429,-0.12765403152272994,,0.35483815024009513,,,False
2021-08-05,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,3.939,4.174,3.905,4.03,4.03,141500.0,,,,,,,0.5232857142857144,0.11466011466011475,,-0.5358028952605289,,,False
2021-08-06,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,4.08,4.36,4.03,4.22,4.22,797600.0,,,,,,,0.479,0.3966597077244249,,0.18326399360217946,,,False
2021-08-09,IINN,Inspira Technologies Oxy BHN Ltd,헬스케어 장비 및 용품,4.15,4.5,4.15,4.43,4.43,332200.0,,,,,,,0.4596428571428572,0.4568764568764568,,0.5948585935138891,,,False
