Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,8.3,8.45,8.3,8.45,8.45,3400,IMRN,Immuron Ltd ADR,제약,,,,,,,,
2018-03-07,8.45,8.45,8.45,8.45,8.45,0,IMRN,Immuron Ltd ADR,제약,,,,,,,,
2018-03-08,13.7,16.700001,13.39,13.686,13.686,231900,IMRN,Immuron Ltd ADR,제약,,,,,,,,
2018-03-09,13.7,14.5,11.0,11.35,11.35,64700,IMRN,Immuron Ltd ADR,제약,,,,,,,,
2018-03-12,11.35,11.35,11.35,11.35,11.35,0,IMRN,Immuron Ltd ADR,제약,,,,,,,,
2018-03-13,14.49,14.5,13.5,14.0,14.0,46300,IMRN,Immuron Ltd ADR,제약,,,,,,,,
2018-03-14,13.5,13.5,12.5,12.7,12.7,23500,IMRN,Immuron Ltd ADR,제약,,,,,,,,
2018-03-15,12.564,12.873,12.5,12.55,12.55,10400,IMRN,Immuron Ltd ADR,제약,,,,,,,,
2018-03-16,12.14,12.4,11.36,12.298,12.298,13400,IMRN,Immuron Ltd ADR,제약,,,,,,,,
2018-03-19,11.95,11.95,11.75,11.75,11.75,7800,IMRN,Immuron Ltd ADR,제약,,,,,,,,
2018-03-20,11.4,11.457,11.0,11.1,11.1,5800,IMRN,Immuron Ltd ADR,제약,,,,,,,,
2018-03-21,11.38,12.489,11.38,12.468,12.468,7000,IMRN,Immuron Ltd ADR,제약,,,,,,,,
2018-03-22,12.68,12.68,12.0,12.0,12.0,3000,IMRN,Immuron Ltd ADR,제약,,,,,,,,
2018-03-23,11.93,11.93,11.2,11.2,11.2,12300,IMRN,Immuron Ltd ADR,제약,,,,,,,,
2018-03-26,11.0,11.318,11.0,11.2,11.2,4000,IMRN,Immuron Ltd ADR,제약,,,,1.6034286428571431,0.0,,-1.8217602740457903,
2018-03-27,11.048,11.218,11.01,11.218,11.218,2300,IMRN,Immuron Ltd ADR,제약,,,,1.618285785714286,0.011122880864986256,,1.1010411527726842,
2018-03-28,11.22,11.75,11.22,11.58,11.58,7700,IMRN,Immuron Ltd ADR,제약,,,,1.0670000000000002,0.3392689784442362,,0.5136538344393891,
2018-03-29,11.52,11.749,11.47,11.51,11.51,5500,IMRN,Immuron Ltd ADR,제약,,,,0.8369285714285716,-0.08363915678074625,,-0.8959288465100473,
