Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,11.06,11.25,10.93,11.06,11.06,527900,INVA,Innoviva Inc,제약,,,
2021-03-05,11.21,11.52,10.92,11.51,11.51,594700,INVA,Innoviva Inc,제약,,,
2021-03-08,11.52,11.81,11.4,11.7,11.7,426700,INVA,Innoviva Inc,제약,,,
2021-03-09,11.74,12.1,11.61,11.63,11.63,1254000,INVA,Innoviva Inc,제약,,,
2021-03-10,11.68,11.81,11.55,11.77,11.77,476700,INVA,Innoviva Inc,제약,,,
2021-03-11,11.85,11.96,11.72,11.85,11.85,371100,INVA,Innoviva Inc,제약,,,
2021-03-12,11.91,12.08,11.66,12.04,12.04,470600,INVA,Innoviva Inc,제약,,,
2021-03-15,11.98,12.09,11.84,12.08,12.08,266800,INVA,Innoviva Inc,제약,,,
2021-03-16,12.05,12.1,11.93,12.0,12.0,517300,INVA,Innoviva Inc,제약,,,
2021-03-17,12.04,12.28,11.92,12.27,12.27,376300,INVA,Innoviva Inc,제약,,,
2021-03-18,12.2,12.26,11.79,11.84,11.84,419400,INVA,Innoviva Inc,제약,,,
2021-03-19,11.84,12.3,11.84,12.26,12.26,1095400,INVA,Innoviva Inc,제약,,,
2021-03-22,12.3,12.44,12.2,12.35,12.35,353300,INVA,Innoviva Inc,제약,,,
2021-03-23,12.26,12.29,11.86,11.87,11.87,605800,INVA,Innoviva Inc,제약,,,
2021-03-24,11.87,12.0,11.6,11.62,11.62,437600,INVA,Innoviva Inc,제약,,,
2021-03-25,11.6,11.77,11.52,11.68,11.68,320700,INVA,Innoviva Inc,제약,,,
2021-03-26,11.77,12.03,11.73,11.91,11.91,275400,INVA,Innoviva Inc,제약,,,
2021-03-29,11.91,12.35,11.91,12.13,12.13,788700,INVA,Innoviva Inc,제약,,,
2021-03-30,12.1,12.86,11.84,11.89,11.89,831200,INVA,Innoviva Inc,제약,,,
2021-03-31,11.86,12.11,11.86,11.95,11.95,533800,INVA,Innoviva Inc,제약,-0.7257491185657328,,
2021-04-01,12.0,12.04,11.83,11.96,11.96,283000,INVA,Innoviva Inc,제약,-1.8691934998856463,,
2021-04-05,12.08,12.34,11.99,12.3,12.3,503400,INVA,Innoviva Inc,제약,-0.5493019924766585,,
2021-04-06,12.36,12.43,12.24,12.3,12.3,338700,INVA,Innoviva Inc,제약,-0.38250261693192344,,
2021-04-07,12.29,12.47,12.2,12.33,12.33,422800,INVA,Innoviva Inc,제약,-0.3214072534739265,,
