Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2021-06-11,34.0,37.990002,23.450001,25.15,25.15,2386500,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2021-06-14,26.469999,26.469999,19.879999,20.16,20.16,895000,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2021-06-15,20.916,20.916,16.32,18.58,18.58,338400,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2021-06-16,17.26,19.48,16.76,18.879999,18.879999,288300,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2021-06-17,18.389999,20.0,18.02,18.66,18.66,368300,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2021-06-18,17.055,19.700001,17.055,19.68,19.68,133700,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2021-06-21,18.608999,21.93,18.608999,20.870001,20.870001,134800,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2021-06-22,21.24,22.1,19.83,22.040001,22.040001,67300,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2021-06-23,22.299999,23.4,21.440001,23.209999,23.209999,153400,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2021-06-24,23.280001,25.99,22.209999,24.82,24.82,220200,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2021-06-25,25.030001,25.030001,24.0,24.790001,24.790001,210800,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2021-06-28,24.549999,25.632999,24.327,24.620001,24.620001,150000,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2021-06-29,24.620001,25.52,23.055,25.370001,25.370001,133700,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2021-06-30,25.16,25.5,24.639999,24.950001,24.950001,74400,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,,
2021-07-01,24.959999,25.59,24.6,25.34,25.34,357000,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,2.608071642857143,0.1495353860650682,,-0.6081129384483767,,
2021-07-02,25.299999,25.986,22.77,25.4,25.4,257100,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,2.367071642857143,0.025347775248397847,,-1.032927621805205,,
2021-07-06,25.5,27.67,25.190001,26.09,26.09,481700,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,2.2159287142857145,0.31138185788725464,,0.5840022675637199,,
2021-07-07,26.0,27.379999,25.0,27.299999,27.299999,177300,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,2.191642928571429,0.5520967782779785,,0.08205264571092286,,
2021-07-08,26.51,27.469999,25.84,26.85,26.85,406200,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,,,,2.1666428571428575,-0.20769412850690583,,0.9106414969676362,,
2021-07-09,26.629999,27.91,26.4,27.790001,27.790001,355200,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,15.782770930411294,,,2.085571357142858,0.4507162973736652,,-1.0311132993284415,,
2021-07-12,27.610001,28.48,26.360001,26.67,26.67,501600,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,10.571851344153504,,,1.9997855000000004,-0.5600605664957558,,-1.0588694196200406,,
2021-07-13,27.01,27.99,26.07,27.35,27.35,297200,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,12.23866189068319,,,1.9747855,0.34434119553743925,,0.8707071143255786,,
2021-07-14,27.27,27.370001,26.1,26.610001,26.610001,107000,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,7.429793420451669,,,1.9254999285714285,-0.38431525705068337,,-0.5514767625086807,,
2021-07-15,26.4,26.889999,25.985001,26.790001,26.790001,374000,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,6.929499463309674,,,1.7201425714285714,0.10464248893654812,,0.5687718729917193,,
2021-07-16,26.700001,27.0,26.17,26.75,26.75,227700,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,5.956357511319887,,,1.7058567857142857,-0.023449213518384977,,0.9696528767634724,,
2021-07-19,26.32,26.92,25.530001,26.65,26.65,306800,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,5.870086733962809,,,1.711856785714286,-0.05841610164735575,,1.7221422108646276,,
2021-07-20,26.57,28.238001,26.455,27.860001,27.860001,319800,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,7.6537479670467645,,,1.663142571428572,0.7275389499293858,,-0.7671309850641823,,
2021-07-21,27.4,29.450001,27.395,28.68,28.68,461000,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,8.655175971408791,,,1.7484997142857146,0.46897291049028267,0.13575988375192388,-0.3266278141151683,0.02369368887839871,
2021-07-22,28.74,30.51,28.74,30.370001,30.370001,380000,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,13.438202046978898,,,1.8084997142857149,0.9344767857303653,0.1918271265851594,0.7371443941747508,0.11978349835147924,
2021-07-23,30.26,30.65,29.524,30.51,30.51,300800,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,11.815007820649036,,,1.6592140000000004,0.08437669884656414,0.19604347827074273,-0.8912618694211518,0.1299024806646259,
2021-07-26,30.209999,30.84,28.41,28.41,28.41,497100,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,3.342384314570257,,,1.6556426428571431,-1.2683896546515803,0.08320265594654022,-1.5091945402355182,-0.0196115770353197,
2021-07-27,28.18,29.135,26.780001,27.6,27.6,483400,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,0.4411170596775982,,,1.6538569285714289,-0.48976425107077537,0.008784010993057796,-0.02571429426204941,-0.02730921560481771,
2021-07-28,27.870001,29.25,27.42,28.33,28.33,191000,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,2.6839964170098707,,,1.6681427142857144,0.4376124379217621,0.054877337166534076,0.45711807832514834,-0.05970374550785256,
2021-07-29,28.42,31.5,28.42,31.27,31.27,162400,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,11.733515230338586,,,1.786714142857143,1.6454786635866852,0.1402175061817498,1.1884242071055928,0.09883464780886418,
2021-07-30,31.5,32.43,30.49,32.43,32.43,96700,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,15.13331888273064,,,1.7738570714285715,0.6539422023815014,0.22693198967298242,1.2368104138808609,0.26281177877321427,
2021-08-02,32.73,34.150002,31.610001,34.02,34.02,61000,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,19.216667289533863,,,1.8181428571428575,0.8745187396872807,0.26480181425511395,1.068110435718296,0.27691201601555127,
2021-08-03,33.720001,34.064999,32.490002,32.990002,32.990002,156100,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,13.400967257414532,,,1.8399282857142865,-0.5598033401612423,0.2522669511757883,-1.3923343132013384,0.2168507623946471,
2021-08-04,32.990002,34.189999,32.77,33.91,33.91,90000,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,15.839529483093418,,,1.876714071428572,0.49021745720683424,0.2798080203379516,0.9727096389696593,0.2457034599645,
2021-08-05,34.34,35.93,33.02,34.689999,34.689999,110800,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,16.380453829640928,,,2.0252855000000003,0.3851303927273481,0.30899227792693257,-0.26533261719329554,0.15749021039615943,
2021-08-06,35.0,35.799999,30.02,30.469999,30.469999,201200,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,1.668165613055539,,,2.338856928571429,-1.8043001897416486,0.18428627163448305,-2.017695903863894,-0.10964108351302072,
2021-08-09,30.75,32.59,30.68,31.700001,31.700001,255500,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,5.040395614647508,,,2.362928357142857,0.52054138513419,0.1695007312919691,0.6585235217716223,-0.00780861873903468,
2021-08-10,31.700001,32.68,31.219999,32.110001,32.110001,106000,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,5.535833677515867,,,2.320428357142857,0.17669151419302148,0.14862348869930758,0.023320075441368465,0.01718765908643223,
2021-08-11,31.559999,32.330002,30.530001,31.370001,31.370001,97600,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,2.243078869126758,,,2.3182855714285715,-0.31920140000008557,0.059075046861418214,-0.5198956487307465,-0.07260091540681757,
2021-08-12,31.139999,33.709999,30.482,32.220001,32.220001,95900,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,3.769674577916815,,,2.468428357142858,0.34434866117964147,0.07764447274235231,-0.3471080286567697,-0.03373278392364742,
2021-08-13,32.220001,32.220001,30.421,30.51,30.51,390600,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,-2.3489633197841253,,,2.4233570000000006,-0.7056331361825771,0.11784136691870968,-0.981991027939762,0.003924609811763751,
2021-08-16,30.51,31.09,28.254999,29.35,29.35,294100,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,-6.5035700834037975,,,2.457642857142858,-0.4719969773592582,0.11911045789810373,-0.932461902708636,-0.060843076505849594,
2021-08-17,29.209999,30.809999,28.6,30.780001,30.780001,130800,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,-1.5847504317356376,,,2.4847856428571435,0.5755027618220231,0.1289597667481224,1.7125388200515443,0.0288298336174644,
2021-08-18,30.780001,32.0,29.35,29.43,29.43,308800,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,-4.951981703116992,,,2.447642785714286,-0.5515514796028675,-0.027970957765417075,1.0541614545996776,0.019239637009899026,
2021-08-19,29.16,30.08,26.870001,27.389999,27.389999,147800,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,-11.186442089415117,,,2.538357,-0.80366985416157,-0.13208610466135076,-0.9803284110591486,-0.13912742191438737,
2021-08-20,27.389999,29.700001,26.375,28.43,28.43,179700,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,-8.221157042377513,,,2.594428428571429,0.4008593910500188,-0.16591891527829805,-0.7419958355998736,-0.2684207270085423,27.32400024
2021-08-23,28.92,30.27,28.4,28.629999,28.629999,128400,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,-8.334997967633207,,,2.6155000714285714,0.07646683025734481,-0.12047104596268465,-1.136908114359492,-0.250175998519839,27.39360022
2021-08-24,29.01,30.120001,28.129999,29.52,29.52,65200,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,-5.835614484572915,,,2.6562145714285714,0.3350636690172721,-0.13155345940479624,0.1154828213931886,-0.311406485489587,27.58080022
2021-08-25,29.620001,30.295,29.26,29.51,29.51,84900,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,-6.160391856786607,,,2.5222860000000003,-0.003964657457559535,-0.15934596298943252,-0.3390427740148136,-0.316671496691124,27.79940022
2021-08-26,29.360001,32.830002,28.815001,31.01,31.01,118600,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,-0.7143277526468927,,,2.396214714285715,0.6259873086736859,0.014246001183091392,1.475541989809523,-0.06715450428587985,28.042000239999997
2021-08-27,31.09,34.689999,30.559999,33.139999,33.139999,155500,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,5.20100645253474,,,2.539786071428572,0.8386529180396385,0.036968253533480565,-0.35886508846117215,-0.13982511930250802,28.33160022
2021-08-30,33.07,34.48,31.84,32.720001,32.720001,130300,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,3.8158390586387814,,,2.6240717142857144,-0.1600558390662449,0.012914871157818683,-0.7347559808020173,-0.19397340903417845,28.592400240000003
2021-08-31,32.799999,34.98,31.620001,34.099998,34.099998,67600,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,8.277296029196668,,,2.7355001428571426,0.5044770345208731,0.07174904505217287,0.6843111547018544,-0.10795863736042123,28.85700018
2021-09-01,34.310001,35.73,31.49,31.950001,31.950001,115200,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,1.8870202147798887,,,2.8077859285714277,-0.7657268234455094,-0.007542060992480758,-0.8081748591579618,-0.14089198239622067,29.055200179999996
2021-09-02,31.280001,32.544998,30.955,32.009998,32.009998,130400,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,2.3626532935076883,,,2.7928571428571423,0.021482301790282318,0.04439475600558063,-0.3542847932012744,-0.09605582277204297,29.23120016
2021-09-03,31.91,32.73,30.645,31.280001,31.280001,187300,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,0.04085662436990045,,,2.739285642857142,-0.26649174097762207,0.05907370146141178,-0.2198950429767383,-0.04515818993405028,29.360400180000003
2021-09-07,31.549999,33.98,28.497999,29.58,29.58,221600,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,-4.653545000020354,,,2.97300007142857,-0.5718133061406638,-0.022877446250208718,-0.05507209984967765,-0.17141611278413757,29.456200159999998
2021-09-08,29.17,30.315001,26.040001,26.66,26.66,228700,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,-13.109557390057692,,,3.0890714999999993,-0.945267857995517,-0.05100004470682654,-0.7304118567224971,-0.2988856350214357,29.49700014
2021-09-09,27.0,29.459999,26.504999,28.57,28.57,190200,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,-5.967289664523923,,,3.070857285714285,0.6219761526806779,0.05083181292476259,1.3975155619631918,-0.12903963694841142,29.56100012
