Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,12.8,13.05,12.56,12.56,12.56,9100,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-05,12.4,12.71,12.38,12.38,12.38,500,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-08,12.39,12.45,12.39,12.4,12.4,1900,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-09,12.31,12.33,12.31,12.33,12.33,400,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-10,12.33,12.33,12.26,12.3,12.3,4600,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-11,12.4,12.75,12.4,12.44,12.44,17600,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-12,12.45,12.75,12.41,12.46,12.46,2600,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-15,12.6,12.75,12.51,12.6,12.6,5700,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-16,12.54,12.54,12.42,12.42,12.42,2900,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-17,12.41,12.41,12.12,12.12,12.12,6300,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-18,12.27,12.45,12.27,12.45,12.45,1400,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-19,12.33,12.4,12.33,12.4,12.4,1800,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-22,12.45,12.45,12.45,12.45,12.45,2000,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-23,12.27,12.33,12.2,12.2,12.2,4200,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-24,12.37,12.37,12.06,12.06,12.06,1400,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-25,12.0,12.29,12.0,12.07,12.07,3300,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-26,12.04,12.15,12.04,12.15,12.15,900,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-29,12.15,12.28,12.07,12.07,12.07,2300,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-30,12.04,12.04,12.03,12.03,12.03,500,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,,,
2021-03-31,12.06,12.35,12.02,12.34,12.34,8300,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,-1.1917974928844832,,
2021-04-01,12.34,12.34,12.34,12.34,12.34,200,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,-1.9360866061790771,,
2021-04-05,12.36,12.36,12.2,12.2,12.2,1000,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,-4.0752046309266765,,
2021-04-06,12.2,12.2,12.2,12.2,12.2,0,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,-3.5949078431489645,,
2021-04-07,12.37,12.37,12.25,12.27,12.27,1200,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,-2.912382977956074,,
2021-04-08,12.16,12.16,12.15,12.15,12.15,600,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,-3.9724597587167954,,
2021-04-09,12.15,12.15,12.15,12.15,12.15,0,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,-4.375004908399838,,
2021-04-12,12.14,12.22,12.14,12.22,12.22,600,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,-3.492430154763859,,
2021-04-13,12.1,12.19,12.08,12.08,12.08,2400,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,-4.509925962026551,,
2021-04-14,12.08,12.08,12.08,12.08,12.08,0,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,-3.7943740856965613,,
2021-04-15,12.06,12.06,12.06,12.06,12.06,400,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,-4.760465761559562,,
2021-04-16,12.26,12.26,12.07,12.1,12.1,1600,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,-4.333297161528349,,
2021-04-19,12.04,12.22,12.04,12.04,12.04,2600,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,-3.8594000172365472,,
2021-04-20,12.02,12.24,12.01,12.23,12.23,2800,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,-1.3426105719769876,,
2021-04-21,12.05,12.05,12.05,12.05,12.05,100,KEQU,Kewaunee Scientific Corp,전문 및 상업 서비스,-3.316044324709344,,
