Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-03-19,KOS,Kosmos Energy Ltd,오일 및 가스,6.26,6.26,6.0,6.06,5.785549,1534500.0,,,,,,,,,,,,,False
2018-03-20,KOS,Kosmos Energy Ltd,오일 및 가스,6.12,6.24,6.1,6.18,5.900114,1166400.0,,,,,,,,,,,,,False
2018-03-21,KOS,Kosmos Energy Ltd,오일 및 가스,6.21,6.38,6.18,6.33,6.043321,1426900.0,,,,,,,,,,,,,False
2018-03-22,KOS,Kosmos Energy Ltd,오일 및 가스,6.21,6.35,6.13,6.13,5.852379,1656500.0,,,,,,,,,,,,,False
2018-03-23,KOS,Kosmos Energy Ltd,오일 및 가스,6.19,6.4,6.14,6.25,5.966944,1964500.0,,,,,,,,,,,,,False
2018-03-26,KOS,Kosmos Energy Ltd,오일 및 가스,6.34,6.37,6.12,6.36,6.071963,1343600.0,,,,,,,,,,,,,False
2018-03-27,KOS,Kosmos Energy Ltd,오일 및 가스,6.34,6.38,6.1,6.13,5.852379,1479100.0,,,,,,,,,,,,,False
2018-03-28,KOS,Kosmos Energy Ltd,오일 및 가스,6.13,6.21,6.02,6.09,5.81419,1088300.0,,,,,,,,,,,,,False
2018-03-29,KOS,Kosmos Energy Ltd,오일 및 가스,6.12,6.33,6.12,6.3,6.01468,1354200.0,,,,,,,,,,,,,False
2018-04-02,KOS,Kosmos Energy Ltd,오일 및 가스,6.23,6.23,5.85,5.95,5.68053,1346400.0,,,,,,,,,,,,,False
2018-04-03,KOS,Kosmos Energy Ltd,오일 및 가스,6.01,6.07,5.87,6.02,5.74736,2115800.0,,,,,,,,,,,,,False
2018-04-04,KOS,Kosmos Energy Ltd,오일 및 가스,5.89,6.06,5.84,6.04,5.766455,1441600.0,,,,,,,,,,,,,False
2018-04-05,KOS,Kosmos Energy Ltd,오일 및 가스,6.06,6.3,6.06,6.25,5.966944,1407200.0,,,,,,,,,,,,,False
2018-04-06,KOS,Kosmos Energy Ltd,오일 및 가스,6.18,6.24,6.0,6.16,5.88102,1544800.0,,,,,,,,,,,,,False
2018-04-09,KOS,Kosmos Energy Ltd,오일 및 가스,6.23,6.39,6.16,6.17,5.890567,2009800.0,,,,,,,0.2457142857142858,0.040697674418603766,,-0.11309301568587925,,,False
2018-04-10,KOS,Kosmos Energy Ltd,오일 및 가스,6.37,6.42,6.12,6.24,5.957397,9825600.0,,,,,,,0.25428571428571434,0.27528089887640556,,-0.46271993842270337,,,False
2018-04-11,KOS,Kosmos Energy Ltd,오일 및 가스,6.28,6.59,6.21,6.48,6.186527,3532900.0,,,,,,,0.2671428571428572,0.8983957219251344,,1.1484169616755242,,,False
2018-04-12,KOS,Kosmos Energy Ltd,오일 및 가스,6.41,6.56,6.36,6.47,6.17698,2654200.0,,,,,,,0.2657142857142857,-0.037634408602153085,,-0.4268166513774577,,,False
2018-04-13,KOS,Kosmos Energy Ltd,오일 및 가스,6.56,6.68,6.44,6.67,6.367923,2283200.0,,,,,,,0.26357142857142846,0.7588075880758818,,0.9028062430651603,,,False
2018-04-16,KOS,Kosmos Energy Ltd,오일 및 가스,6.69,6.72,6.6,6.63,6.329734,2080300.0,4.867759443733144,,,,,,0.25428571428571417,-0.15730337078651707,,-0.5852127184206275,,,False
2018-04-17,KOS,Kosmos Energy Ltd,오일 및 가스,6.63,6.72,6.6,6.67,6.367923,663800.0,3.8798068840620203,,,,,,0.24285714285714274,0.1647058823529414,,-0.43945880001899673,,,False
2018-04-18,KOS,Kosmos Energy Ltd,오일 및 가스,6.81,6.93,6.7,6.76,6.453846,1929200.0,4.706134219448277,,,,,,0.24785714285714272,0.3631123919308354,,0.31357165282591176,,,False
2018-04-19,KOS,Kosmos Energy Ltd,오일 및 가스,6.8,6.87,6.67,6.77,6.463393,1953900.0,5.0689232160509246,,,,,,0.24499999999999986,0.0408163265306114,,0.3976552429100891,,,False
2018-04-20,KOS,Kosmos Energy Ltd,오일 및 가스,6.74,6.98,6.71,6.9,6.587506,2070700.0,7.412743059321936,,,,,,0.232142857142857,0.5600000000000037,,1.1401680837400596,,,False
2018-04-23,KOS,Kosmos Energy Ltd,오일 및 가스,6.76,6.9,6.71,6.88,6.568412,1811500.0,6.736567728237053,,,,,,0.23142857142857132,-0.08641975308642179,,-0.09034154841539695,,,False
2018-04-24,KOS,Kosmos Energy Ltd,오일 및 가스,6.94,7.07,6.64,6.71,6.40611,2160800.0,5.174105520522709,,,,,,0.24642857142857139,-0.689855072463768,,0.2611868397649679,,,False
2018-04-25,KOS,Kosmos Energy Ltd,오일 및 가스,6.69,6.88,6.64,6.84,6.530224,1635400.0,6.4761146549009885,,,,,,0.24499999999999997,0.5306122448979588,,0.4030585924366903,,,False
2018-04-26,KOS,Kosmos Energy Ltd,오일 및 가스,6.83,7.19,6.81,7.15,6.826184,3445300.0,9.381325160221433,,,,,,0.25428571428571434,1.2191011235955074,0.2771655176903588,0.43499558256971416,0.20601546618907543,,False
2018-04-27,KOS,Kosmos Energy Ltd,오일 및 가스,7.13,7.16,6.91,6.92,6.6066,1507700.0,5.30191318491835,,,,,,0.2557142857142858,-0.8994413407821243,0.2100127308903068,-0.9896395567897668,0.1434049989673692,,False
2018-04-30,KOS,Kosmos Energy Ltd,오일 및 가스,6.89,7.12,6.81,7.04,6.721166,1800900.0,7.241036335456141,,,,,,0.25642857142857156,0.46796657381615614,0.22377599338600326,1.1579870895641844,0.25916978668071833,,False
2018-05-01,KOS,Kosmos Energy Ltd,오일 및 가스,7.01,7.06,6.89,7.0,6.682977,934900.0,5.6485872530546155,,,,,,0.24142857142857155,-0.16568047337278113,0.1477705508647236,-0.3751217580279087,0.1503455924161874,,False
2018-05-02,KOS,Kosmos Energy Ltd,오일 및 가스,6.99,7.18,6.99,7.08,6.759354,1450400.0,6.770820865508376,,,,,,0.24071428571428585,0.3323442136498517,0.1741975953112954,0.9303734940560329,0.2472877456614367,,False
2018-05-03,KOS,Kosmos Energy Ltd,오일 및 가스,7.02,7.15,6.9,7.0,6.682977,1294400.0,5.145100358485655,,,,,,0.2414285714285716,-0.33136094674556216,0.09632841425262083,-0.1486538910961413,0.17218345036420088,,False
2018-05-04,KOS,Kosmos Energy Ltd,오일 및 가스,6.97,7.04,6.85,6.89,6.577959,2961000.0,1.738182213965933,,,,,,0.24642857142857164,-0.44637681159420384,0.07568031133778605,-1.427833995440443,0.1119962162913569,,False
