Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-03-19,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,34.799999,34.799999,34.799999,34.799999,34.799999,80.0,,,,,,,,,,,,,False
2018-03-20,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,35.0,36.0,35.0,36.0,36.0,175.0,,,,,,,,,,,,,False
2018-03-21,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,36.0,36.0,35.0,35.0,35.0,185.0,,,,,,,,,,,,,False
2018-03-22,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,35.0,35.0,32.0,32.0,32.0,545.0,,,,,,,,,,,,,False
2018-03-23,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,31.0,31.0,28.0,31.0,31.0,915.0,,,,,,,,,,,,,False
2018-03-26,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,31.0,31.0,28.0,28.0,28.0,590.0,,,,,,,,,,,,,False
2018-03-27,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,30.0,30.0,22.200001,26.0,26.0,3250.0,,,,,,,,,,,,,False
2018-03-28,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,25.6,26.0,25.0,26.0,26.0,355.0,,,,,,,,,,,,,False
2018-03-29,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,28.0,28.0,25.0,25.0,25.0,10355.0,,,,,,,,,,,,,False
2018-04-02,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,25.0,26.0,25.0,26.0,26.0,1175.0,,,,,,,,,,,,,False
2018-04-03,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,27.0,27.0,25.0,25.0,25.0,3005.0,,,,,,,,,,,,,False
2018-04-04,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,25.0,26.0,25.0,26.0,26.0,2745.0,,,,,,,,,,,,,False
2018-04-05,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,26.0,26.0,25.0,26.0,26.0,70.0,,,,,,,,,,,,,False
2018-04-06,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,25.0,25.0,19.0,24.0,24.0,1255.0,,,,,,,,,,,,,False
2018-04-09,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,24.0,24.0,23.0,23.0,23.0,455.0,,,,,,,2.642857142857143,-0.3783783783783784,,-0.5321690684828614,,,False
2018-04-10,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,23.0,24.0,20.0,20.0,20.0,200.0,,,,,,,2.8428570714285715,-1.0552764084240303,,-1.7932772457231392,,,False
2018-04-11,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,20.0,26.0,20.0,26.0,26.0,1720.0,,,,,,,3.1999999285714287,1.8750000418526795,,2.1250212816030696,,,False
2018-04-12,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,27.0,28.0,25.0,27.0,27.0,1370.0,,,,,,,3.1999999285714287,0.31250000697544655,,-0.07668223579985811,,,False
2018-04-13,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,28.0,28.0,25.0,26.0,26.0,955.0,,,,,,,3.128571357142857,-0.31963471049394315,,-0.17563605550466463,,,False
2018-04-16,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,25.0,26.0,25.0,25.0,25.0,1410.0,-9.740376764104663,,,,,,2.9857142142857143,-0.334928237677709,,-0.7628375853118194,,,False
2018-04-17,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,25.0,26.0,23.4,24.0,24.0,4530.0,-12.591764353123914,,,,,,2.6142857142857143,-0.3825136612021858,,-0.9866783435741239,,,False
2018-04-18,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,24.0,26.0,24.0,25.0,25.0,140.0,-7.186349092683608,,,,,,2.685714285714286,0.3723404255319149,,0.32279968642699125,,,False
2018-04-19,KSPN,Kaspien Holdings Inc,소프트웨어 및 IT서비스,24.0,26.0,24.0,26.0,26.0,180.0,-1.3042544044527093,,,,,,2.6142857142857143,0.3825136612021858,,0.7393525775816634,,,False
