Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2022-01-25,9.93,9.98,9.93,9.95,9.95,3189200,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-01-26,9.95,9.98,9.95,9.97,9.97,139700,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-01-27,9.99,10.0,9.975,9.975,9.975,367900,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-01-28,9.98,10.0,9.98,10.0,10.0,85100,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-01-31,9.96,9.96,9.96,9.96,9.96,500,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-02-01,10.0,10.0,10.0,10.0,10.0,100000,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-02-02,9.98,9.98,9.978,9.978,9.978,6000,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-02-03,9.96,9.988,9.96,9.98,9.98,1100,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-02-04,9.97,9.98,9.97,9.98,9.98,200,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-02-07,9.98,9.98,9.98,9.98,9.98,4300,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-02-08,9.97,9.97,9.97,9.97,9.97,100,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-02-09,9.96,9.96,9.96,9.96,9.96,500,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-02-10,9.96,10.0,9.96,10.0,10.0,2900,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-02-11,9.96,9.96,9.96,9.96,9.96,700,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-02-14,9.96,9.96,9.96,9.96,9.96,300,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-02-15,9.96,9.96,9.96,9.96,9.96,400,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-02-16,9.96,9.96,9.96,9.96,9.96,0,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-02-17,9.96,9.96,9.96,9.96,9.96,100,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-02-18,9.96,9.96,9.96,9.96,9.96,6200,KYCHU,Keyarch Acquisition Units,기타 금융업,,,
2022-02-22,9.96,9.96,9.95,9.96,9.96,9600,KYCHU,Keyarch Acquisition Units,기타 금융업,3.212726859927839,,
2022-02-23,9.95,9.97,9.95,9.97,9.97,9200,KYCHU,Keyarch Acquisition Units,기타 금융업,5.077326252476788,,
2022-02-24,9.99,9.99,9.98,9.99,9.99,16200,KYCHU,Keyarch Acquisition Units,기타 금융업,3.650253915396684,,
2022-02-25,9.99,9.99,9.99,9.99,9.99,0,KYCHU,Keyarch Acquisition Units,기타 금융업,1.4433431479121683,,
2022-02-28,9.95,9.99,9.95,9.99,9.99,900,KYCHU,Keyarch Acquisition Units,기타 금융업,1.6293188929157765,,
2022-03-01,9.99,9.99,9.99,9.99,9.99,0,KYCHU,Keyarch Acquisition Units,기타 금융업,2.9650624282511195,,
2022-03-02,9.99,9.99,9.99,9.99,9.99,0,KYCHU,Keyarch Acquisition Units,기타 금융업,0.9061013220747371,,
2022-03-03,9.97,9.97,9.97,9.97,9.97,400,KYCHU,Keyarch Acquisition Units,기타 금융업,0.9883439511948922,,
2022-03-04,9.97,9.97,9.97,9.97,9.97,2000,KYCHU,Keyarch Acquisition Units,기타 금융업,1.6293729593853667,,
2022-03-07,9.99,9.99,9.96,9.97,9.97,6200,KYCHU,Keyarch Acquisition Units,기타 금융업,4.362074173124508,,
2022-03-08,9.99,9.99,9.95,9.99,9.99,25400,KYCHU,Keyarch Acquisition Units,기타 금융업,4.942212953487868,,
2022-03-09,9.99,9.99,9.99,9.99,9.99,0,KYCHU,Keyarch Acquisition Units,기타 금융업,2.021814346467976,,
2022-03-10,9.98,9.98,9.95,9.95,9.95,50200,KYCHU,Keyarch Acquisition Units,기타 금융업,1.6855287486710502,,
2022-03-11,9.95,9.99,9.95,9.97,9.97,46500,KYCHU,Keyarch Acquisition Units,기타 금융업,2.889387688594902,,
2022-03-14,9.99,10.02,9.99,10.02,10.02,39300,KYCHU,Keyarch Acquisition Units,기타 금융업,3.8473203692755753,,
2022-03-15,9.99,9.99,9.975,9.99,9.99,142000,KYCHU,Keyarch Acquisition Units,기타 금융업,1.189167200833685,,
2022-03-16,10.115,10.127,9.98,9.989,9.989,22800,KYCHU,Keyarch Acquisition Units,기타 금융업,-1.173802927060963,,
2022-03-17,9.989,9.989,9.989,9.989,9.989,0,KYCHU,Keyarch Acquisition Units,기타 금융업,-2.4602201732301987,,
2022-03-18,9.989,9.989,9.989,9.989,9.989,0,KYCHU,Keyarch Acquisition Units,기타 금융업,-3.510412168152699,,
2022-03-21,9.97,9.974,9.96,9.967,9.967,3500,KYCHU,Keyarch Acquisition Units,기타 금융업,-3.5644638363310333,,
2022-03-22,9.951,9.951,9.93,9.94,9.94,3100,KYCHU,Keyarch Acquisition Units,기타 금융업,-4.67335124911078,,
2022-03-23,9.94,9.94,9.94,9.94,9.94,0,KYCHU,Keyarch Acquisition Units,기타 금융업,-3.219009775491677,,
2022-03-24,9.94,9.94,9.94,9.94,9.94,0,KYCHU,Keyarch Acquisition Units,기타 금융업,-4.317042655731774,,
2022-03-25,9.94,9.94,9.94,9.94,9.94,0,KYCHU,Keyarch Acquisition Units,기타 금융업,-4.611639257595501,,
2022-03-28,9.95,9.961,9.95,9.95,9.95,1300,KYCHU,Keyarch Acquisition Units,기타 금융업,-4.966505181941261,,
2022-03-29,9.93,10.02,9.93,10.02,10.02,13200,KYCHU,Keyarch Acquisition Units,기타 금융업,-5.1323331060692645,,
2022-03-30,10.02,10.02,10.02,10.02,10.02,0,KYCHU,Keyarch Acquisition Units,기타 금융업,-4.321029376858787,,
2022-03-31,10.02,10.02,10.02,10.02,10.02,0,KYCHU,Keyarch Acquisition Units,기타 금융업,-2.643109745605743,,
2022-04-01,10.02,10.02,10.02,10.02,10.02,0,KYCHU,Keyarch Acquisition Units,기타 금융업,-2.7622493464261932,,
2022-04-04,10.02,10.02,10.02,10.02,10.02,0,KYCHU,Keyarch Acquisition Units,기타 금융업,-3.1438558965288688,,
2022-04-05,10.02,10.02,10.02,10.02,10.02,1800,KYCHU,Keyarch Acquisition Units,기타 금융업,-1.51794162711415,,
2022-04-06,10.02,10.02,10.02,10.02,10.02,0,KYCHU,Keyarch Acquisition Units,기타 금융업,-0.3316645696194165,,
2022-04-07,9.95,9.95,9.95,9.95,9.95,300,KYCHU,Keyarch Acquisition Units,기타 금융업,-1.1719537736157193,,
2022-04-08,10.06,10.14,10.06,10.14,10.14,600,KYCHU,Keyarch Acquisition Units,기타 금융업,1.2366875018990253,,
2022-04-11,10.14,10.14,10.14,10.14,10.14,0,KYCHU,Keyarch Acquisition Units,기타 금융업,3.2130067975905563,,
2022-04-12,10.14,10.14,10.14,10.14,10.14,0,KYCHU,Keyarch Acquisition Units,기타 금융업,3.6550267168156125,,
2022-04-13,10.14,10.14,10.14,10.14,10.14,0,KYCHU,Keyarch Acquisition Units,기타 금융업,2.5366768934954376,,
2022-04-14,10.14,10.14,10.14,10.14,10.14,0,KYCHU,Keyarch Acquisition Units,기타 금융업,3.6941362842483505,,
2022-04-18,10.14,10.14,10.14,10.14,10.14,0,KYCHU,Keyarch Acquisition Units,기타 금융업,3.5507552774858286,,
2022-04-19,10.14,10.14,10.14,10.14,10.14,0,KYCHU,Keyarch Acquisition Units,기타 금융업,1.8269067889614243,,
2022-04-20,10.06,10.08,10.06,10.08,10.08,400,KYCHU,Keyarch Acquisition Units,기타 금융업,1.1574667521915494,,
2022-04-21,10.08,10.08,10.08,10.08,10.08,0,KYCHU,Keyarch Acquisition Units,기타 금융업,2.52619573170505,,
2022-04-22,10.08,10.08,10.08,10.08,10.08,0,KYCHU,Keyarch Acquisition Units,기타 금융업,5.07427962939988,,
2022-04-25,10.08,10.08,10.08,10.08,10.08,0,KYCHU,Keyarch Acquisition Units,기타 금융업,4.111907095714673,,
2022-04-26,10.15,10.15,10.15,10.15,10.15,600,KYCHU,Keyarch Acquisition Units,기타 금융업,7.260904492744347,,
2022-04-27,10.0,10.106,10.0,10.08,10.08,9400,KYCHU,Keyarch Acquisition Units,기타 금융업,5.7248520541763215,,
2022-04-28,10.02,10.61,10.01,10.15,10.15,2500,KYCHU,Keyarch Acquisition Units,기타 금융업,3.4562801248420705,,
2022-04-29,10.04,10.04,10.04,10.04,10.04,200,KYCHU,Keyarch Acquisition Units,기타 금융업,5.684322657680507,,
2022-05-02,10.02,10.02,10.02,10.02,10.02,100,KYCHU,Keyarch Acquisition Units,기타 금융업,4.408285188449534,,
2022-05-03,10.02,10.02,10.02,10.02,10.02,0,KYCHU,Keyarch Acquisition Units,기타 금융업,3.4282631158834898,,
2022-05-04,10.02,10.02,10.02,10.02,10.02,0,KYCHU,Keyarch Acquisition Units,기타 금융업,0.17913279566372786,,
2022-05-05,10.02,10.02,10.02,10.02,10.02,0,KYCHU,Keyarch Acquisition Units,기타 금융업,3.481558768693649,,
2022-05-06,10.02,10.02,10.02,10.02,10.02,0,KYCHU,Keyarch Acquisition Units,기타 금융업,3.5861809078093776,,
2022-05-09,10.02,10.02,10.02,10.02,10.02,0,KYCHU,Keyarch Acquisition Units,기타 금융업,6.444539446519881,,
2022-05-10,10.02,10.02,10.02,10.02,10.02,0,KYCHU,Keyarch Acquisition Units,기타 금융업,5.721084049041236,,
2022-05-11,10.02,10.02,10.02,10.02,10.02,0,KYCHU,Keyarch Acquisition Units,기타 금융업,6.948088244121764,,
2022-05-12,10.02,10.02,10.02,10.02,10.02,0,KYCHU,Keyarch Acquisition Units,기타 금융업,6.484933302300289,,
2022-05-13,9.97,10.15,9.91,10.15,10.15,7400,KYCHU,Keyarch Acquisition Units,기타 금융업,4.883039051697846,,
2022-05-16,9.7,10.01,9.7,10.01,10.01,5300,KYCHU,Keyarch Acquisition Units,기타 금융업,3.440620299747521,,
2022-05-17,10.0,10.257,9.83,10.12,10.12,7500,KYCHU,Keyarch Acquisition Units,기타 금융업,2.0814379140592587,,
2022-05-18,9.99,9.99,9.99,9.99,9.99,3400,KYCHU,Keyarch Acquisition Units,기타 금융업,4.396997240992762,,
2022-05-19,9.89,10.13,9.87,10.13,10.13,3700,KYCHU,Keyarch Acquisition Units,기타 금융업,5.824490317694142,,
2022-05-20,10.13,10.13,10.13,10.13,10.13,0,KYCHU,Keyarch Acquisition Units,기타 금융업,5.300844896556067,,
2022-05-23,10.06,10.14,10.06,10.14,10.14,800,KYCHU,Keyarch Acquisition Units,기타 금융업,3.055324236022705,,
2022-05-24,9.89,9.97,9.89,9.95,9.95,7800,KYCHU,Keyarch Acquisition Units,기타 금융업,1.7602940659628752,,
2022-05-25,9.95,9.95,9.95,9.95,9.95,0,KYCHU,Keyarch Acquisition Units,기타 금융업,0.621822535731642,,
2022-05-26,9.949,9.95,9.89,9.95,9.95,2400,KYCHU,Keyarch Acquisition Units,기타 금융업,-1.5076851514659428,,
2022-05-27,9.89,10.08,9.89,10.08,10.08,1100,KYCHU,Keyarch Acquisition Units,기타 금융업,-2.618749862034464,,
2022-05-31,9.945,9.99,9.91,9.99,9.99,1900,KYCHU,Keyarch Acquisition Units,기타 금융업,-2.8911315909879165,,
2022-06-01,9.99,9.99,9.99,9.99,9.99,0,KYCHU,Keyarch Acquisition Units,기타 금융업,-2.2299546924276936,,
2022-06-02,9.99,9.99,9.99,9.99,9.99,0,KYCHU,Keyarch Acquisition Units,기타 금융업,-4.11793873033266,,
2022-06-03,9.99,9.99,9.99,9.99,9.99,0,KYCHU,Keyarch Acquisition Units,기타 금융업,-2.554243740779494,,
2022-06-06,9.99,9.99,9.99,9.99,9.99,0,KYCHU,Keyarch Acquisition Units,기타 금융업,-2.8470354750090965,,
2022-06-07,9.99,9.99,9.99,9.99,9.99,0,KYCHU,Keyarch Acquisition Units,기타 금융업,-3.551984311918299,,
2022-06-08,9.93,9.98,9.88,9.92,9.92,2100,KYCHU,Keyarch Acquisition Units,기타 금융업,-2.999427347689576,,
2022-06-09,9.92,9.92,9.92,9.92,9.92,0,KYCHU,Keyarch Acquisition Units,기타 금융업,-0.47993779814821114,,
2022-06-10,9.92,9.92,9.92,9.92,9.92,0,KYCHU,Keyarch Acquisition Units,기타 금융업,2.517491529288085,,
2022-06-13,9.96,9.96,9.96,9.96,9.96,2700,KYCHU,Keyarch Acquisition Units,기타 금융업,6.794203046138625,,
2022-06-14,9.96,9.96,9.96,9.96,9.96,300,KYCHU,Keyarch Acquisition Units,기타 금융업,6.8361579252821825,,
2022-06-15,9.96,9.96,9.96,9.96,9.96,0,KYCHU,Keyarch Acquisition Units,기타 금융업,4.9778906342424545,,
2022-06-16,10.15,10.15,9.96,9.96,9.96,3500,KYCHU,Keyarch Acquisition Units,기타 금융업,8.137995577891077,,
2022-06-17,9.96,9.96,9.96,9.96,9.96,0,KYCHU,Keyarch Acquisition Units,기타 금융업,7.657481684249423,,
2022-06-21,9.96,9.96,9.96,9.96,9.96,0,KYCHU,Keyarch Acquisition Units,기타 금융업,4.983043226892736,,
2022-06-22,10.15,10.15,9.96,9.96,9.96,3800,KYCHU,Keyarch Acquisition Units,기타 금융업,4.917381760415651,,
2022-06-23,9.96,9.96,9.96,9.96,9.96,0,KYCHU,Keyarch Acquisition Units,기타 금융업,3.7222132695429844,,
2022-06-24,9.96,9.96,9.96,9.96,9.96,0,KYCHU,Keyarch Acquisition Units,기타 금융업,0.5559406644038534,,
2022-06-27,9.75,9.955,9.75,9.955,9.955,2900,KYCHU,Keyarch Acquisition Units,기타 금융업,0.6056103986121997,,
2022-06-28,9.89,9.906,9.88,9.88,9.88,3900,KYCHU,Keyarch Acquisition Units,기타 금융업,1.5774720778233942,,
2022-06-29,9.94,10.0,9.94,10.0,10.0,1800,KYCHU,Keyarch Acquisition Units,기타 금융업,2.4798291482487578,,
2022-06-30,10.0,10.0,10.0,10.0,10.0,0,KYCHU,Keyarch Acquisition Units,기타 금융업,2.97056823903028,,
2022-07-01,10.0,10.0,10.0,10.0,10.0,0,KYCHU,Keyarch Acquisition Units,기타 금융업,1.4554746949284603,,
