Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2021-11-29,9.9,10.0,9.9,10.0,10.0,200,LCW,Learn CW Investment Corp,기타 금융업,,,,,,,,,
2021-11-30,10.0,10.0,10.0,10.0,10.0,0,LCW,Learn CW Investment Corp,기타 금융업,,,,,,,,,
2021-12-01,10.0,10.0,10.0,10.0,10.0,0,LCW,Learn CW Investment Corp,기타 금융업,,,,,,,,,
2021-12-02,10.0,10.0,10.0,10.0,10.0,0,LCW,Learn CW Investment Corp,기타 금융업,,,,,,,,,
2021-12-03,10.0,10.0,10.0,10.0,10.0,0,LCW,Learn CW Investment Corp,기타 금융업,,,,,,,,,
2021-12-06,9.8,9.8,9.8,9.8,9.8,100,LCW,Learn CW Investment Corp,기타 금융업,,,,,,,,,
2021-12-07,9.76,9.76,9.755,9.755,9.755,200,LCW,Learn CW Investment Corp,기타 금융업,,,,,,,,,
2021-12-08,9.76,9.77,9.76,9.77,9.77,700,LCW,Learn CW Investment Corp,기타 금융업,,,,,,,,,
2021-12-09,9.77,9.77,9.77,9.77,9.77,0,LCW,Learn CW Investment Corp,기타 금융업,,,,,,,,,
2021-12-10,9.77,9.77,9.77,9.77,9.77,0,LCW,Learn CW Investment Corp,기타 금융업,,,,,,,,,
2021-12-13,9.77,9.77,9.77,9.77,9.77,0,LCW,Learn CW Investment Corp,기타 금융업,,,,,,,,,
2021-12-14,9.7,9.7,9.61,9.66,9.66,363200,LCW,Learn CW Investment Corp,기타 금융업,,,,,,,,,
2021-12-15,9.68,9.77,9.67,9.77,9.77,182800,LCW,Learn CW Investment Corp,기타 금융업,,,,,,,,,
2021-12-16,9.77,9.77,9.77,9.77,9.77,200,LCW,Learn CW Investment Corp,기타 금융업,,,,,,,,,
2021-12-17,9.77,9.77,9.77,9.77,9.77,0,LCW,Learn CW Investment Corp,기타 금융업,,,,0.03785714285714269,0.0,,0.6187075551140797,,
2021-12-20,9.9,9.9,9.9,9.9,9.9,100,LCW,Learn CW Investment Corp,기타 금융업,,,,0.04714285714285703,2.757575757575781,,3.439007520819169,,
2021-12-21,9.8,9.84,9.8,9.84,9.84,1200,LCW,Learn CW Investment Corp,기타 금융업,,,,0.054285714285714146,-1.105263157894749,,-2.218240968065183,,
2021-12-22,9.79,9.83,9.77,9.83,9.83,6500,LCW,Learn CW Investment Corp,기타 금융업,,,,0.059285714285714164,-0.16867469879517746,,-0.8427966947916127,,
2021-12-23,10.01,10.04,9.9,9.9,9.9,2100,LCW,Learn CW Investment Corp,기타 금융업,,,,0.0742857142857141,0.9423076923076986,,0.4946865353472112,,
2021-12-27,9.9,9.9,9.9,9.9,9.9,0,LCW,Learn CW Investment Corp,기타 금융업,-2.5304647440835493,,,0.059999999999999866,0.0,,-1.0108843514296988,,
2021-12-28,9.87,9.87,9.81,9.81,9.81,400,LCW,Learn CW Investment Corp,기타 금융업,-3.093701168149421,,,0.06321428571428557,-1.4237288135593231,,-1.3421273273370646,,
2021-12-29,9.83,9.83,9.83,9.83,9.83,100,LCW,Learn CW Investment Corp,기타 금융업,-2.7129846192751494,,,0.06357142857142849,0.3146067415730274,,0.20084967311315124,,
2021-12-30,9.75,9.99,9.75,9.99,9.99,6400,LCW,Learn CW Investment Corp,기타 금융업,-0.537422931134901,,,0.08071428571428564,1.9823008849557557,,2.2257257879184325,,
2021-12-31,10.1,10.1,9.95,9.99,9.99,4600,LCW,Learn CW Investment Corp,기타 금융업,-0.06448634561047051,,,0.09142857142857139,0.0,,0.21986325330705658,,
2022-01-03,10.0,10.0,9.81,9.859,9.859,3000,LCW,Learn CW Investment Corp,기타 금융업,-1.6526816751567086,,,0.10499999999999991,-1.2476190476190507,,-1.783844422342781,,
2022-01-04,9.83,9.86,9.83,9.83,9.83,2100,LCW,Learn CW Investment Corp,기타 금융업,-1.6834991364798046,,,0.09571428571428557,-0.30298507462686525,,-0.2484348580531031,,
2022-01-05,9.8,9.8,9.8,9.8,9.8,500,LCW,Learn CW Investment Corp,기타 금융업,-0.053413622046527554,,,0.08999999999999986,-0.33333333333332676,,1.3525757019675673,,
2022-01-06,9.8,9.8,9.8,9.8,9.8,0,LCW,Learn CW Investment Corp,기타 금융업,0.02221372726818327,,,0.08999999999999986,0.0,0.10108478218455501,0.08506401641798628,0.08501081585608647,
