Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-11-01,15.5,15.5,13.52,13.7,13.7,2429400,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-02,13.5,13.939,13.25,13.39,13.39,895000,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-03,13.19,13.849,12.99,13.5,13.5,484700,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-04,13.5,14.2,13.395,13.84,13.84,442800,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-05,13.8,14.5,13.5,14.41,14.41,552200,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-08,14.44,14.44,14.0,14.07,14.07,196800,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-09,14.0,14.37,13.63,13.85,13.85,235300,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-10,13.85,14.18,13.85,14.06,14.06,134500,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-11,14.0,14.17,13.98,14.06,14.06,319900,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-12,14.01,14.61,14.01,14.6,14.6,309500,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-15,14.61,15.83,14.61,15.74,15.74,171200,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-16,15.73,15.85,15.36,15.85,15.85,85000,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-17,15.58,16.35,15.27,16.200001,16.200001,58600,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-18,16.030001,16.1,15.43,15.63,15.63,20500,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-19,15.58,16.370001,15.58,16.030001,16.030001,65200,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-22,16.190001,16.257,15.5,15.68,15.68,120800,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-23,15.65,16.09,14.09,14.14,14.14,401200,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-24,14.21,15.995,14.0,15.57,15.57,1232300,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-26,15.5,16.110001,15.5,16.0,16.0,645300,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,,,
2021-11-29,16.0,16.0,13.0,13.43,13.43,247100,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,-8.21630177714252,,
2021-11-30,13.67,14.44,12.031,12.35,12.35,146000,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,-13.601387066870396,,
2021-12-01,12.35,12.67,11.63,11.95,11.95,147600,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,-15.069488758571293,,
2021-12-02,11.88,12.19,9.71,10.31,10.31,626000,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,-26.996629808268004,,
2021-12-03,10.31,10.31,8.735,10.08,10.08,590600,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,-27.147949840942353,,
2021-12-06,10.38,10.54,8.52,9.31,9.31,387700,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,-32.339178626993444,,
2021-12-07,9.48,10.58,8.67,10.1,10.1,485700,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,-27.067764651903616,,
2021-12-08,10.25,10.25,9.56,10.0,10.0,244200,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,-26.987789949229047,,
2021-12-09,9.91,10.33,9.58,9.97,9.97,169700,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,-25.543378241447034,,
2021-12-10,10.04,10.11,9.03,9.5,9.5,1020100,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,-28.46775615632876,,
2021-12-13,9.5,10.36,9.16,9.75,9.75,221700,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,-24.5300717307942,,
2021-12-14,9.64,10.0,9.335,9.76,9.76,116200,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,-22.117666388099146,,
2021-12-15,9.81,9.81,7.18,7.68,7.68,595000,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,-37.69566827459515,,
2021-12-16,7.63,8.69,7.46,7.61,7.61,307300,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,-35.46893205958778,,
2021-12-17,7.57,8.08,7.03,7.65,7.65,329000,LIAN,LianBio ADR,생명과학 및 메디컬 리서치,-32.21922550262283,,
