Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2021-03-19,10.0,10.0,9.713,9.8,9.8,37500,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,,,,,,
2021-03-22,9.86,9.86,9.81,9.81,9.81,900,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,,,,,,
2021-03-23,9.71,9.71,9.62,9.7,9.7,2000,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,,,,,,
2021-03-24,9.55,9.55,9.55,9.55,9.55,500,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,,,,,,
2021-03-25,9.6,9.6,9.6,9.6,9.6,41000,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,,,,,,
2021-03-26,9.58,9.8,9.58,9.65,9.65,110100,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,,,,,,
2021-03-29,9.59,9.72,9.59,9.62,9.62,6700,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,,,,,,
2021-03-30,9.69,9.69,9.64,9.67,9.67,11700,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,,,,,,
2021-03-31,9.67,9.67,9.67,9.67,9.67,0,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,,,,,,
2021-04-01,9.67,9.67,9.67,9.67,9.67,100,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,,,,,,
2021-04-05,9.7,9.715,9.68,9.7,9.7,11500,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,,,,,,
2021-04-06,9.71,9.71,9.66,9.7,9.7,5600,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,,,,,,
2021-04-07,10.22,10.32,9.91,10.0,10.0,6768600,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,,,,,,
2021-04-08,9.9,10.05,9.9,10.05,10.05,817600,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,,,,,,
2021-04-09,10.04,10.04,9.99,10.02,10.02,364400,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,0.12821428571428584,-0.23398328690808665,,-1.0039959249728732,,
2021-04-12,10.0,10.0,9.91,9.99,9.99,401300,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,0.13178571428571445,-0.22764227642275908,,-0.20702786792648395,,
2021-04-13,10.0,10.0,9.9,9.95,9.95,193000,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,0.12535714285714292,-0.3190883190883263,,-0.6811794938531058,,
2021-04-14,9.91,9.95,9.86,9.92,9.92,352300,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,0.12107142857142872,-0.24778761061946344,,0.2228277884531453,,
2021-04-15,9.89,9.97,9.89,9.95,9.95,432900,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,,,,0.12321428571428594,0.24347826086955957,,-1.0735683163187058,,
2021-04-16,9.91,9.99,9.88,9.9,9.9,133300,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,-2.6364069465815487,,,0.115357142857143,-0.4334365325077301,,-0.9137948884586244,,
2021-04-19,9.88,9.9,9.79,9.8,9.8,150100,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,-2.8046720568832506,,,0.1139285714285716,-0.8777429467084595,,-0.16302137002527073,,
2021-04-20,9.8,9.84,9.79,9.79,9.79,134600,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,-1.9923028565944412,,,0.1125000000000002,-0.08888888888890263,,0.7859527593922473,,
2021-04-21,9.81,9.85,9.79,9.84,9.84,20100,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,-2.1515097506304426,,,0.11678571428571452,0.42813455657492877,,-0.7278933633500071,,
2021-04-22,9.85,9.88,9.85,9.88,9.88,73400,LMDX,LumiraDx Ltd,헬스케어 장비 및 용품,-0.7040586704193164,,,0.11964285714285745,0.33432835820896206,,1.4693281076232625,,
