Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2021-11-15,LOCC,Live Oak Crestview Climate Acquisition Corp,기타 금융업,9.55,9.82,9.55,9.68,9.68,256300.0,,,,,,,,,,,,,False
2021-11-16,LOCC,Live Oak Crestview Climate Acquisition Corp,기타 금융업,10.0,10.0,9.67,9.74,9.74,547100.0,,,,,,,,,,,,,False
2021-11-17,LOCC,Live Oak Crestview Climate Acquisition Corp,기타 금융업,9.725,9.74,9.683,9.7,9.7,151000.0,,,,,,,,,,,,,False
2021-11-18,LOCC,Live Oak Crestview Climate Acquisition Corp,기타 금융업,9.69,9.7,9.66,9.68,9.68,97400.0,,,,,,,,,,,,,False
2021-11-19,LOCC,Live Oak Crestview Climate Acquisition Corp,기타 금융업,9.685,9.69,9.67,9.681,9.681,60200.0,,,,,,,,,,,,,False
2021-11-22,LOCC,Live Oak Crestview Climate Acquisition Corp,기타 금융업,9.69,9.7,9.67,9.7,9.7,103800.0,,,,,,,,,,,,,False
2021-11-23,LOCC,Live Oak Crestview Climate Acquisition Corp,기타 금융업,9.75,9.75,9.65,9.69,9.69,158200.0,,,,,,,,,,,,,False
2021-11-24,LOCC,Live Oak Crestview Climate Acquisition Corp,기타 금융업,9.65,9.69,9.63,9.69,9.69,90900.0,,,,,,,,,,,,,False
2021-11-26,LOCC,Live Oak Crestview Climate Acquisition Corp,기타 금융업,9.67,9.67,9.658,9.66,9.66,42800.0,,,,,,,,,,,,,False
2021-11-29,LOCC,Live Oak Crestview Climate Acquisition Corp,기타 금융업,9.68,9.7,9.67,9.691,9.691,22100.0,,,,,,,,,,,,,False
2021-11-30,LOCC,Live Oak Crestview Climate Acquisition Corp,기타 금융업,9.7,9.75,9.69,9.69,9.69,136700.0,,,,,,,,,,,,,False
2021-12-01,LOCC,Live Oak Crestview Climate Acquisition Corp,기타 금융업,9.69,9.7,9.67,9.67,9.67,110700.0,,,,,,,,,,,,,False
2021-12-02,LOCC,Live Oak Crestview Climate Acquisition Corp,기타 금융업,9.67,9.73,9.67,9.71,9.71,65800.0,,,,,,,,,,,,,False
2021-12-03,LOCC,Live Oak Crestview Climate Acquisition Corp,기타 금융업,9.7,9.71,9.69,9.7,9.7,69200.0,,,,,,,,,,,,,False
