Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-10-27,10.09,10.14,10.07,10.1,10.1,11461039,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-10-28,10.12,10.12,10.07,10.11,10.11,164928,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-10-29,10.08,10.13,10.08,10.11,10.11,63043,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-01,10.1,10.15,10.05,10.11,10.11,16903,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-02,10.05,10.15,10.0,10.11,10.11,29100,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-03,10.11,10.12,10.11,10.12,10.12,6200,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-04,10.12,10.15,10.09,10.09,10.09,24450,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-05,10.12,10.12,10.11,10.11,10.11,26684,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-08,10.15,10.15,10.15,10.15,10.15,86450,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-09,10.15,10.15,10.11,10.12,10.12,277539,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-10,10.13,10.15,10.12,10.12,10.12,78500,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-11,10.12,10.15,10.115,10.12,10.12,53111,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-12,10.11,10.11,10.11,10.11,10.11,2000,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-15,10.11,10.11,10.09,10.1,10.1,188400,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-16,10.1,10.1,10.1,10.1,10.1,0,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-17,10.1,10.1,10.1,10.1,10.1,0,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-18,10.14,10.15,10.14,10.15,10.15,415,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-19,10.14,10.14,10.13,10.14,10.14,3680,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-22,10.14,10.14,10.14,10.14,10.14,6066,LVACU,LAVA Medtech Acquisition Units,기타 금융업,,,
2021-11-23,10.14,10.15,10.14,10.15,10.15,7426,LVACU,LAVA Medtech Acquisition Units,기타 금융업,-0.29393973392585204,,
2021-11-24,10.15,10.15,10.15,10.15,10.15,0,LVACU,LAVA Medtech Acquisition Units,기타 금융업,-0.3842937189392881,,
2021-11-26,10.2,10.2,10.18,10.18,10.18,2182,LVACU,LAVA Medtech Acquisition Units,기타 금융업,2.1954200932284396,,
2021-11-29,10.18,10.18,10.18,10.18,10.18,0,LVACU,LAVA Medtech Acquisition Units,기타 금융업,0.8837474313311056,,
2021-11-30,10.18,10.18,10.18,10.18,10.18,0,LVACU,LAVA Medtech Acquisition Units,기타 금융업,2.744210902369648,,
2021-12-01,10.11,10.11,10.11,10.11,10.11,7611,LVACU,LAVA Medtech Acquisition Units,기타 금융업,3.122505554493693,,
2021-12-02,10.11,10.11,10.11,10.11,10.11,50000,LVACU,LAVA Medtech Acquisition Units,기타 금융업,1.5917415649555622,,
2021-12-03,10.17,10.17,10.15,10.15,10.15,4007,LVACU,LAVA Medtech Acquisition Units,기타 금융업,2.6726552614757093,,
2021-12-06,10.15,10.15,10.15,10.15,10.15,0,LVACU,LAVA Medtech Acquisition Units,기타 금융업,1.3464858728990725,,
2021-12-07,10.15,10.15,10.15,10.15,10.15,0,LVACU,LAVA Medtech Acquisition Units,기타 금융업,-0.7252012955526022,,
2021-12-08,10.11,10.11,10.1,10.11,10.11,35000,LVACU,LAVA Medtech Acquisition Units,기타 금융업,-1.399198921609568,,
2021-12-09,10.11,10.12,10.11,10.11,10.11,11924,LVACU,LAVA Medtech Acquisition Units,기타 금융업,-0.6590982300096249,,
