Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,53.77,53.830002,50.619999,52.049999,44.073257,593900,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-05,52.950001,53.25,50.369999,53.220001,45.063953,463400,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-08,53.48,55.720001,53.355,54.759998,46.367947,444100,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-09,55.299999,56.439999,54.52,55.43,46.935265,545500,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-10,55.68,56.32,55.240002,55.77,47.223164,342500,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-11,56.220001,57.349998,55.900002,57.139999,48.383213,360600,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-12,57.200001,58.040001,56.48,56.650002,47.968304,362400,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-15,56.709999,56.709999,54.98,56.139999,47.536457,358600,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-16,56.360001,56.919998,55.700001,56.540001,47.87516,375200,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-17,56.689999,57.959999,56.130001,57.959999,49.077541,431300,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-18,57.959999,59.630001,56.91,56.959999,48.230793,594300,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-19,57.16,57.310001,55.349998,56.580002,47.909031,896900,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-22,56.540001,57.189999,55.07,55.84,47.282433,395100,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-23,55.509998,56.07,54.779999,54.990002,46.562702,404200,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-24,55.450001,56.209999,54.529999,54.580002,46.215534,312200,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-25,54.41,55.235001,53.110001,54.93,46.511898,370100,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-26,55.5,56.09,54.650002,55.970001,47.392513,323100,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-29,55.599998,56.07,54.895,55.040001,46.605042,245200,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-30,55.130001,56.240002,55.02,55.310001,46.83366,417500,MC,Moelis & Co,투자은행 및 서비스,,,
2021-03-31,55.41,56.130001,54.139999,54.880001,46.469555,468100,MC,Moelis & Co,투자은행 및 서비스,-2.5567552358747636,,
2021-04-01,55.290001,56.189999,55.16,56.150002,47.544926,536700,MC,Moelis & Co,투자은행 및 서비스,-1.5211882987465453,,
2021-04-05,56.709999,57.945,55.77,57.73,48.882786,527300,MC,Moelis & Co,투자은행 및 서비스,-0.2981473322578476,,
2021-04-06,57.639999,58.389999,56.759998,57.009998,48.273132,324700,MC,Moelis & Co,투자은행 및 서비스,-1.3288608742304642,,
2021-04-07,57.16,57.290001,56.084999,56.41,47.765083,428300,MC,Moelis & Co,투자은행 및 서비스,-2.3470057119915566,,
2021-04-08,56.59,56.643002,54.689999,54.959999,46.537296,406000,MC,Moelis & Co,투자은행 및 서비스,-4.958227467681009,,
2021-04-09,54.5,54.950001,52.900002,54.189999,45.885303,415900,MC,Moelis & Co,투자은행 및 서비스,-6.5507932115304595,,
2021-04-12,54.189999,54.919998,53.610001,54.349998,46.020779,217700,MC,Moelis & Co,투자은행 및 서비스,-5.854380881020105,,
2021-04-13,54.470001,54.611,52.369999,52.650002,44.581306,475700,MC,Moelis & Co,투자은행 및 서비스,-8.630706915350405,,
2021-04-14,52.549999,54.490002,52.445,52.959999,44.8438,413300,MC,Moelis & Co,투자은행 및 서비스,-7.239419359209975,,
2021-04-15,53.0,53.560001,51.66,52.139999,44.149464,502800,MC,Moelis & Co,투자은행 및 서비스,-8.993284227427868,,
2021-04-16,52.549999,54.34,52.549999,54.220001,45.910706,460000,MC,Moelis & Co,투자은행 및 서비스,-5.153135959993627,,
2021-04-19,54.099998,55.209999,53.099998,55.130001,46.681244,474400,MC,Moelis & Co,투자은행 및 서비스,-2.6128732191840753,,
2021-04-20,54.970001,55.119999,53.049999,53.84,45.588943,405600,MC,Moelis & Co,투자은행 및 서비스,-3.8337038588140193,,
2021-04-21,53.849998,55.189999,53.25,55.169998,46.715107,221600,MC,Moelis & Co,투자은행 및 서비스,-2.061934463541848,,
2021-04-22,55.130001,56.200001,54.360001,55.349998,46.867523,365000,MC,Moelis & Co,투자은행 및 서비스,-0.5902854752856235,,
2021-04-23,55.57,57.32,55.349998,56.939999,48.213863,298200,MC,Moelis & Co,투자은행 및 서비스,1.3211947062965912,,
2021-04-26,57.130001,57.25,56.380001,56.48,47.824356,382600,MC,Moelis & Co,투자은행 및 서비스,0.5462603021648693,,
2021-04-27,56.950001,57.299999,56.379002,57.080002,48.332401,476700,MC,Moelis & Co,투자은행 및 서비스,1.7221453313927215,,
2021-04-28,56.799999,57.16,55.985001,56.75,48.052979,281000,MC,Moelis & Co,투자은행 및 서비스,1.3731963282731074,,
2021-04-29,57.700001,57.900002,54.830002,56.150002,47.544926,507700,MC,Moelis & Co,투자은행 및 서비스,-0.1929890851433913,,
2021-04-30,55.610001,56.43,54.259998,54.279999,45.961506,834400,MC,Moelis & Co,투자은행 및 서비스,-2.457711896791792,,
2021-05-03,55.02,55.27,53.577999,54.540001,46.181664,441300,MC,Moelis & Co,투자은행 및 서비스,-1.8356011125866156,,
2021-05-04,54.549999,55.16,53.389999,54.549999,46.190125,497800,MC,Moelis & Co,투자은행 및 서비스,-0.822393818235867,,
2021-05-05,54.779999,55.93,54.439999,55.580002,47.062279,372800,MC,Moelis & Co,투자은행 및 서비스,1.1668609679776232,,
2021-05-06,55.830002,55.919998,54.619999,55.759998,47.214695,382100,MC,Moelis & Co,투자은행 및 서비스,0.7271122068142066,,
2021-05-07,53.119999,53.950001,52.389999,53.68,47.631741,418400,MC,Moelis & Co,투자은행 및 서비스,-3.5781667374888415,,
2021-05-10,53.900002,54.349998,52.700001,52.73,46.788776,351600,MC,Moelis & Co,투자은행 및 서비스,-4.075432373666022,,
2021-05-11,51.849998,52.400002,51.064999,51.220001,45.448914,488500,MC,Moelis & Co,투자은행 및 서비스,-5.8720398553896995,,
2021-05-12,51.16,52.404999,50.855,51.259998,45.484406,592800,MC,Moelis & Co,투자은행 및 서비스,-3.651460698790465,,
2021-05-13,51.509998,53.0,51.509998,52.450001,46.540329,565900,MC,Moelis & Co,투자은행 및 서비스,-2.693817558072209,,
2021-05-14,52.880001,53.369999,52.41,53.200001,47.205822,370800,MC,Moelis & Co,투자은행 및 서비스,-2.6757878820236725,,
2021-05-17,52.84,53.099998,51.900002,53.049999,47.072723,308700,MC,Moelis & Co,투자은행 및 서비스,-2.5180645518590894,,
2021-05-18,53.27,53.470001,51.869999,51.880001,46.034546,428600,MC,Moelis & Co,투자은행 및 서비스,-3.682370889252884,,
2021-05-19,51.0,52.970001,50.82,52.799999,46.850887,525600,MC,Moelis & Co,투자은행 및 서비스,-1.5376831067272612,,
2021-05-20,52.77,52.978001,51.830002,52.599998,46.67342,358000,MC,Moelis & Co,투자은행 및 서비스,-2.6591338614785576,,
2021-05-21,53.029999,53.549999,52.474998,53.009998,47.037231,348200,MC,Moelis & Co,투자은행 및 서비스,-1.4951556724326687,,
2021-05-24,53.25,53.498001,52.580002,53.16,47.17033,278600,MC,Moelis & Co,투자은행 및 서비스,-1.8746871365665774,,
2021-05-25,53.279999,53.970001,52.240002,52.299999,46.40723,321900,MC,Moelis & Co,투자은행 및 서비스,-2.8251764761663356,,
2021-05-26,52.27,53.360001,52.029999,53.23,47.232441,237800,MC,Moelis & Co,투자은행 및 서비스,-0.943199774827419,,
2021-05-27,53.990002,53.990002,52.830002,53.459999,47.436527,226200,MC,Moelis & Co,투자은행 및 서비스,-0.3950416307134663,,
2021-05-28,53.419998,53.689999,52.860001,53.689999,47.640614,162000,MC,Moelis & Co,투자은행 및 서비스,0.03930775489657812,,
2021-06-01,53.990002,54.860001,53.77,54.73,48.563435,287700,MC,Moelis & Co,투자은행 및 서비스,2.0208839778934617,,
2021-06-02,54.799999,54.810001,53.200001,53.400002,47.383289,446000,MC,Moelis & Co,투자은행 및 서비스,-0.442855274671472,,
