Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2018-03-12,2.31,2.4,2.31,2.4,2.4,5800,MINM,Minim Inc,통신 서비스,,,,,,,,,
2018-03-13,2.39,2.4,2.31,2.31,2.31,1800,MINM,Minim Inc,통신 서비스,,,,,,,,,
2018-03-14,2.31,2.4,2.3,2.35,2.35,50100,MINM,Minim Inc,통신 서비스,,,,,,,,,
2018-03-15,2.38,2.4,2.23,2.23,2.23,700,MINM,Minim Inc,통신 서비스,,,,,,,,,
2018-03-16,2.33,2.33,2.23,2.23,2.23,800,MINM,Minim Inc,통신 서비스,,,,,,,,,
2018-03-19,2.22,2.22,2.22,2.22,2.22,3000,MINM,Minim Inc,통신 서비스,,,,,,,,,
2018-03-20,2.22,2.3,2.22,2.26,2.26,2700,MINM,Minim Inc,통신 서비스,,,,,,,,,
2018-03-21,2.26,2.89,2.26,2.3,2.3,21200,MINM,Minim Inc,통신 서비스,,,,,,,,,
2018-03-22,2.25,2.25,2.13,2.2,2.2,6100,MINM,Minim Inc,통신 서비스,,,,,,,,,
2018-03-23,2.18,2.25,2.18,2.22,2.22,3700,MINM,Minim Inc,통신 서비스,,,,,,,,,
2018-03-26,2.22,2.5,2.22,2.5,2.5,4100,MINM,Minim Inc,통신 서비스,,,,,,,,,
2018-03-27,2.54,2.55,2.4,2.45,2.45,13400,MINM,Minim Inc,통신 서비스,,,,,,,,,
2018-03-28,2.4,2.5,2.22,2.26,2.26,21200,MINM,Minim Inc,통신 서비스,,,,,,,,,
2018-03-29,2.36,2.4,2.36,2.4,2.4,1200,MINM,Minim Inc,통신 서비스,,,,,,,,,
2018-04-02,2.45,2.57,2.45,2.49,2.49,15400,MINM,Minim Inc,통신 서비스,,,,0.1742857142857142,0.5163934426229527,,1.7175096458118704,,
2018-04-03,2.47,2.55,2.47,2.5,2.5,2500,MINM,Minim Inc,통신 서비스,,,,0.1735714285714285,0.057613168724278636,,-0.6051404371969298,,
2018-04-04,2.46,2.52,2.46,2.47,2.47,13600,MINM,Minim Inc,통신 서비스,,,,0.17071428571428562,-0.17573221757322072,,-0.7544646362257883,,
2018-04-05,2.5,2.5,2.48,2.48,2.48,2000,MINM,Minim Inc,통신 서비스,,,,0.16071428571428562,0.06222222222222094,,-0.2823885368326461,,
2018-04-06,2.45,2.5,2.45,2.45,2.45,5000,MINM,Minim Inc,통신 서비스,,,,0.15714285714285703,-0.1909090909090898,,0.8313222777290865,,
2018-04-09,2.45,2.45,2.45,2.45,2.45,0,MINM,Minim Inc,통신 서비스,6.051834515093768,,,0.15642857142857133,0.0,,-0.153790690104483,,
2018-04-10,2.44,2.44,2.44,2.44,2.44,1000,MINM,Minim Inc,통신 서비스,3.553368938970003,,,0.15142857142857138,-0.06603773584905814,,-0.8040385731481671,,
2018-04-11,2.47,2.47,2.42,2.45,2.45,11200,MINM,Minim Inc,통신 서비스,4.016476150553294,,,0.10999999999999995,0.09090909090909305,,0.3409303306594829,,
2018-04-12,2.5,2.5,2.46,2.5,2.5,4500,MINM,Minim Inc,통신 서비스,4.778603936034709,,,0.10142857142857135,0.49295774647887186,,0.1037755037035672,,
2018-04-13,2.65,2.65,2.65,2.65,2.65,400,MINM,Minim Inc,통신 서비스,10.242561111714622,,,0.10714285714285708,1.4,,1.5439986549892784,,
