Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,25.66,26.9,25.66,26.0,24.122484,60500,MRBK,Meridian Corp,은행,,,
2021-03-05,25.73,26.41,25.0,26.120001,24.23382,28000,MRBK,Meridian Corp,은행,,,
2021-03-08,26.120001,26.540001,25.99,26.469999,24.558542,29500,MRBK,Meridian Corp,은행,,,
2021-03-09,26.700001,26.950001,26.379999,26.639999,24.71627,19900,MRBK,Meridian Corp,은행,,,
2021-03-10,26.809999,27.9,26.370001,27.389999,25.412109,41700,MRBK,Meridian Corp,은행,,,
2021-03-11,27.51,27.959999,26.18,26.98,25.031717,42600,MRBK,Meridian Corp,은행,,,
2021-03-12,26.65,27.344999,26.475,26.6,24.679159,40700,MRBK,Meridian Corp,은행,,,
2021-03-15,26.57,26.57,25.450001,26.4,24.493599,57100,MRBK,Meridian Corp,은행,,,
2021-03-16,26.4,26.4,25.684999,26.26,24.363712,65200,MRBK,Meridian Corp,은행,,,
2021-03-17,26.1,26.5,25.379999,25.93,24.057539,28700,MRBK,Meridian Corp,은행,,,
2021-03-18,25.860001,26.59,25.825001,26.58,24.660601,55000,MRBK,Meridian Corp,은행,,,
2021-03-19,26.6,27.27,25.889999,27.27,25.300777,117400,MRBK,Meridian Corp,은행,,,
2021-03-22,26.879999,26.879999,25.440001,25.879999,24.01115,45700,MRBK,Meridian Corp,은행,,,
2021-03-23,25.66,26.129999,24.75,25.58,23.732813,68900,MRBK,Meridian Corp,은행,,,
2021-03-24,25.6,26.67,25.18,25.23,23.408087,41800,MRBK,Meridian Corp,은행,,,
2021-03-25,24.129999,25.610001,24.129999,25.5,23.658592,23900,MRBK,Meridian Corp,은행,,,
2021-03-26,25.68,26.190001,25.610001,26.08,24.196707,15800,MRBK,Meridian Corp,은행,,,
2021-03-29,26.190001,26.190001,25.35,25.379999,23.547255,25900,MRBK,Meridian Corp,은행,,,
2021-03-30,25.75,27.200001,25.75,26.120001,24.23382,37200,MRBK,Meridian Corp,은행,,,
2021-03-31,26.34,26.34,25.48,26.0,24.122484,21800,MRBK,Meridian Corp,은행,-2.245356665544185,,
2021-04-01,25.719999,26.030001,25.23,25.83,23.964762,23600,MRBK,Meridian Corp,은행,-3.6786852450140572,,
2021-04-05,25.889999,26.299999,25.280001,25.84,23.974039,29100,MRBK,Meridian Corp,은행,-4.682730660266666,,
2021-04-06,25.74,25.966999,25.629999,25.92,24.048262,17000,MRBK,Meridian Corp,은행,-3.88640238513851,,
2021-04-07,25.9,25.9,25.200001,25.360001,23.528702,11700,MRBK,Meridian Corp,은행,-5.632226678358842,,
2021-04-08,25.370001,25.875,25.280001,25.860001,23.992596,21800,MRBK,Meridian Corp,은행,-3.6542409906162088,,
2021-04-09,25.620001,25.91,25.405001,25.9,24.029707,22800,MRBK,Meridian Corp,은행,-3.821730293062986,,
2021-04-12,25.889999,26.299999,24.865,25.25,23.426643,45700,MRBK,Meridian Corp,은행,-5.762840321784468,,
2021-04-13,25.25,25.65,24.67,25.33,23.500868,30700,MRBK,Meridian Corp,은행,-5.384293900689241,,
2021-04-14,25.08,25.790001,25.08,25.549999,23.704983,14800,MRBK,Meridian Corp,은행,-3.849265574087879,,
2021-04-15,25.68,25.799999,25.219999,25.719999,23.862703,9800,MRBK,Meridian Corp,은행,-4.005222542814613,,
2021-04-16,25.969999,26.299999,25.16,25.84,23.974039,34400,MRBK,Meridian Corp,은행,-3.4421775272560073,,
2021-04-19,25.98,26.299999,25.277,25.530001,23.686426,16800,MRBK,Meridian Corp,은행,-3.4599721821858886,,
2021-04-20,25.42,25.700001,24.120001,24.969999,23.166864,36200,MRBK,Meridian Corp,은행,-4.533544124928667,,
2021-04-21,24.01,25.389999,24.01,24.59,22.814302,14000,MRBK,Meridian Corp,은행,-6.372689713820856,,
2021-04-22,24.469999,25.389999,24.200001,25.01,23.203978,33000,MRBK,Meridian Corp,은행,-3.551943718616135,,
2021-04-23,24.82,25.979,24.809999,25.1,23.287477,20500,MRBK,Meridian Corp,은행,-3.854194039808878,,
2021-04-26,25.35,25.76,24.41,24.74,22.953472,39300,MRBK,Meridian Corp,은행,-4.903950884081643,,
2021-04-27,25.0,26.780001,25.0,26.32,24.419376,52300,MRBK,Meridian Corp,은행,1.276324697921205,,
2021-04-28,26.48,27.0,25.264999,25.809999,23.946203,44600,MRBK,Meridian Corp,은행,-0.2578452581756374,,
