Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-03-19,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",29.389999,29.450001,28.370001,28.74,28.74,392000.0,,,,,,,,,,,,,False
2018-03-20,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",28.92,29.49,28.83,29.27,29.27,762500.0,,,,,,,,,,,,,False
2018-03-21,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",29.219999,29.219999,28.4,28.6,28.6,625700.0,,,,,,,,,,,,,False
2018-03-22,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",28.129999,29.09,27.9,28.190001,28.190001,613700.0,,,,,,,,,,,,,False
2018-03-23,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",28.4,28.43,28.030001,28.07,28.07,722400.0,,,,,,,,,,,,,False
2018-03-26,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",28.6,29.559999,27.99,29.48,29.48,614300.0,,,,,,,,,,,,,False
2018-03-27,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",29.57,29.57,27.940001,28.17,28.17,561100.0,,,,,,,,,,,,,False
2018-03-28,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",28.129999,28.200001,27.209999,27.4,27.4,793300.0,,,,,,,,,,,,,False
2018-03-29,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",27.690001,29.02,27.690001,28.459999,28.459999,656400.0,,,,,,,,,,,,,False
2018-04-02,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",28.299999,28.700001,27.07,27.49,27.49,479500.0,,,,,,,,,,,,,False
2018-04-03,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",27.690001,28.27,27.48,28.120001,28.120001,311000.0,,,,,,,,,,,,,False
2018-04-04,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",27.379999,28.26,27.290001,28.15,28.15,452500.0,,,,,,,,,,,,,False
2018-04-05,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",28.389999,29.25,28.309999,28.780001,28.780001,399500.0,,,,,,,,,,,,,False
2018-04-06,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",28.389999,28.950001,27.32,27.83,27.83,459600.0,,,,,,,,,,,,,False
2018-04-09,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",28.02,28.25,27.780001,27.790001,27.790001,380800.0,,,,,,,1.1149999285714294,-0.03587354489900821,,-0.18966423500349122,,,False
2018-04-10,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",28.049999,28.57,27.459999,28.24,28.24,791600.0,,,,,,,1.1407142857142867,0.3944887914840307,,-0.3435120458150782,,,False
2018-04-11,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",27.860001,28.4,27.68,27.73,27.73,291700.0,,,,,,,1.1300000000000008,-0.4513274336283165,,-0.20130619387792664,,,False
2018-04-12,MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",28.1,28.51,27.719999,28.35,28.35,325000.0,,,,,,,1.1014286428571436,0.5629052812642494,,0.17372303848894477,,,False
