Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2018-03-12,11.11,11.11,11.0,11.06,10.945751,11700,MXE,Mexico Equity and Income Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-13,11.12,11.15,11.08,11.08,10.965544,14900,MXE,Mexico Equity and Income Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-14,11.13,11.13,11.02,11.06,10.945751,7100,MXE,Mexico Equity and Income Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-15,11.0,11.0,10.73,10.97,10.85668,8800,MXE,Mexico Equity and Income Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-16,10.91,10.91,10.88,10.88,10.767611,1400,MXE,Mexico Equity and Income Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-19,10.87,10.87,10.68,10.76,10.648849,8300,MXE,Mexico Equity and Income Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-20,10.84,10.88,10.83,10.85,10.737921,12000,MXE,Mexico Equity and Income Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-21,10.85,11.07,10.85,11.04,10.925958,5600,MXE,Mexico Equity and Income Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-22,11.01,11.1,10.82,10.97,10.85668,17500,MXE,Mexico Equity and Income Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-23,11.01,11.01,10.78,10.78,10.668643,8600,MXE,Mexico Equity and Income Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-26,10.92,10.92,10.8,10.86,10.747816,13900,MXE,Mexico Equity and Income Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-27,10.85,10.95,10.8,10.85,10.737921,20000,MXE,Mexico Equity and Income Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-28,10.83,11.05,10.72,10.79,10.678539,37600,MXE,Mexico Equity and Income Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-29,10.85,10.99,10.8,10.96,10.846785,33800,MXE,Mexico Equity and Income Closed Fund,다양한 금융서비스,,,,,,,,,
2018-04-02,10.77,10.94,10.58,10.77,10.658747,16000,MXE,Mexico Equity and Income Closed Fund,다양한 금융서비스,,,,0.20500000000000032,-0.9268292682926877,,0.27428693489623,,
