Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2021-11-05,24.77,26.860001,24.0,26.459999,26.459999,1354200,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,,,,,,
2021-11-08,11.176,11.86,10.2,11.7,11.7,1819200,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,,,,,,
2021-11-09,10.8,10.9,8.58,9.11,9.11,896600,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,,,,,,
2021-11-10,9.01,9.3,8.413,8.6,8.6,345100,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,,,,,,
2021-11-11,9.27,9.5,8.99,9.39,9.39,218500,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,,,,,,
2021-11-12,9.9,10.11,9.52,10.0,10.0,208900,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,,,,,,
2021-11-15,10.98,11.29,10.376,10.99,10.99,546500,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,,,,,,
2021-11-16,11.25,11.25,10.15,10.39,10.39,287600,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,,,,,,
2021-11-17,10.32,10.5,9.81,10.28,10.28,127000,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,,,,,,
2021-11-18,10.58,10.58,9.65,10.15,10.15,52800,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,,,,,,
2021-11-19,9.8,10.14,9.5,9.8,9.8,52800,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,,,,,,
2021-11-22,10.2,10.2,9.033,9.37,9.37,128500,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,,,,,,
2021-11-23,9.6,10.0,9.03,10.0,10.0,146800,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,,,,,,
2021-11-24,10.18,10.22,9.64,10.15,10.15,129600,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,,,,,,
2021-11-26,9.9,9.958,9.295,9.85,9.85,114000,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,2.1513570714285715,-0.1394468654154147,,2.467540652161746,,
2021-11-29,10.1,10.35,9.5,9.78,9.78,128000,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,1.050642857142857,-0.06662587531443362,,-1.4110940950457227,,
2021-11-30,9.9,9.92,9.285,9.74,9.74,158100,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,0.873142857142857,-0.04581151832460636,,1.7473569744383857,,
2021-12-01,9.69,9.9,8.61,8.75,8.75,191400,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,0.9019285714285713,-1.0976478973627943,,-0.12594652962975506,,
2021-12-02,9.15,9.15,8.64,8.84,8.84,71600,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,,,,0.8740714285714285,0.10296641333660195,,-0.951730873285773,,
2021-12-03,8.75,8.99,7.8,8.12,8.12,152700,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,-21.16997653957742,,,0.9076428571428572,-0.7932635555205799,,-0.20738072462430668,,
2021-12-06,8.2,8.45,7.8,8.05,8.05,43800,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,-15.536938957528069,,,0.8619285714285715,-0.0812132261539719,,-0.846741796584564,,
2021-12-07,8.1,8.33,8.05,8.2,8.2,37900,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,-14.181134625563786,,,0.8033571428571429,0.18671645772205744,,-1.0926058243346026,,
2021-12-08,8.55,9.21,8.55,8.6,8.6,152500,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,-10.017716519229547,,,0.8262142857142859,0.4841359038644423,,0.29205707673281,,
2021-12-09,9.32,9.8,9.112,9.7,9.7,164900,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,1.657063101792633,,,0.8455000000000003,1.3010053222944995,,1.749789433757709,,
2021-12-10,10.0,10.0,9.05,9.93,9.93,562000,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,2.862494524898529,,,0.8669285714285716,0.2653044409656427,,-0.31474090492987256,,
2021-12-13,10.0,10.31,9.02,9.5,9.5,145600,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,-0.4396259136835168,,,0.875714285714286,-0.4910277324632948,,0.07836086056765712,,
2021-12-14,9.37,9.51,8.81,8.87,8.87,63200,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,-5.3400171596348684,,,0.8564285714285715,-0.7356130108423694,,-0.28102685493887286,,
2021-12-15,8.64,9.19,8.5,9.15,9.15,45400,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,-3.28290713704682,,,0.8642857142857144,0.3239669421487616,-0.05618244293324713,-0.6124851427626294,0.035096589394443475,
2021-12-16,9.3,9.65,8.95,8.95,8.95,56200,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,-3.9035231286747907,,,0.8532142857142858,-0.23440770196735158,-0.06296535982981404,0.29128574974125976,-0.12035018934987697,
2021-12-17,9.03,9.2,9.03,9.05,9.05,19900,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,-1.3279040895652572,,,0.810357142857143,0.12340237990304272,-0.049391913028565736,0.7421099350171224,0.033450098511754824,
2021-12-20,8.87,9.4,8.87,9.0,9.0,59800,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,-0.4523502424611414,,,0.8028571428571432,-0.06227758007117524,-0.050568060296177796,0.6191541831722126,-0.04713581515011469,
2021-12-21,8.93,9.38,8.93,9.21,9.21,22600,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,0.14137808575511723,,,0.7428571428571431,0.28269230769230874,0.04802766863632957,-0.8302855024781253,-0.09744574178214112,
2021-12-22,9.21,9.59,9.21,9.48,9.48,14800,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,2.331605278133142,,,0.7335714285714288,0.3680623174294054,0.0669630903572441,-0.3060596785670298,-0.051326370730802325,
2021-12-23,10.1,10.5,9.62,10.44,10.44,136800,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,11.854784409709861,,,0.7214285714285715,1.3306930693069292,0.21867427784492333,0.8830719123464418,0.02656310333853686,
2021-12-27,11.4,11.5,10.71,10.82,10.82,322600,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,14.013240878660094,,,0.750714285714286,0.506184586108469,0.2606312644350977,-0.5046997653212298,0.05099467700020359,
2021-12-28,11.23,11.23,10.62,10.79,10.79,102900,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,13.372843056990845,,,0.7742857142857147,-0.038745387453875985,0.244526846922531,0.042856098768382575,0.13209910007898826,
2021-12-29,10.9,10.9,10.3,10.39,10.39,34800,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,8.921193245824742,,,0.7450000000000002,-0.5369127516778502,0.17159480009808153,-0.6506698201377265,0.06476146458823566,
2021-12-30,10.54,11.0,10.29,10.56,10.56,17400,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,10.284543987261774,,,0.7100000000000002,0.2394366197183097,0.09576846419978226,0.48286152268098625,-0.025733386202958834,
2021-12-31,10.32,10.89,10.05,10.39,10.39,68600,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,8.124130426017073,,,0.7021428571428574,-0.24211597151576786,0.05952414902253865,-0.022252718208711275,-0.004841372865733028,
2022-01-03,10.78,11.0,10.4,10.55,10.55,106900,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,7.99485018438908,,,0.6535714285714287,0.24480874316939907,0.11208389728201677,-0.2914166315543312,-0.03125405087444648,
2022-01-04,10.7,10.75,10.1,10.39,10.39,43500,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,5.352410565954746,,,0.6500000000000002,-0.24615384615384628,0.14704526618833988,-0.19160362958008414,-0.024866677634532996,
2022-01-05,18.209999,18.68,14.038,15.21,15.21,20363200,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,51.79377164510408,,,1.192857142857143,4.040718562874251,0.4125275248115891,5.7266275981751456,0.42792708957530806,
2022-01-06,14.22,14.8,13.31,14.5,14.5,866900,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,40.6948935645089,,,1.2785714285714285,-0.5553072625698331,0.3896061276256976,-0.4702432461518468,0.37353216129722905,
2022-01-07,13.86,15.19,13.63,13.9,13.9,463500,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,32.719045886342116,,,1.372142857142857,-0.4372722540343569,0.3495579394873119,-0.06864748180679597,0.3156209172383777,
2022-01-10,13.93,14.03,13.15,13.67,13.67,139600,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,28.362150997338475,,,1.3971428571428568,-0.1646216768916159,0.34224764685728043,-0.03494185518913842,0.2688997716411384,
2022-01-11,13.67,14.35,13.45,14.09,14.09,114100,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,28.416386967878758,,,1.429285714285714,0.2938530734632684,0.34304484441234895,-0.5375712380316288,0.28980793338731664,
2022-01-12,15.0,16.5,14.64,16.120001,16.120001,430500,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,41.94256218268153,,,1.5742857142857143,1.2894743194192368,0.4088599874116226,1.0277316253845892,0.3850787408124324,
2022-01-13,16.809999,17.41,16.4,16.440001,16.440001,276600,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,42.160639998370364,,,1.5935713571428571,0.2008068220890554,0.32815382689606026,1.4409337850361545,0.4249260174331261,
2022-01-14,16.690001,20.950001,16.690001,20.870001,20.870001,592100,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,71.48130411499652,,,1.8399999285714288,2.4076087891152476,0.4639698413965444,2.335785850725936,0.6278178471507808,
2022-01-18,23.91,30.0,22.51,26.690001,26.690001,2437200,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,107.98109821738527,,,2.4485712857142863,2.376896288033622,0.6365156753599371,3.855467828212218,0.9001472563967691,11.29960006
2022-01-19,26.18,26.75,23.355,24.59,24.59,426600,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,82.26255432307343,,,2.648214142857143,-0.7929876085225948,0.618224614156741,-0.07701139214653363,0.94112285839614,11.26220008
2022-01-20,23.114,25.41,22.041,23.75,23.75,264200,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,68.6058520027325,,,2.838142714285714,-0.29596820335069224,0.5799814125089553,0.4353323209122341,0.9377279154126575,11.503200080000001
2022-01-21,22.879999,27.945,22.629999,27.76,27.76,517700,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,88.02736319568649,,,3.157785642857143,1.2698772030554235,0.6879809249783261,2.415833287535453,1.1118769158229551,11.87620008
2022-01-24,23.93,24.65,21.32,21.5,21.5,407500,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,39.67753353194101,,,3.5742142142857145,-1.7514339165737511,0.545392163568101,-1.8945888949110434,0.9973646112974757,12.134200080000001
2022-01-25,22.01,22.190001,18.52,20.25,20.25,422400,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,28.769048116946006,,,3.7899285714285713,-0.3298215194406227,0.5394159011904741,0.26114192417646603,1.0297035794229434,12.351400080000001
2022-01-26,15.4,15.965,14.43,14.5,14.5,2151000,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,-9.016665488301623,,,3.6135000000000006,-1.5912550159125498,0.1371320741342741,-1.5222000094745343,0.5119301788765378,12.441400080000001
2022-01-27,15.4,16.120001,14.6,15.27,15.27,529300,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,-5.424004044727737,,,3.593500071428571,0.21427577144694235,0.19210229084975808,0.4506172647378628,0.5777059296543742,12.52700008
2022-01-28,14.84,15.79,14.671,15.55,15.55,247900,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,-7.58725542608788,,,3.562000071428572,0.07860752228668672,0.2289508463012612,-0.9162490820413467,0.5171629582090491,12.63020008
2022-01-31,15.75,16.049999,15.25,15.72,15.72,153900,MYNZ,Mainz Biomed NV,헬스케어 업체 및 서비스,-9.853543204285753,,,3.556285714285714,0.04780268337752067,0.2441240148919138,-0.7383896665821009,0.4669166859666947,12.73900008
