Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,71.650002,73.860001,68.230003,69.459999,64.33548,825400,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-05,69.870003,70.010002,63.5,69.260002,64.150246,1245800,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-08,69.269997,71.980003,68.419998,69.739998,64.594826,416300,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-09,71.580002,75.239998,71.489998,74.360001,68.873985,538400,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-10,75.32,75.949997,73.5,74.410004,68.920296,468400,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-11,74.940002,75.510002,74.550003,75.349998,69.790947,476500,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-12,74.690002,75.637001,73.099998,74.599998,69.096268,443100,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-15,74.639999,75.101997,73.660004,74.519997,69.022171,423500,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-16,74.650002,74.650002,73.080002,73.879997,68.429398,343900,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-17,73.0,73.139999,69.917,70.830002,65.604408,488600,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-18,70.129997,70.620003,66.18,66.360001,61.464199,870300,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-19,66.610001,69.699997,65.519997,68.849998,63.770489,1048600,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-22,69.25,70.565002,68.550003,70.370003,65.178345,542200,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-23,70.360001,71.083,69.470001,69.940002,64.780075,385600,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-24,70.0,70.184998,68.230003,69.510002,64.381798,497000,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-25,68.760002,71.419998,68.129997,71.199997,65.947105,649200,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-26,71.519997,71.879997,70.120003,71.839996,66.539886,471700,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-29,71.959999,72.379997,70.419998,70.699997,65.484001,278900,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-30,70.370003,72.18,69.887001,72.110001,66.789978,508100,NEP,Nextera Energy Partners Units,전기 유틸리티,,,
2021-03-31,73.120003,73.82,72.190002,72.879997,67.503159,447500,NEP,Nextera Energy Partners Units,전기 유틸리티,0.49484791666716266,,
2021-04-01,73.620003,74.529999,72.290001,72.669998,67.308655,378400,NEP,Nextera Energy Partners Units,전기 유틸리티,-0.8696484972575802,,
2021-04-05,73.449997,73.989998,71.519997,72.339996,67.002998,404400,NEP,Nextera Energy Partners Units,전기 유틸리티,-2.6474593428473248,,
2021-04-06,72.68,74.0,72.199997,73.830002,68.383095,406100,NEP,Nextera Energy Partners Units,전기 유틸리티,-0.5106106109565078,,
2021-04-07,73.150002,73.510002,71.059998,72.43,67.086365,445500,NEP,Nextera Energy Partners Units,전기 유틸리티,-2.15559508531884,,
2021-04-08,72.910004,74.300003,72.589996,74.0,68.540543,269600,NEP,Nextera Energy Partners Units,전기 유틸리티,-0.1731339422796907,,
2021-04-09,73.800003,73.949997,72.910004,73.660004,68.225616,200100,NEP,Nextera Energy Partners Units,전기 유틸리티,-1.0410549828883675,,
2021-04-12,73.440002,73.459999,71.93,72.489998,67.141945,311100,NEP,Nextera Energy Partners Units,전기 유틸리티,-2.225728933229576,,
2021-04-13,72.669998,74.150002,71.947998,74.120003,68.651688,581700,NEP,Nextera Energy Partners Units,전기 유틸리티,-0.11094807698832643,,
2021-04-14,74.529999,75.239998,73.489998,74.169998,68.69799,544200,NEP,Nextera Energy Partners Units,전기 유틸리티,0.5523889751108735,,
2021-04-15,74.580002,74.580002,73.300003,73.75,68.308983,850800,NEP,Nextera Energy Partners Units,전기 유틸리티,-1.0756884891458318,,
2021-04-16,74.029999,74.620003,73.620003,74.32,68.836937,570600,NEP,Nextera Energy Partners Units,전기 유틸리티,-0.8936927062240696,,
2021-04-19,74.349998,74.616997,72.841003,74.080002,68.614632,925500,NEP,Nextera Energy Partners Units,전기 유틸리티,-0.7418438964877705,,
2021-04-20,74.169998,74.379997,71.400002,71.699997,66.410217,658600,NEP,Nextera Energy Partners Units,전기 유틸리티,-3.132921311053294,,
2021-04-21,71.940002,75.0,71.199997,71.550003,66.271294,1037900,NEP,Nextera Energy Partners Units,전기 유틸리티,-4.028231594984522,,
2021-04-22,71.449997,73.459999,70.889999,72.599998,67.243828,523900,NEP,Nextera Energy Partners Units,전기 유틸리티,-1.6277525497356615,,
2021-04-23,72.849998,73.970001,72.099998,73.529999,68.105217,462200,NEP,Nextera Energy Partners Units,전기 유틸리티,-1.2727272308429627,,
2021-04-26,74.209999,74.625,73.199997,73.660004,68.225616,604900,NEP,Nextera Energy Partners Units,전기 유틸리티,-1.1395446262795317,,
2021-04-27,73.510002,74.610001,73.309998,74.370003,68.883247,600900,NEP,Nextera Energy Partners Units,전기 유틸리티,-0.1538616725526576,,
2021-04-28,74.019997,74.650002,73.556999,74.300003,68.818413,296100,NEP,Nextera Energy Partners Units,전기 유틸리티,-0.03569054807468497,,
2021-04-29,74.75,75.349998,74.129997,75.209999,69.661263,343100,NEP,Nextera Energy Partners Units,전기 유틸리티,0.6465442324860904,,
2021-04-30,74.75,75.519997,74.510002,74.550003,69.049957,394100,NEP,Nextera Energy Partners Units,전기 유틸리티,0.556507352693214,,
2021-05-03,75.290001,75.300003,73.910004,74.239998,68.762817,394200,NEP,Nextera Energy Partners Units,전기 유틸리티,-0.1269678662011886,,
2021-05-04,73.720001,73.720001,71.889999,72.440002,67.095642,809700,NEP,Nextera Energy Partners Units,전기 유틸리티,-1.6912828401353996,,
2021-05-05,71.900002,72.120003,69.360001,70.089996,65.495842,801500,NEP,Nextera Energy Partners Units,전기 유틸리티,-4.695591146907896,,
2021-05-06,69.75,70.095001,67.25,69.209999,64.673538,1256800,NEP,Nextera Energy Partners Units,전기 유틸리티,-6.232190684867723,,
2021-05-07,70.0,70.120003,68.110001,68.190002,63.72039,544900,NEP,Nextera Energy Partners Units,전기 유틸리티,-7.836541452346446,,
