Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,13.65,13.65,13.26,13.35,11.598905,472100,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-05,13.45,13.51,13.03,13.36,11.607592,378200,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-08,13.39,13.43,13.2,13.22,11.485954,240400,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-09,13.35,13.54,13.35,13.46,11.694475,264800,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-10,13.57,13.63,13.5,13.61,11.824798,291700,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-11,13.7,13.81,13.7,13.74,11.937749,134300,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-12,13.52,13.62,13.44,13.57,11.986328,211100,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-15,13.57,13.62,13.55,13.62,12.030494,127000,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-16,13.65,13.7,13.61,13.62,12.030494,210800,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-17,13.62,13.62,13.47,13.57,11.986328,330600,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-18,13.51,13.59,13.45,13.47,11.897999,252500,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-19,13.44,13.52,13.4,13.48,11.906832,194800,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-22,13.51,13.59,13.51,13.59,12.003996,127800,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-23,13.58,13.58,13.44,13.45,11.880334,192000,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-24,13.49,13.6,13.44,13.45,11.880334,181300,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-25,13.36,13.47,13.28,13.47,11.897999,187100,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-26,13.57,13.64,13.53,13.64,12.048161,307700,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-29,13.6,13.69,13.59,13.68,12.083492,271100,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-30,13.67,13.69,13.59,13.67,12.07466,156500,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,,,
2021-03-31,13.67,13.82,13.67,13.78,12.171822,212600,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,0.3453932784656333,,
2021-04-01,13.78,14.0,13.78,13.96,12.330816,235300,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,0.5696367816131032,,
2021-04-05,14.0,14.12,13.98,14.06,12.419146,219300,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,-0.10882102564298002,,
2021-04-06,14.12,14.23,14.12,14.17,12.516307,248800,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,0.7435092000030563,,
2021-04-07,14.22,14.24,14.17,14.18,12.525141,247300,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,0.6626318249703722,,
2021-04-08,14.25,14.33,14.25,14.32,12.648801,222900,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,1.2229448120960384,,
2021-04-09,14.32,14.35,14.26,14.33,12.657634,141700,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,0.5426130825862963,,
2021-04-12,14.38,14.39,14.31,14.38,12.701799,188500,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,0.851435680968593,,
2021-04-13,14.42,14.49,14.42,14.46,12.772463,169900,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,0.9921232632714716,,
2021-04-14,14.5,14.5,14.42,14.46,12.772463,212900,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,1.3059857480523407,,
2021-04-15,14.56,14.58,14.45,14.58,12.878458,250700,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,0.90713515116847,,
2021-04-16,14.67,14.67,14.49,14.52,12.825461,246500,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,0.08873098870902929,,
2021-04-19,14.54,14.54,14.44,14.46,12.772463,188500,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,0.16585728292308755,,
2021-04-20,14.46,14.49,14.4,14.43,12.745963,151100,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,0.5831092098216084,,
2021-04-21,14.44,14.53,14.44,14.5,12.807795,123800,NFJ,Virtus Dividend Interest & Prem Str Fd,다양한 금융서비스,0.08875732680595494,,
