Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,12.92,12.96,12.45,12.59,10.71947,593400,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-05,12.56,12.63,12.16,12.53,10.668385,557900,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-08,12.6,12.88,12.49,12.85,10.94084,499700,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-09,12.86,12.95,12.69,12.8,10.89827,515600,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-10,12.91,13.03,12.84,12.91,10.991926,656100,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-11,12.98,13.01,12.87,12.99,11.060041,632700,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-12,13.05,13.13,12.94,13.11,11.162212,973600,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-15,13.19,13.44,13.15,13.39,11.400612,611100,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-16,13.0,13.13,12.65,12.82,11.165459,626400,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-17,12.79,12.9,12.66,12.82,11.165459,606500,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-18,12.82,12.86,12.46,12.5,10.886758,417800,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-19,12.52,12.74,12.46,12.71,11.069654,1086600,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-22,12.72,12.73,12.53,12.6,10.973851,370300,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-23,12.52,12.64,12.32,12.38,10.782245,265700,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-24,12.47,12.69,12.39,12.39,10.790955,333800,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-25,12.32,12.54,12.24,12.5,10.886758,408500,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-26,12.41,12.63,12.41,12.6,10.973851,460900,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-29,12.6,12.65,12.42,12.51,10.895467,364400,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-30,12.52,12.63,12.44,12.6,10.973851,350700,NMFC,New Mountain Finance Corp,다양한 금융서비스,,,
2021-03-31,12.68,12.71,12.39,12.4,10.799662,859700,NMFC,New Mountain Finance Corp,다양한 금융서비스,-3.738555461736537,,
2021-04-01,12.46,12.77,12.44,12.77,11.121911,659500,NMFC,New Mountain Finance Corp,다양한 금융서비스,-1.7761644915783692,,
2021-04-05,12.82,12.86,12.71,12.73,11.087071,273400,NMFC,New Mountain Finance Corp,다양한 금융서비스,-3.2685692529269894,,
2021-04-06,12.71,12.77,12.7,12.77,11.121911,406700,NMFC,New Mountain Finance Corp,다양한 금융서비스,-2.525540682356764,,
2021-04-07,12.8,12.97,12.73,12.86,11.200294,385500,NMFC,New Mountain Finance Corp,다양한 금융서비스,-1.752722809353091,,
2021-04-08,12.88,12.9,12.78,12.86,11.200294,181900,NMFC,New Mountain Finance Corp,다양한 금융서비스,-1.9018963873686512,,
2021-04-09,12.9,12.96,12.82,12.92,11.25255,233700,NMFC,New Mountain Finance Corp,다양한 금융서비스,-1.9413762843868088,,
2021-04-12,12.96,13.09,12.92,12.98,11.304808,321800,NMFC,New Mountain Finance Corp,다양한 금융서비스,-1.1876804742171454,,
2021-04-13,12.95,13.04,12.83,12.95,11.27868,334000,NMFC,New Mountain Finance Corp,다양한 금융서비스,-1.3571344622794634,,
2021-04-14,13.0,13.05,12.83,12.86,11.200294,240800,NMFC,New Mountain Finance Corp,다양한 금융서비스,-1.4582476600435657,,
2021-04-15,12.86,13.01,12.85,12.93,11.261262,208800,NMFC,New Mountain Finance Corp,다양한 금융서비스,-1.8143199746734062,,
2021-04-16,12.94,13.05,12.93,12.99,11.313518,314400,NMFC,New Mountain Finance Corp,다양한 금융서비스,-1.5748831044103406,,
2021-04-19,12.99,13.06,12.98,13.02,11.339647,318000,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.6310826969531447,,
2021-04-20,13.0,13.05,12.96,12.97,11.296099,306200,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.2383551701603981,,
2021-04-21,12.95,13.1,12.92,13.06,11.374485,191800,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.414520899927151,,
2021-04-22,13.06,13.07,12.97,12.97,11.296099,215200,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.10328623887182475,,
2021-04-23,13.1,13.1,12.99,13.07,11.383192,288000,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.30917171352119466,,
2021-04-26,13.07,13.14,13.01,13.12,11.426741,265100,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.04666643708335361,,
2021-04-27,13.11,13.17,13.07,13.12,11.426741,275100,NMFC,New Mountain Finance Corp,다양한 금융서비스,0.0012187192579116157,,
2021-04-28,13.14,13.19,13.08,13.16,11.461576,214700,NMFC,New Mountain Finance Corp,다양한 금융서비스,0.4503698681720181,,
2021-04-29,13.2,13.25,13.1,13.19,11.487705,818100,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.014132005417333282,,
2021-04-30,13.18,13.23,13.09,13.15,11.452868,341100,NMFC,New Mountain Finance Corp,다양한 금융서비스,0.4558137217659075,,
2021-05-03,13.16,13.2,12.98,13.0,11.322227,367700,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.9289444235070499,,
2021-05-04,13.0,13.03,12.7,12.8,11.148039,644100,NMFC,New Mountain Finance Corp,다양한 금융서비스,-1.7013671718908774,,
2021-05-05,12.82,12.85,12.65,12.77,11.121911,556900,NMFC,New Mountain Finance Corp,다양한 금융서비스,-1.8627813638456336,,
2021-05-06,12.85,13.07,12.8,13.01,11.330936,922200,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.7609020980276604,,
2021-05-07,13.05,13.12,12.89,13.11,11.41803,355900,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.6793673012318591,,
2021-05-10,13.1,13.21,12.98,12.98,11.304808,356100,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.5548761774773148,,
2021-05-11,12.88,13.08,12.84,12.86,11.200294,522900,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.5649551209039316,,
2021-05-12,12.86,12.95,12.51,12.55,10.930304,985300,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.7886751949736648,,
2021-05-13,12.6,12.89,12.6,12.8,11.148039,348300,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.048661586893083975,,
2021-05-14,12.9,13.03,12.86,12.93,11.261262,292900,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.508443675963377,,
2021-05-17,12.94,13.09,12.87,12.99,11.313518,206900,NMFC,New Mountain Finance Corp,다양한 금융서비스,0.21839551548690217,,
2021-05-18,13.02,13.21,12.99,13.09,11.400612,230700,NMFC,New Mountain Finance Corp,다양한 금융서비스,1.801087670264545,,
2021-05-19,13.03,13.14,12.91,13.11,11.41803,325100,NMFC,New Mountain Finance Corp,다양한 금융서비스,2.16569827541655,,
2021-05-20,13.2,13.21,13.09,13.16,11.461576,205700,NMFC,New Mountain Finance Corp,다양한 금융서비스,1.4395081794182474,,
2021-05-21,13.12,13.18,13.03,13.15,11.452868,263000,NMFC,New Mountain Finance Corp,다양한 금융서비스,1.3809393579883311,,
2021-05-24,13.15,13.18,13.04,13.15,11.452868,207000,NMFC,New Mountain Finance Corp,다양한 금융서비스,0.3858096533243316,,
2021-05-25,13.19,13.23,12.99,13.0,11.322227,150600,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.5005592406621351,,
2021-05-26,13.02,13.16,13.0,13.12,11.426741,194100,NMFC,New Mountain Finance Corp,다양한 금융서비스,0.2605364305218405,,
2021-05-27,13.17,13.27,13.05,13.25,11.539963,496300,NMFC,New Mountain Finance Corp,다양한 금융서비스,1.1001678263330428,,
2021-05-28,13.27,13.28,13.17,13.28,11.566091,211900,NMFC,New Mountain Finance Corp,다양한 금융서비스,1.2288981985109526,,
2021-06-01,13.38,13.38,13.21,13.29,11.5748,391600,NMFC,New Mountain Finance Corp,다양한 금융서비스,1.2542845953416037,,
2021-06-02,13.34,13.39,13.26,13.34,11.618348,299000,NMFC,New Mountain Finance Corp,다양한 금융서비스,1.3317191597510991,,
2021-06-03,13.35,13.39,13.24,13.29,11.5748,259600,NMFC,New Mountain Finance Corp,다양한 금융서비스,1.1489220943091238,,
2021-06-04,13.35,13.37,13.28,13.34,11.618348,376200,NMFC,New Mountain Finance Corp,다양한 금융서비스,0.5484382390219311,,
2021-06-07,13.39,13.53,13.34,13.47,11.731569,450500,NMFC,New Mountain Finance Corp,다양한 금융서비스,1.4642756789328581,,
2021-06-08,13.48,13.6,13.44,13.57,11.818664,236300,NMFC,New Mountain Finance Corp,다양한 금융서비스,2.019218314495763,,
2021-06-09,13.57,13.71,13.51,13.68,11.914466,270100,NMFC,New Mountain Finance Corp,다양한 금융서비스,2.7975511016889776,,
2021-06-10,13.75,13.75,13.31,13.36,11.635766,608400,NMFC,New Mountain Finance Corp,다양한 금융서비스,-0.1712440676805982,,
