Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2018-03-12,173.399994,176.300003,173.0,176.0,113.94455,17170,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-13,177.100006,177.100006,174.899994,176.800003,114.462479,12590,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-14,176.800003,176.800003,172.699997,173.699997,112.455505,13870,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-15,173.600006,174.399994,155.699997,163.600006,105.916649,64270,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-16,164.399994,168.800003,164.399994,167.600006,108.506302,28600,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-19,167.600006,167.600006,160.199997,163.699997,105.981377,37570,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-20,163.600006,163.600006,159.300003,160.5,103.909653,26410,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-21,160.300003,163.699997,160.0,163.300003,105.722404,26590,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-22,162.300003,162.699997,158.5,159.899994,103.521225,31870,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-23,161.399994,161.399994,157.5,158.0,102.29113,31060,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-26,159.0,159.5,155.399994,158.0,102.29113,29930,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-27,158.399994,159.199997,153.399994,157.0,101.643715,33550,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-28,155.699997,159.300003,154.5,157.5,101.967415,28000,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,,,,,,
2018-03-29,158.899994,160.899994,157.100006,159.699997,103.391739,14260,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,,,,,,
2018-04-02,159.899994,162.899994,157.399994,158.5,102.614838,16500,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,5.600000642857144,-0.2142851539723668,,0.986831049216551,,
2018-04-03,159.100006,160.600006,155.399994,159.600006,103.326988,17340,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,5.814286357142858,0.18919020021238703,,-0.47356340570882144,,
2018-04-04,157.0,160.800003,156.300003,159.5,103.262276,14780,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,5.842857357142857,-0.017115940692570712,,-0.5958483593451384,,
2018-04-05,159.5,166.199997,159.5,165.0,106.823006,25180,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,4.9857145,1.1031518150507815,,0.7585410559959145,,
2018-04-06,164.399994,166.0,160.100006,161.800003,104.751305,28390,NTG,Tortoise Midstream Energy Closed Fund,다양한 금융서비스,,,,5.035714285714286,-0.6354603971631199,,0.38677097147505646,,
