Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,16.620001,16.620001,16.42,16.5,15.344097,30100,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-05,16.5,16.549999,16.42,16.51,15.353395,49000,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-08,16.59,16.59,16.51,16.52,15.362697,14200,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-09,16.58,16.66,16.5,16.65,15.483589,25700,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-10,16.690001,16.82,16.67,16.780001,15.604482,21500,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-11,16.9,17.139999,16.709999,17.01,15.81837,27300,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-12,16.969999,16.969999,16.870001,16.950001,15.805316,19700,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-15,18.5,18.5,17.370001,17.809999,16.607233,77300,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-16,17.690001,17.77,17.459999,17.459999,16.280878,41400,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-17,17.469999,17.65,17.209999,17.299999,16.13168,21100,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-18,17.26,17.5,17.200001,17.389999,16.215595,28000,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-19,17.450001,17.5,17.389999,17.459999,16.280878,7800,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-22,17.459999,17.549999,17.200001,17.440001,16.262226,19500,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-23,17.4,17.4,17.190001,17.219999,16.057076,10500,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-24,17.280001,17.280001,17.17,17.17,16.010452,9900,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-25,17.280001,17.309999,17.25,17.299999,16.13168,10600,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-26,17.280001,17.370001,17.280001,17.299999,16.13168,13200,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-29,17.309999,17.379999,17.280001,17.360001,16.187624,10300,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-30,17.379999,17.450001,17.35,17.450001,16.271547,15300,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,,,
2021-03-31,17.49,17.49,17.33,17.389999,16.215595,16500,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,-0.0008679486297569206,,
2021-04-01,17.66,17.719999,17.49,17.719999,16.52331,21500,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,0.6717741536001798,,
2021-04-05,17.719999,17.719999,17.48,17.639999,16.448715,11700,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,-1.2411604578424607,,
2021-04-06,17.610001,17.82,17.5,17.799999,16.597908,19700,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,-0.3008058953687831,,
2021-04-07,17.799999,17.82,17.700001,17.82,16.616558,14700,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,-0.4169450065153901,,
2021-04-08,17.82,18.049999,17.82,18.01,16.79373,10300,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,0.11700854083573908,,
2021-04-09,18.15,18.450001,18.02,18.34,17.101444,16200,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,1.0277912416818857,,
2021-04-12,18.48,18.48,18.219999,18.450001,17.204014,19700,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,1.4562666636665167,,
2021-04-13,18.32,18.48,18.02,18.02,16.803045,21200,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,-1.0805942701077598,,
2021-04-14,18.139999,18.42,18.01,18.23,17.042377,14700,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,0.46730499590406094,,
2021-04-15,18.23,18.23,17.889999,18.0,16.827362,42500,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,-1.847377969099362,,
2021-04-16,17.950001,18.290001,17.67,17.700001,16.5469,31100,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,-3.5974301557107013,,
2021-04-19,17.66,17.82,17.629999,17.66,16.50951,27700,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,-3.0590019294206905,,
2021-04-20,17.74,17.99,17.6,17.700001,16.5469,14600,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,-2.0114709192090907,,
2021-04-21,17.67,17.690001,17.58,17.68,16.528206,33300,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,-2.8387476458261895,,
2021-04-22,17.639999,17.66,17.52,17.530001,16.387981,16800,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,-2.571509653042725,,
2021-04-23,17.530001,17.860001,17.51,17.67,16.518854,29900,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,-2.633570078679248,,
2021-04-26,17.700001,17.709999,17.51,17.51,16.36928,29400,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,-3.4964463357558206,,
2021-04-27,17.549999,17.59,17.450001,17.450001,16.313194,28400,NXP,Nuveen Select Tax-Free Income Portfolio,투자은행 및 서비스,-3.5798506137197483,,
