Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2020-08-18,NYC,American Strategic Investment Co,부동산 운영 관리,30.0,30.0,15.5,17.6,17.6,102300.0,,,,,,,,,,,,,False
2020-08-19,NYC,American Strategic Investment Co,부동산 운영 관리,16.35,17.6,13.38,14.479,14.479,87700.0,,,,,,,,,,,,,False
2020-08-20,NYC,American Strategic Investment Co,부동산 운영 관리,14.95,14.95,14.08,14.75,14.75,44500.0,,,,,,,,,,,,,False
2020-08-21,NYC,American Strategic Investment Co,부동산 운영 관리,14.39,14.5,13.25,13.83,13.83,27900.0,,,,,,,,,,,,,False
2020-08-24,NYC,American Strategic Investment Co,부동산 운영 관리,13.76,14.05,13.51,13.79,13.79,28700.0,,,,,,,,,,,,,False
2020-08-25,NYC,American Strategic Investment Co,부동산 운영 관리,13.53,13.75,13.42,13.54,13.54,29300.0,,,,,,,,,,,,,False
2020-08-26,NYC,American Strategic Investment Co,부동산 운영 관리,13.45,13.54,13.14,13.25,13.25,27700.0,,,,,,,,,,,,,False
2020-08-27,NYC,American Strategic Investment Co,부동산 운영 관리,13.25,13.99,13.21,13.95,13.95,19500.0,,,,,,,,,,,,,False
2020-08-28,NYC,American Strategic Investment Co,부동산 운영 관리,13.81,14.0,13.397,13.473,13.473,15700.0,,,,,,,,,,,,,False
2020-08-31,NYC,American Strategic Investment Co,부동산 운영 관리,13.47,14.0,13.16,13.3,13.3,13900.0,,,,,,,,,,,,,False
2020-09-01,NYC,American Strategic Investment Co,부동산 운영 관리,13.16,13.684,13.11,13.25,13.25,8000.0,,,,,,,,,,,,,False
2020-09-02,NYC,American Strategic Investment Co,부동산 운영 관리,13.23,13.41,13.11,13.19,13.19,14300.0,,,,,,,,,,,,,False
2020-09-03,NYC,American Strategic Investment Co,부동산 운영 관리,13.15,13.225,12.77,13.11,13.11,17300.0,,,,,,,,,,,,,False
2020-09-04,NYC,American Strategic Investment Co,부동산 운영 관리,13.11,13.11,12.77,12.82,12.82,17000.0,,,,,,,,,,,,,False
2020-09-08,NYC,American Strategic Investment Co,부동산 운영 관리,12.89,12.89,12.308,12.31,12.31,43400.0,,,,,,,0.8838571428571428,-0.5770163245514787,,1.2412719860190915,,,False
2020-09-09,NYC,American Strategic Investment Co,부동산 운영 관리,12.25,12.25,12.032,12.15,12.15,16500.0,,,,,,,0.6022857142857142,-0.265654648956357,,-1.447000969201881,,,False
2020-09-10,NYC,American Strategic Investment Co,부동산 운영 관리,12.12,12.12,12.05,12.1,12.1,6600.0,,,,,,,0.5472857142857143,-0.09135995823544897,,0.8866213946801117,,,False
2020-09-11,NYC,American Strategic Investment Co,부동산 운영 관리,12.01,12.055,12.01,12.05,12.05,7300.0,,,,,,,0.4465714285714285,-0.11196417146512878,,-0.13985652290574227,,,False
2020-09-14,NYC,American Strategic Investment Co,부동산 운영 관리,11.86,12.15,11.725,12.0,12.0,15800.0,,,,,,,0.4383571428571428,-0.11406224539677531,,-0.7615300052383319,,,False
2020-09-15,NYC,American Strategic Investment Co,부동산 운영 관리,12.0,12.04,11.9,11.939,11.939,15300.0,-9.815980117259915,,,,,,0.4219285714285713,-0.14457423395970873,,-0.40814101603172737,,,False
