Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-10-27,9.97,9.98,9.95,9.95,9.95,3928637,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-10-28,9.96,9.98,9.95,9.98,9.98,343762,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-10-29,9.98,9.99,9.95,9.98,9.98,240787,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-01,9.98,10.0,9.95,9.96,9.96,191437,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-02,9.99,9.99,9.95,9.95,9.95,441285,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-03,9.9647,9.99,9.9647,9.99,9.99,10150,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-04,10.0,10.0,9.96,9.96,9.96,78263,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-05,10.0,10.0,10.0,10.0,10.0,136,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-08,9.97,9.9962,9.96,9.96,9.96,132963,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-09,9.98,9.98,9.96,9.96,9.96,72963,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-10,9.99,9.99,9.96,9.97,9.97,7677,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-11,9.96,9.99,9.96,9.97,9.97,28362,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-12,9.98,9.98,9.9544,9.96,9.96,90061,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-15,9.9732,9.9732,9.96,9.97,9.97,95333,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-16,9.9999,9.9999,9.9999,9.9999,9.9999,1054,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-17,10.0,10.0,9.985,10.0,10.0,27534,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-18,10.0,10.0,10.0,10.0,10.0,22603,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-19,10.02,10.02,10.0,10.0,10.0,27457,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-22,10.0,10.04,9.98,10.04,10.04,64827,OHAAU,Opy Acquisition I Units,기타 금융업,,,
2021-11-23,10.04,10.04,10.04,10.04,10.04,0,OHAAU,Opy Acquisition I Units,기타 금융업,-0.030290512095376698,,
2021-11-24,10.04,10.04,10.04,10.04,10.04,0,OHAAU,Opy Acquisition I Units,기타 금융업,-0.14131747142674955,,
2021-11-26,10.09,10.09,10.09,10.09,10.09,200,OHAAU,Opy Acquisition I Units,기타 금융업,2.6301008552884753,,
2021-11-29,9.9997,10.0115,9.9997,10.0115,10.0115,1000,OHAAU,Opy Acquisition I Units,기타 금융업,0.5436202202987905,,
2021-11-30,10.0115,10.0115,10.0115,10.0115,10.0115,0,OHAAU,Opy Acquisition I Units,기타 금융업,2.4071013185303025,,
2021-12-01,10.0,10.0,10.0,10.0,10.0,1920,OHAAU,Opy Acquisition I Units,기타 금융업,3.350566410342126,,
2021-12-02,10.0,10.0,10.0,10.0,10.0,0,OHAAU,Opy Acquisition I Units,기타 금융업,1.806098829397218,,
2021-12-03,10.0,10.0,10.0,10.0,10.0,0,OHAAU,Opy Acquisition I Units,기타 금융업,2.493901017328981,,
2021-12-06,10.0,10.0,10.0,10.0,10.0,0,OHAAU,Opy Acquisition I Units,기타 금융업,1.1899936938613909,,
2021-12-07,10.0,10.0,10.0,10.0,10.0,0,OHAAU,Opy Acquisition I Units,기타 금융업,-0.8980541649612372,,
2021-12-08,10.0,10.0,10.0,10.0,10.0,0,OHAAU,Opy Acquisition I Units,기타 금융업,-1.2058348026273813,,
2021-12-09,10.01,10.01,9.961,9.98,9.98,3472,OHAAU,Opy Acquisition I Units,기타 금융업,-0.6732221447117603,,
2021-12-10,9.96,9.96,9.95,9.95,9.95,300,OHAAU,Opy Acquisition I Units,기타 금융업,-1.8336924846450775,,
2021-12-13,9.95,9.95,9.95,9.95,9.95,0,OHAAU,Opy Acquisition I Units,기타 금융업,-0.9381866005512385,,
2021-12-14,10.06,10.06,9.9995,9.9995,9.9995,11600,OHAAU,Opy Acquisition I Units,기타 금융업,0.23700455864652525,,
2021-12-15,10.0,10.0,9.8966,9.95,9.95,7837,OHAAU,Opy Acquisition I Units,기타 금융업,-1.8301983546755607,,
2021-12-16,9.957,9.97,9.95,9.95,9.95,10096,OHAAU,Opy Acquisition I Units,기타 금융업,-0.9606682380496223,,
2021-12-17,9.9508,9.99,9.94,9.99,9.99,623,OHAAU,Opy Acquisition I Units,기타 금융업,0.38611726209121233,,
2021-12-20,9.95,9.95,9.95,9.95,9.95,196,OHAAU,Opy Acquisition I Units,기타 금융업,1.0195816370649924,,
2021-12-21,9.95,9.95,9.95,9.95,9.95,0,OHAAU,Opy Acquisition I Units,기타 금융업,-0.736190998998576,,
2021-12-22,10.0,10.0,10.0,10.0,10.0,1169,OHAAU,Opy Acquisition I Units,기타 금융업,-1.2171172482272063,,
2021-12-23,9.8,10.0,9.8,10.0,10.0,5349,OHAAU,Opy Acquisition I Units,기타 금융업,-1.7837767993299058,,
2021-12-27,10.0,10.0,10.0,10.0,10.0,0,OHAAU,Opy Acquisition I Units,기타 금융업,-2.879017923129523,,
2021-12-28,10.0,10.0,10.0,10.0,10.0,5036,OHAAU,Opy Acquisition I Units,기타 금융업,-2.6419601947086035,,
2021-12-29,10.0,10.0,10.0,10.0,10.0,0,OHAAU,Opy Acquisition I Units,기타 금융업,-2.5380267926563227,,
2021-12-30,10.0,10.0,10.0,10.0,10.0,166,OHAAU,Opy Acquisition I Units,기타 금융업,-1.9636684445609398,,
2021-12-31,10.0,10.0,10.0,10.0,10.0,0,OHAAU,Opy Acquisition I Units,기타 금융업,-1.5055588831085376,,
2022-01-03,10.0,10.01,9.99,10.01,10.01,27062,OHAAU,Opy Acquisition I Units,기타 금융업,-1.7629078533135,,
2022-01-04,10.01,10.02,10.01,10.02,10.02,32150,OHAAU,Opy Acquisition I Units,기타 금융업,-1.3996528478743442,,
2022-01-05,10.02,10.02,10.01,10.01,10.01,19913,OHAAU,Opy Acquisition I Units,기타 금융업,0.4597786188262676,,
2022-01-06,10.01,10.02,10.01,10.01,10.01,176008,OHAAU,Opy Acquisition I Units,기타 금융업,0.5460985315302702,,
2022-01-07,10.01,10.01,10.01,10.01,10.01,0,OHAAU,Opy Acquisition I Units,기타 금융업,0.9501434827378752,,
2022-01-10,10.01,10.01,10.0,10.01,10.01,40881,OHAAU,Opy Acquisition I Units,기타 금융업,1.0202668977623341,,
2022-01-11,10.01,10.01,10.01,10.01,10.01,0,OHAAU,Opy Acquisition I Units,기타 금융업,0.12033315354349483,,
2022-01-12,10.01,10.01,10.01,10.01,10.01,0,OHAAU,Opy Acquisition I Units,기타 금융업,-0.067007339024161,,
2022-01-13,9.94,9.94,9.94,9.94,9.94,304,OHAAU,Opy Acquisition I Units,기타 금융업,0.6184300878824933,,
2022-01-14,9.94,10.04,9.93,10.04,10.04,1240,OHAAU,Opy Acquisition I Units,기타 금융업,1.494860058220504,,
2022-01-18,10.04,10.04,10.04,10.04,10.04,0,OHAAU,Opy Acquisition I Units,기타 금융업,3.3194313608472026,,
2022-01-19,9.99,9.99,9.99,9.99,9.99,250,OHAAU,Opy Acquisition I Units,기타 금융업,3.7478087407300853,,
2022-01-20,9.99,9.99,9.99,9.99,9.99,0,OHAAU,Opy Acquisition I Units,기타 금융업,4.687841238047152,,
2022-01-21,9.99,9.99,9.99,9.99,9.99,0,OHAAU,Opy Acquisition I Units,기타 금융업,6.350710878714549,,
2022-01-24,9.99,9.99,9.99,9.99,9.99,0,OHAAU,Opy Acquisition I Units,기타 금융업,5.687634570728228,,
2022-01-25,9.99,9.99,9.99,9.99,9.99,0,OHAAU,Opy Acquisition I Units,기타 금융업,6.478245863192611,,
2022-01-26,9.9023,10.0,9.9023,10.0,10.0,6660,OHAAU,Opy Acquisition I Units,기타 금융업,6.227632578269238,,
2022-01-27,10.0,10.0,10.0,10.0,10.0,0,OHAAU,Opy Acquisition I Units,기타 금융업,6.250376347998765,,
2022-01-28,10.0,10.0,10.0,10.0,10.0,0,OHAAU,Opy Acquisition I Units,기타 금융업,3.3358995309634487,,
2022-01-31,10.0,10.0,10.0,10.0,10.0,0,OHAAU,Opy Acquisition I Units,기타 금융업,1.1507480742623644,,
