Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,10.38,10.54,10.13,10.29,10.29,5915800,ORGN,Origin Materials Inc,화학,,,
2021-03-05,10.4,10.77,10.14,10.66,10.66,3487700,ORGN,Origin Materials Inc,화학,,,
2021-03-08,10.75,10.88,10.46,10.68,10.68,3953300,ORGN,Origin Materials Inc,화학,,,
2021-03-09,10.85,10.92,10.535,10.67,10.67,2147200,ORGN,Origin Materials Inc,화학,,,
2021-03-10,10.68,11.0,10.44,10.49,10.49,2605300,ORGN,Origin Materials Inc,화학,,,
2021-03-11,10.6,10.815,10.47,10.78,10.78,3130500,ORGN,Origin Materials Inc,화학,,,
2021-03-12,10.56,10.78,10.54,10.77,10.77,1200300,ORGN,Origin Materials Inc,화학,,,
2021-03-15,10.74,10.75,10.57,10.59,10.59,1864900,ORGN,Origin Materials Inc,화학,,,
2021-03-16,10.6,10.62,10.39,10.45,10.45,1713600,ORGN,Origin Materials Inc,화학,,,
2021-03-17,10.3,10.4,10.3,10.35,10.35,2243700,ORGN,Origin Materials Inc,화학,,,
2021-03-18,10.36,10.56,10.309,10.36,10.36,2486400,ORGN,Origin Materials Inc,화학,,,
2021-03-19,10.45,10.535,10.295,10.31,10.31,1476600,ORGN,Origin Materials Inc,화학,,,
2021-03-22,10.35,10.36,10.26,10.33,10.33,943300,ORGN,Origin Materials Inc,화학,,,
2021-03-23,10.3,10.358,10.11,10.13,10.13,1717100,ORGN,Origin Materials Inc,화학,,,
2021-03-24,10.13,10.24,10.0,10.05,10.05,2064100,ORGN,Origin Materials Inc,화학,,,
2021-03-25,9.86,10.09,9.72,10.07,10.07,2879700,ORGN,Origin Materials Inc,화학,,,
2021-03-26,10.1,10.29,10.05,10.26,10.26,1440600,ORGN,Origin Materials Inc,화학,,,
2021-03-29,10.2,10.215,10.01,10.03,10.03,1430900,ORGN,Origin Materials Inc,화학,,,
