Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-10-31,ORTX,Orchard Therapeutics PLC ADR,제약,17.0,17.25,13.17,14.0,14.0,3534800,,,,,,,,,,,,,False
2018-11-01,ORTX,Orchard Therapeutics PLC ADR,제약,14.28,14.4,13.75,13.89,13.89,102100,,,,,,,,,,,,,False
2018-11-02,ORTX,Orchard Therapeutics PLC ADR,제약,13.67,14.0,13.0,14.0,14.0,181900,,,,,,,,,,,,,False
2018-11-05,ORTX,Orchard Therapeutics PLC ADR,제약,13.9,14.71,13.5,14.09,14.09,164300,,,,,,,,,,,,,False
2018-11-06,ORTX,Orchard Therapeutics PLC ADR,제약,14.1,14.55,14.1,14.55,14.55,87800,,,,,,,,,,,,,False
2018-11-07,ORTX,Orchard Therapeutics PLC ADR,제약,14.69,14.8,14.45,14.6,14.6,86900,,,,,,,,,,,,,False
2018-11-08,ORTX,Orchard Therapeutics PLC ADR,제약,14.64,14.75,14.16,14.48,14.48,40700,,,,,,,,,,,,,False
2018-11-09,ORTX,Orchard Therapeutics PLC ADR,제약,14.55,14.7,14.03,14.6,14.6,125900,,,,,,,,,,,,,False
2018-11-12,ORTX,Orchard Therapeutics PLC ADR,제약,14.5,14.75,14.47,14.5,14.5,27800,,,,,,,,,,,,,False
2018-11-13,ORTX,Orchard Therapeutics PLC ADR,제약,14.33,14.75,14.33,14.55,14.55,48600,,,,,,,,,,,,,False
2018-11-14,ORTX,Orchard Therapeutics PLC ADR,제약,14.47,16.0,14.47,15.71,15.71,78100,,,,,,,,,,,,,False
2018-11-15,ORTX,Orchard Therapeutics PLC ADR,제약,14.89,16.969999,14.89,16.84,16.84,30500,,,,,,,,,,,,,False
2018-11-16,ORTX,Orchard Therapeutics PLC ADR,제약,17.0,18.75,17.0,18.700001,18.700001,108700,,,,,,,,,,,,,False
2018-11-19,ORTX,Orchard Therapeutics PLC ADR,제약,19.030001,19.24,15.34,16.0,16.0,104100,,,,,,,,,,,,,False
2018-11-20,ORTX,Orchard Therapeutics PLC ADR,제약,15.5,16.99,15.19,16.65,16.65,25800,,,,,,,1.2035713571428572,0.5400593792320094,,1.6248090704661509,,,False
2018-11-21,ORTX,Orchard Therapeutics PLC ADR,제약,16.66,17.51,15.84,16.040001,16.040001,23300,,,,,,,1.2764285,-0.4778951582481889,,-0.6576008906766266,,,False
2018-11-23,ORTX,Orchard Therapeutics PLC ADR,제약,16.0,16.860001,16.0,16.76,16.76,11200,,,,,,,1.2664285714285715,0.5685271291596176,,0.9813302411807425,,,False
2018-11-26,ORTX,Orchard Therapeutics PLC ADR,제약,16.4,17.5,16.049999,16.950001,16.950001,84900,,,,,,,1.2835715000000003,0.1480252560920827,,-0.7988913622208571,,,False
