Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,13.42,13.74,13.15,13.51,13.51,147400,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-05,13.59,13.76,13.21,13.67,13.67,102700,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-08,13.67,13.69,13.23,13.28,13.28,95200,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-09,13.36,13.64,13.15,13.3,13.3,99000,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-10,13.39,13.89,12.89,13.88,13.88,136300,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-11,13.87,14.18,13.87,13.97,13.97,94300,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-12,13.77,14.57,13.77,14.29,14.29,112400,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-15,14.16,14.9,14.16,14.69,14.69,125900,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-16,14.65,14.92,14.44,14.58,14.58,89700,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-17,14.42,14.76,14.05,14.69,14.69,97300,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-18,14.67,14.71,14.34,14.48,14.48,87000,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-19,14.41,14.74,14.41,14.59,14.59,119700,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-22,14.68,14.88,14.43,14.87,14.87,70100,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-23,14.78,14.92,14.58,14.58,14.58,104900,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-24,14.67,14.72,14.16,14.61,14.61,121500,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-25,14.64,14.64,14.1,14.11,14.11,141200,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-26,14.17,14.28,13.86,14.1,14.1,100500,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-29,14.13,14.66,14.02,14.52,14.52,47500,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-30,14.55,14.86,14.45,14.78,14.78,107800,PAM,Pampa Energia SA ADR,전기 유틸리티,,,
2021-03-31,14.67,15.25,14.58,14.84,14.84,96100,PAM,Pampa Energia SA ADR,전기 유틸리티,2.58377852843632,,
2021-04-01,14.89,15.03,14.67,14.99,14.99,32600,PAM,Pampa Energia SA ADR,전기 유틸리티,2.2076078170239155,,
2021-04-05,15.14,15.23,14.7,14.86,14.86,48500,PAM,Pampa Energia SA ADR,전기 유틸리티,-0.23833580720686864,,
2021-04-06,14.9,15.09,14.75,15.0,15.0,84700,PAM,Pampa Energia SA ADR,전기 유틸리티,0.5152416203075161,,
2021-04-07,15.05,15.16,14.69,14.69,14.69,68500,PAM,Pampa Energia SA ADR,전기 유틸리티,-1.9328534967937405,,
2021-04-08,14.78,14.93,14.47,14.61,14.61,98000,PAM,Pampa Energia SA ADR,전기 유틸리티,-2.8845280488113856,,
2021-04-09,14.48,14.7,14.28,14.42,14.42,75900,PAM,Pampa Energia SA ADR,전기 유틸리티,-4.812144138625274,,
2021-04-12,14.32,14.81,14.32,14.7,14.7,79400,PAM,Pampa Energia SA ADR,전기 유틸리티,-2.861706334691505,,
2021-04-13,14.44,14.76,13.74,14.19,14.19,133900,PAM,Pampa Energia SA ADR,전기 유틸리티,-6.187825822346815,,
2021-04-14,14.07,14.49,14.05,14.16,14.16,1313600,PAM,Pampa Energia SA ADR,전기 유틸리티,-5.683907319899307,,
2021-04-15,14.18,14.48,14.09,14.17,14.17,78700,PAM,Pampa Energia SA ADR,전기 유틸리티,-6.268347054531597,,
2021-04-16,14.14,14.68,14.05,14.56,14.56,78600,PAM,Pampa Energia SA ADR,전기 유틸리티,-3.743523655235159,,
2021-04-19,14.61,14.93,14.5,14.6,14.6,112000,PAM,Pampa Energia SA ADR,전기 유틸리티,-2.6656966674693083,,
2021-04-20,14.52,14.66,14.18,14.3,14.3,163000,PAM,Pampa Energia SA ADR,전기 유틸리티,-3.5910469025606795,,
2021-04-21,14.19,14.49,14.09,14.23,14.23,128300,PAM,Pampa Energia SA ADR,전기 유틸리티,-4.523370738301269,,
2021-04-22,14.23,14.46,14.06,14.18,14.18,106200,PAM,Pampa Energia SA ADR,전기 유틸리티,-3.5322789870229077,,
2021-04-23,14.22,14.64,13.74,13.85,13.85,122500,PAM,Pampa Energia SA ADR,전기 유틸리티,-6.406397629258165,,
2021-04-26,13.86,13.86,13.35,13.41,13.41,241900,PAM,Pampa Energia SA ADR,전기 유틸리티,-9.097676373652952,,
2021-04-27,13.4,13.7,13.18,13.45,13.45,175400,PAM,Pampa Energia SA ADR,전기 유틸리티,-8.228750585497002,,
2021-04-28,13.52,13.81,13.51,13.62,13.62,125900,PAM,Pampa Energia SA ADR,전기 유틸리티,-6.351068334362397,,
2021-04-29,13.62,13.81,13.31,13.62,13.62,136100,PAM,Pampa Energia SA ADR,전기 유틸리티,-6.304667008279474,,
2021-04-30,13.52,13.68,13.34,13.42,13.42,112200,PAM,Pampa Energia SA ADR,전기 유틸리티,-6.306616116816732,,
2021-05-03,13.45,13.99,13.14,13.36,13.36,235400,PAM,Pampa Energia SA ADR,전기 유틸리티,-6.355823277136152,,
2021-05-04,13.32,13.56,13.18,13.35,13.35,156000,PAM,Pampa Energia SA ADR,전기 유틸리티,-5.132718627848066,,
2021-05-05,13.38,13.82,13.23,13.64,13.64,100600,PAM,Pampa Energia SA ADR,전기 유틸리티,-2.668155104197101,,
2021-05-06,13.68,13.8,13.34,13.55,13.55,112500,PAM,Pampa Energia SA ADR,전기 유틸리티,-3.604824607797019,,
2021-05-07,13.66,14.45,13.56,14.31,14.31,143200,PAM,Pampa Energia SA ADR,전기 유틸리티,1.2256096116227688,,
2021-05-10,14.37,14.78,14.21,14.37,14.37,60900,PAM,Pampa Energia SA ADR,전기 유틸리티,2.9225767942894887,,
2021-05-11,14.49,14.54,14.11,14.28,14.28,75200,PAM,Pampa Energia SA ADR,전기 유틸리티,3.1527617097359517,,
