Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-03-19,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.7,13.05,12.65,12.95,12.95,224200.0,,,,,,,,,,,,,False
2018-03-20,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.9,13.15,12.9,12.95,12.95,161900.0,,,,,,,,,,,,,False
2018-03-21,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.9,13.15,12.8,13.0,13.0,184900.0,,,,,,,,,,,,,False
2018-03-22,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.85,13.05,12.65,12.7,12.7,151500.0,,,,,,,,,,,,,False
2018-03-23,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.75,12.75,12.35,12.35,12.35,133800.0,,,,,,,,,,,,,False
2018-03-26,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.55,12.7,12.4,12.55,12.55,123600.0,,,,,,,,,,,,,False
2018-03-27,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.5,12.7,12.3,12.35,12.35,134400.0,,,,,,,,,,,,,False
2018-03-28,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.35,12.5,11.8,11.95,11.95,254400.0,,,,,,,,,,,,,False
2018-03-29,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.0,12.15,11.9,12.05,12.05,485100.0,,,,,,,,,,,,,False
2018-04-02,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.0,12.05,11.7,12.0,12.0,184100.0,,,,,,,,,,,,,False
2018-04-03,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,11.9,12.25,11.9,12.1,12.1,122300.0,,,,,,,,,,,,,False
2018-04-04,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.0,12.5,11.9,12.3,12.3,238300.0,,,,,,,,,,,,,False
2018-04-05,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.45,12.55,12.25,12.5,12.5,149100.0,,,,,,,,,,,,,False
2018-04-06,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.4,12.55,12.1,12.2,12.2,122800.0,,,,,,,,,,,,,False
2018-04-09,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.3,12.45,12.03,12.1,12.1,219700.0,,,,,,,0.39785714285714285,-0.25134649910233303,,-0.4051371892068161,,,False
2018-04-10,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.25,12.5,12.2,12.35,12.35,180500.0,,,,,,,0.40857142857142864,0.6118881118881118,,-0.12611272541099716,,,False
2018-04-11,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.35,12.4,12.25,12.35,12.35,95700.0,,,,,,,0.3942857142857144,0.0,,0.25002123975038987,,,False
2018-04-12,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.4,12.55,12.15,12.25,12.25,217700.0,,,,,,,0.3942857142857144,-0.2536231884057961,,-0.6428054311811008,,,False
2018-04-13,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.25,12.35,12.15,12.35,12.35,67000.0,,,,,,,0.38,0.26315789473684115,,0.4071565497261197,,,False
2018-04-16,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.35,12.58,12.15,12.2,12.2,122900.0,-2.618734144151036,,,,,,0.38571428571428573,-0.3888888888888898,,-0.8167982365230002,,,False
2018-04-17,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,12.2,12.5,11.5,11.55,11.55,208800.0,-8.283862844712619,,,,,,0.4285714285714287,-1.5166666666666628,,-2.120831349038601,,,False
2018-04-18,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,11.55,11.8,11.5,11.65,11.65,110300.0,-7.102113937393739,,,,,,0.40000000000000024,0.24999999999999897,,0.20045926089507538,,,False
2018-04-19,PBPB,Potbelly Corp,호텔 및 엔터테인먼트,11.7,11.9,11.55,11.9,11.9,96500.0,-4.174049873259,,,,,,0.40714285714285736,0.6140350877192979,,0.9708740040987756,,,False
