Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2018-03-12,63.540001,63.869999,63.150002,63.560001,55.975498,3159400,PLD,Prologis Inc,주택 및 상업용 리츠,,,,,,,,,
2018-03-13,63.860001,64.019997,63.049999,63.369999,55.808163,1917400,PLD,Prologis Inc,주택 및 상업용 리츠,,,,,,,,,
2018-03-14,63.049999,63.400002,62.849998,63.220001,56.101006,1719800,PLD,Prologis Inc,주택 및 상업용 리츠,,,,,,,,,
2018-03-15,63.349998,63.650002,63.080002,63.439999,56.296227,1842700,PLD,Prologis Inc,주택 및 상업용 리츠,,,,,,,,,
2018-03-16,63.490002,63.98,63.029999,63.830002,56.642315,2825400,PLD,Prologis Inc,주택 및 상업용 리츠,,,,,,,,,
2018-03-19,63.830002,63.830002,62.939999,63.34,56.207493,1436900,PLD,Prologis Inc,주택 및 상업용 리츠,,,,,,,,,
2018-03-20,63.490002,63.939999,63.130001,63.580002,56.420467,1578000,PLD,Prologis Inc,주택 및 상업용 리츠,,,,,,,,,
2018-03-21,63.470001,63.740002,62.220001,62.630001,55.57745,1652600,PLD,Prologis Inc,주택 및 상업용 리츠,,,,,,,,,
2018-03-22,62.369999,63.119999,61.59,61.709999,54.761036,1989200,PLD,Prologis Inc,주택 및 상업용 리츠,,,,,,,,,
2018-03-23,61.759998,61.779999,59.91,60.110001,53.341209,2407400,PLD,Prologis Inc,주택 및 상업용 리츠,,,,,,,,,
2018-03-26,60.900002,61.41,60.34,61.23,54.335083,1819900,PLD,Prologis Inc,주택 및 상업용 리츠,,,,,,,,,
2018-03-27,61.84,63.07,61.400002,62.040001,55.053883,2950300,PLD,Prologis Inc,주택 및 상업용 리츠,,,,,,,,,
2018-03-28,62.380001,62.950001,62.310001,62.529999,55.488705,2137900,PLD,Prologis Inc,주택 및 상업용 리츠,,,,,,,,,
2018-03-29,62.860001,63.360001,62.639999,62.990002,55.896904,2455500,PLD,Prologis Inc,주택 및 상업용 리츠,,,,,,,,,
2018-04-02,63.169998,63.18,60.82,61.400002,54.48595,2424200,PLD,Prologis Inc,주택 및 상업용 리츠,,,,1.207143142857143,-1.31715945155989,,-0.11604324837097213,,
2018-04-03,61.41,62.0,60.959999,61.73,54.778786,2205600,PLD,Prologis Inc,주택 및 상업용 리츠,,,,1.2121433571428568,0.2722433762107434,,-0.39051022971046506,,
2018-04-04,61.25,62.240002,60.970001,62.150002,55.151489,2592900,PLD,Prologis Inc,주택 및 상업용 리츠,,,,1.2635717142857135,0.33239268911414926,,-0.24633972953841837,,
2018-04-05,62.279999,62.360001,61.27,61.759998,54.805405,1865700,PLD,Prologis Inc,주택 및 상업용 리츠,,,,1.3007146428571414,-0.2998382482596777,,-0.6444490073145448,,
2018-04-06,61.889999,62.529999,61.009998,61.240002,54.343956,1921500,PLD,Prologis Inc,주택 및 상업용 리츠,,,,1.3414289285714267,-0.38764334727280936,,0.634588021365367,,
2018-04-09,61.470001,62.25,61.299999,61.32,54.414951,2350300,PLD,Prologis Inc,주택 및 상업용 리츠,0.4657432209083767,,,1.3499999999999983,0.05925777777778033,,-0.09453291232670269,,
2018-04-10,61.68,62.09,61.450001,61.599998,54.663429,2048900,PLD,Prologis Inc,주택 및 상업용 리츠,-0.8095097757515823,,,1.3471429999999986,0.20784578919980978,,-0.5301550480992991,,
2018-04-11,61.369999,62.200001,61.32,61.619999,54.681171,1716000,PLD,Prologis Inc,주택 및 상업용 리츠,-0.3124865622136208,,,1.3014287142857133,0.015368494471076822,,0.26538973422146667,,
2018-04-12,62.790001,62.869999,61.470001,61.639999,54.698917,1842100,PLD,Prologis Inc,주택 및 상업용 리츠,-1.126757286761626,,,1.2921429285714277,0.015478163876278612,,-0.37370407889902607,,
2018-04-13,61.849998,62.310001,61.459999,62.259998,55.249111,1899900,PLD,Prologis Inc,주택 및 상업용 리츠,0.08264008802087996,,,1.2192859999999988,0.5084934953735224,,0.652492150362801,,
2018-04-16,62.299999,62.869999,61.830002,62.599998,55.550812,2392400,PLD,Prologis Inc,주택 및 상업용 리츠,-0.21925798569624178,,,1.2007144285714273,0.2831647491773025,,-0.14474459845680793,,
2018-04-17,63.43,65.75,63.349998,65.300003,57.946781,3776200,PLD,Prologis Inc,주택 및 상업용 리츠,2.815131709317509,,,1.2942859999999985,2.0860961178595825,,1.4819314354876445,,
2018-04-18,65.620003,66.150002,65.269997,65.660004,58.266235,2820000,PLD,Prologis Inc,주택 및 상업용 리츠,3.1116207382039462,,,1.2921434999999981,0.2786076004716175,,0.22906686136669385,,
2018-04-19,65.660004,65.790001,64.879997,65.230003,57.884655,2104500,PLD,Prologis Inc,주택 및 상업용 리츠,2.7800193198698864,,,1.2978579285714267,-0.3313159249050575,0.12307080582388776,0.025522991474420165,0.05346516725443978,
2018-04-20,65.220001,65.449997,64.769997,64.989998,57.67168,2391300,PLD,Prologis Inc,주택 및 상업용 리츠,3.0654789458849807,,,1.1778579285714261,-0.20376396352919096,0.20259905496893765,0.37640412021086495,0.08863997929599957,
2018-04-23,65.080002,65.360001,64.510002,64.879997,57.574062,1533000,PLD,Prologis Inc,주택 및 상업용 리츠,2.6520657701142314,,,1.1642863571428548,-0.0944793343365614,0.1764045756441302,-0.09840112966553656,0.10950491501349446,
2018-04-24,65.169998,65.879997,64.739998,65.220001,57.87579,2272700,PLD,Prologis Inc,주택 및 상업용 리츠,4.209917910406835,,,1.1550004999999983,0.2943756301404145,0.17368907143172058,1.2454175423691505,0.2160590058640351,
2018-04-25,64.940002,65.040001,64.209999,64.639999,57.361095,1943400,PLD,Prologis Inc,주택 및 상업용 리츠,2.9325711779633945,,,1.1492862857142845,-0.5046627695896679,0.15905874847957843,-0.6322164220509364,0.21693276195429284,
2018-04-26,65.220001,66.339996,64.889999,65.870003,58.452602,1349500,PLD,Prologis Inc,주택 및 상업용 리츠,3.6567034682473354,,,1.1621431428571418,1.0583928559574989,0.2623470487103147,0.27428731493170566,0.1911969972090313,
2018-04-27,65.760002,67.0,65.720001,66.580002,59.082642,1687500,PLD,Prologis Inc,주택 및 상업용 리츠,4.419666483181772,,,1.1814289285714277,0.600966323770758,0.30104051628124173,0.5107681077631155,0.23443278435830406,
2018-04-30,64.110001,65.790001,63.900002,64.910004,57.600704,9085700,PLD,Prologis Inc,주택 및 상업용 리츠,2.4840211268849055,,,1.3178574999999983,-1.2672068110550607,0.19567961626303662,-0.5771862953070326,0.23107340955775166,
2018-05-01,65.139999,65.449997,64.910004,65.07,57.74268,4037700,PLD,Prologis Inc,주택 및 상업용 리츠,2.283145466582437,,,1.2935712142857123,0.1236854981256981,0.2034165450955096,-0.0857557865294295,0.2059915866469734,
2018-05-02,64.889999,65.330002,64.410004,64.75,57.458717,3940200,PLD,Prologis Inc,주택 및 상업용 리츠,2.2911661865786304,,,1.2592854999999976,-0.2541123518058405,0.18416007968964393,0.34391692860034057,0.25725023003978525,
2018-05-03,64.550003,65.059998,64.389999,64.800003,57.503082,2319100,PLD,Prologis Inc,주택 및 상업용 리츠,2.2930119780347757,,,1.24642814285714,0.04011703385113225,0.15070461815233038,0.2228240895005531,0.22655965426391042,
2018-05-04,64.639999,65.559998,64.589996,65.25,57.902405,2514700,PLD,Prologis Inc,주택 및 상업용 리츠,1.4929367133081906,,,1.2414284999999967,0.3624832199357413,0.15637022320650457,-0.618973963910498,0.1926861281600754,
2018-05-07,65.519997,65.650002,65.209999,65.489998,58.115383,3248200,PLD,Prologis Inc,주택 및 상업용 리츠,1.297382395410862,,,1.04785714285714,0.22903694614860318,0.023723139512863183,-0.04825190944531596,0.0833873178077211,
2018-05-08,65.470001,65.75,65.089996,65.190002,57.849167,2979200,PLD,Prologis Inc,주택 및 상업용 리츠,0.6079039263517272,,,1.032142785714283,-0.29065358412826975,-0.016938373672843048,-0.2696079268164783,0.04776769008035166,
2018-05-09,65.190002,65.410004,64.900002,65.220001,57.87579,2875800,PLD,Prologis Inc,주택 및 상업용 리츠,-0.4861851353847091,,,1.0035712142857116,0.029892248375558615,0.008862210132915245,-0.7327710190073465,-0.006396167811203105,
2018-05-10,65.410004,65.669998,65.300003,65.589996,58.204109,2893600,PLD,Prologis Inc,주택 및 상업용 리츠,-1.0439237695448633,,,0.9871424285714271,0.3748142003534914,0.05018922183882113,-0.378398868366896,-0.06031066699532889,
2018-05-11,65.699997,65.730003,65.239998,65.330002,57.973404,2249800,PLD,Prologis Inc,주택 및 상업용 리츠,-1.7075333456149533,,,0.96142857142857,-0.270424665676084,0.03762169817171237,-0.41181408101020683,-0.08269730637709105,
2018-05-14,65.5,65.57,64.730003,65.209999,57.866905,2897900,PLD,Prologis Inc,주택 및 상업용 리츠,-2.076817820436161,,,0.9399998571428553,-0.12766278535908296,0.00747609706460541,-0.20978800325231606,-0.18664055963576723,
2018-05-15,64.769997,64.779999,63.900002,64.220001,56.988403,3709300,PLD,Prologis Inc,주택 및 상업용 리츠,-2.810755086069372,,,0.9614280714285692,-1.0297161372966561,-0.030027714914465178,-0.38623178736568764,-0.1690702285868209,
2018-05-16,64.440002,64.440002,63.279999,63.400002,56.260735,2876300,PLD,Prologis Inc,주택 및 상업용 리츠,-4.252501802950159,,,0.9228570714285702,-0.888543876822278,-0.16909462439873496,-1.288242537393712,-0.28067950375292217,
