Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,6.93,7.03,6.54,6.88,6.88,1500300,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-05,7.36,7.37,6.4,6.85,6.85,2487200,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-08,7.13,7.445,7.03,7.21,7.21,1570000,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-09,7.38,7.4,7.04,7.26,7.26,1559200,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-10,7.29,7.52,7.25,7.45,7.45,1090100,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-11,7.57,7.721,7.45,7.62,7.62,1069800,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-12,7.58,7.63,7.48,7.54,7.54,716600,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-15,7.6,8.0,7.6,8.0,8.0,2829400,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-16,8.0,8.02,7.85,7.87,7.87,2060800,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-17,7.79,8.2,7.75,8.19,8.19,1774000,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-18,8.19,8.35,7.86,7.91,7.91,1666600,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-19,7.98,8.043,7.62,7.74,7.74,3756100,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-22,7.73,7.76,7.42,7.51,7.51,992200,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-23,7.46,7.49,7.21,7.25,7.25,1181800,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-24,7.33,7.5,7.1,7.17,7.17,1121400,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-25,7.1,7.38,6.98,7.34,7.34,1474500,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-26,7.4,7.49,7.09,7.34,7.34,1006700,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-29,7.32,7.4,7.04,7.18,7.18,1024900,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-30,7.16,7.27,7.11,7.21,7.21,920800,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,,,
2021-03-31,7.19,7.435,7.18,7.3,7.3,1598600,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-3.243931552338264,,
2021-04-01,7.3,7.4,7.2,7.32,7.32,613700,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-4.100814423437937,,
2021-04-05,7.46,7.6,7.43,7.48,7.48,650100,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-3.529764045635664,,
2021-04-06,7.53,7.62,7.42,7.44,7.44,550800,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-3.799026601603739,,
2021-04-07,7.44,7.49,7.28,7.31,7.31,665000,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-5.4157915506220515,,
2021-04-08,7.28,7.54,7.195,7.53,7.53,2991400,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-2.7914297906750485,,
2021-04-09,7.58,7.62,7.25,7.3,7.3,883900,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-6.0695424659106045,,
2021-04-12,7.33,7.35,7.14,7.16,7.16,1154600,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-7.416145886483861,,
2021-04-13,7.33,7.48,7.175,7.47,7.47,1087300,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-3.176984361527424,,
2021-04-14,7.52,7.59,7.37,7.375,7.375,3096700,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-3.5031779867399027,,
2021-04-15,7.33,7.37,7.245,7.28,7.28,848500,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-4.98318406663466,,
2021-04-16,7.29,7.4,7.19,7.28,7.28,841000,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-4.595634156792339,,
2021-04-19,7.29,7.37,7.19,7.35,7.35,1661400,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-2.5966921742491933,,
2021-04-20,7.25,7.314,7.01,7.12,7.12,2045700,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-4.51406249275339,,
2021-04-21,7.08,7.495,6.96,7.48,7.48,1042300,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-0.44078107600924454,,
2021-04-22,7.31,7.57,7.302,7.46,7.46,1866100,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,0.3260708769777576,,
2021-04-23,7.55,7.73,7.46,7.6,7.6,986400,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,1.2710794051943086,,
2021-04-26,7.781,7.781,7.47,7.47,7.47,1137300,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-0.46384063749436155,,
2021-04-27,7.52,7.605,7.43,7.54,7.54,1729800,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,0.5104985032338583,,
2021-04-28,7.54,7.64,7.465,7.5,7.5,1403500,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,0.14147786971772103,,
2021-04-29,7.58,7.65,7.41,7.51,7.51,1283700,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-0.24751543079992722,,
2021-04-30,7.43,7.49,7.24,7.36,7.36,814100,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-1.3640472543217985,,
2021-05-03,7.41,7.51,7.37,7.4,7.4,463700,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-0.9074165787380295,,
2021-05-04,7.36,7.415,7.18,7.235,7.235,917700,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-2.221241815698216,,
2021-05-05,7.26,7.39,7.11,7.19,7.19,738500,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-2.715728150800212,,
2021-05-06,7.14,7.29,6.69,7.11,7.11,2812600,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-4.183862961922536,,
2021-05-07,7.25,7.76,7.14,7.5,7.5,2343900,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,0.32103720215710396,,
2021-05-10,7.56,7.83,7.49,7.55,7.55,1014200,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,1.8585376636791828,,
2021-05-11,7.32,7.56,7.26,7.51,7.51,1108900,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,2.1907778497765262,,
2021-05-12,7.49,7.56,7.19,7.23,7.23,1413300,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,0.5615448504579179,,
2021-05-13,7.29,7.46,7.051,7.21,7.21,1041000,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-0.9438865645413741,,
2021-05-14,7.33,7.55,7.23,7.43,7.43,744100,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,0.4624702166158512,,
2021-05-17,7.33,7.45,7.2,7.415,7.415,533700,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,0.4697319880558215,,
2021-05-18,7.46,7.6,7.361,7.445,7.445,840300,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,1.5088773829116553,,
2021-05-19,7.22,7.35,6.93,7.06,7.06,3592000,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-3.2468528827793275,,
2021-05-20,7.06,7.13,6.9,7.12,7.12,1441600,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-3.1919436645914567,,
2021-05-21,7.18,7.2,7.03,7.04,7.04,588400,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-3.8672203174143216,,
2021-05-24,7.04,7.05,6.92,6.98,6.98,1748900,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-5.297451906700168,,
2021-05-25,7.06,7.16,6.92,6.92,6.92,1570100,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-5.511655313156238,,
2021-05-26,6.93,7.2,6.929,7.2,7.2,1512900,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-1.6561567476675698,,
2021-05-27,7.25,7.32,7.16,7.32,7.32,1384000,PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,-0.016762328149477757,,
