Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,8.7,8.7,7.9,7.9,7.9,37090,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-05,7.7,8.1,7.6,7.7,7.7,34740,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-08,8.0,8.6,8.0,8.2,8.2,37410,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-09,9.0,9.0,8.2,8.4,8.4,11440,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-10,8.5,8.6,8.1,8.5,8.5,11260,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-11,8.5,8.7,8.4,8.7,8.7,8740,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-12,9.0,9.4,8.7,9.4,9.4,19680,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-15,9.8,10.5,9.3,10.2,10.2,34560,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-16,10.2,11.2,10.1,10.8,10.8,51100,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-17,11.4,11.4,10.1,10.5,10.5,19450,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-18,10.5,10.8,9.8,9.9,9.9,23760,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-19,10.2,10.4,9.2,9.7,9.7,17270,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-22,9.6,9.9,9.0,9.4,9.4,14110,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-23,8.9,9.6,8.9,9.2,9.2,5910,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-24,9.3,9.3,8.6,8.8,8.8,26340,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-25,8.3,8.8,8.2,8.5,8.5,26710,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-26,8.3,8.6,8.2,8.5,8.5,15590,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-29,8.4,9.0,8.4,9.0,9.0,13000,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-30,9.3,9.3,8.7,8.9,8.9,18470,POET,POET Technologies Inc,반도체 및 반도체 장비,,,
2021-03-31,8.7,9.4,8.6,9.4,9.4,25170,POET,POET Technologies Inc,반도체 및 반도체 장비,2.148741960916767,,
2021-04-01,9.6,9.7,9.0,9.4,9.4,13000,POET,POET Technologies Inc,반도체 및 반도체 장비,0.4301974302360234,,
2021-04-05,9.6,9.9,9.3,9.4,9.4,10750,POET,POET Technologies Inc,반도체 및 반도체 장비,-1.6348098797723032,,
2021-04-06,9.4,9.7,9.4,9.5,9.5,15620,POET,POET Technologies Inc,반도체 및 반도체 장비,-0.8849616429441931,,
2021-04-07,8.9,9.5,8.9,9.3,9.3,7200,POET,POET Technologies Inc,반도체 및 반도체 장비,-3.34446959645317,,
2021-04-08,8.9,9.3,8.9,9.2,9.2,6620,POET,POET Technologies Inc,반도체 및 반도체 장비,-4.917279906233107,,
