Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2018-03-12,7.5,8.25,7.35,7.68,7.68,5500,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,,,,,,
2018-03-13,7.92,11.7,7.8,9.3,9.3,103813,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,,,,,,
2018-03-14,8.55,10.05,7.5,8.25,8.25,42467,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,,,,,,
2018-03-15,8.37,8.7,7.515,8.085,8.085,24133,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,,,,,,
2018-03-16,7.89,8.475,7.65,7.95,7.95,22473,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,,,,,,
2018-03-19,7.665,8.055,7.05,7.155,7.155,17167,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,,,,,,
2018-03-20,7.485,26.25,7.485,13.5,13.5,1738353,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,,,,,,
2018-03-21,12.165,12.735,8.7,9.15,9.15,607027,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,,,,,,
2018-03-22,9.45,9.465,7.86,8.25,8.25,213733,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,,,,,,
2018-03-23,7.95,8.58,7.41,8.025,8.025,191493,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,,,,,,
2018-03-26,9.72,10.95,8.25,8.37,8.37,294713,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,,,,,,
2018-03-27,8.25,8.625,7.575,8.1,8.1,140093,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,,,,,,
2018-03-28,9.15,9.285,7.8,8.565,8.565,277660,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,,,,,,
2018-03-29,8.415,8.55,7.95,8.055,8.055,77973,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,,,,,,
2018-04-02,8.07,8.07,7.515,7.905,7.905,102653,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,3.0632142857142854,-0.048968170689051946,,1.1521480324998659,,
2018-04-03,7.785,7.95,7.05,7.2,7.2,82573,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,2.8403571428571426,-0.2482082233119578,,-0.9109618292331663,,
2018-04-04,7.035,7.2,5.61,6.225,6.225,85040,PRPO,Precipio Inc,헬스케어 장비 및 용품,,,,2.771785714285714,-0.3517587939698495,,-0.9304912126224172,,
