Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2020-12-09,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,25.120001,33.16,25.120001,29.450001,29.450001,8608200.0,,,,,,,,,,,,,False
2020-12-10,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,27.450001,29.200001,26.68,27.35,27.35,1170500.0,,,,,,,,,,,,,False
2020-12-11,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,27.5,28.139999,24.660999,25.049999,25.049999,1110300.0,,,,,,,,,,,,,False
2020-12-14,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,25.58,25.950001,24.1,24.889999,24.889999,722500.0,,,,,,,,,,,,,False
2020-12-15,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,24.99,24.99,22.42,23.25,23.25,875300.0,,,,,,,,,,,,,False
2020-12-16,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,23.0,27.17,22.787001,26.860001,26.860001,1096800.0,,,,,,,,,,,,,False
2020-12-17,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,26.700001,28.0,26.549999,27.620001,27.620001,497100.0,,,,,,,,,,,,,False
2020-12-18,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,27.6,27.809999,25.1,25.43,25.43,488600.0,,,,,,,,,,,,,False
2020-12-21,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,25.15,25.201,23.73,24.5,24.5,756700.0,,,,,,,,,,,,,False
2020-12-22,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,25.299999,30.66,24.98,30.49,30.49,1413200.0,,,,,,,,,,,,,False
2020-12-23,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,32.330002,38.700001,31.379999,31.5,31.5,1882200.0,,,,,,,,,,,,,False
2020-12-24,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,31.462,31.99,29.58,30.440001,30.440001,319700.0,,,,,,,,,,,,,False
2020-12-28,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,30.790001,30.799999,27.0,28.209999,28.209999,551800.0,,,,,,,,,,,,,False
2020-12-29,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,28.389999,28.389999,26.0,26.309999,26.309999,387100.0,,,,,,,,,,,,,False
2020-12-30,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,26.440001,28.450001,26.379999,28.0,28.0,487800.0,,,,,,,3.2872858571428574,0.5141022331014626,,0.36718236459348563,,,False
2020-12-31,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,28.040001,28.799999,27.290001,27.959999,27.959999,279200.0,,,,,,,3.1972856428571426,-0.01251092472434045,,-0.7185938304310201,,,False
2021-01-04,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,28.76,29.43,27.65,27.790001,27.790001,682200.0,,,,,,,3.0759285,-0.05526721443622622,,1.357894431891647,,,False
2021-01-05,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,28.02,28.02,26.299999,26.75,26.75,445200.0,,,,,,,3.0666427857142855,-0.33913340179194107,,-1.0186194494094858,,,False
2021-01-06,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,26.6,27.0,25.5,26.709999,26.709999,693300.0,,,,,,,2.9902142142857144,-0.013377302471808157,,-0.5361029706557463,,,False
2021-01-07,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,27.0,27.940001,26.17,26.93,26.93,789500.0,-3.7217573362978262,,,,,,2.8035715,0.07847169226823711,,-1.197405865305012,,,False
2021-01-08,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,26.93,27.58,25.51,26.309999,26.309999,894700.0,-5.721713031381714,,,,,,2.847857142857142,-0.21770790067720044,,-0.6820900702775863,,,False
2021-01-11,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,26.49,26.49,25.0,25.700001,25.700001,440800.0,-6.8580452812261665,,,,,,2.7607143571428567,-0.2209565790179414,,0.34098527695924663,,,False
2021-01-12,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,26.299999,26.988001,25.780001,26.84,26.84,662900.0,-2.9160525899935896,,,,,,2.7312857857142854,0.4173854694966925,,0.3796368364791458,,,False
2021-01-13,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,27.190001,29.17,27.16,28.709999,28.709999,836200.0,3.107600485636164,,,,,,2.4577143571428572,0.7608691362221246,,0.5567461209530866,,,False
2021-01-14,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,29.129999,30.41,28.25,29.99,29.99,659800.0,6.93364597014825,,,,,,2.025571428571428,0.6319209394174479,,0.9655666214797358,,,False
2021-01-15,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,30.200001,30.295,27.5,27.879999,27.879999,535700.0,0.03429387239655135,,,,,,2.053071428571428,-1.0277289774901701,,-0.42268555678676156,,,False
2021-01-19,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,28.209999,34.09,28.200001,33.639999,33.639999,1363000.0,18.57658039502985,,,,,,2.2252144285714284,2.58851458360257,,1.9074964665917478,,,False
2021-01-20,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,33.639999,35.43,32.419998,34.5,34.5,1020700.0,18.272695112829695,,,,,,2.269500357142857,0.37893847308430406,0.24882287332737216,-0.7469012450977764,0.039507795070336214,,False
2021-01-21,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,35.27,39.689999,34.709999,37.75,37.75,1216100.0,26.7238491650458,,,,,,2.487357285714286,1.3066076267634823,0.30543040144608785,1.280616448316369,0.10475308676482788,,False
2021-01-22,PUBM,PubMatic Inc,소프트웨어 및 IT서비스,36.5,38.09,35.599998,37.73,37.73,433700.0,25.776134833621377,,,,,,2.557357571428572,-0.007820572384342356,0.3057654266132306,0.2433919599645501,0.17346635750736858,,False
