Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2021-02-11,10.45,10.86,10.45,10.7,10.7,5833900,PUCKU,Goal Acquisitions Units,기타 금융업,,,,,,,,,
2021-02-12,10.6,10.786,10.6,10.65,10.65,391700,PUCKU,Goal Acquisitions Units,기타 금융업,,,,,,,,,
2021-02-16,10.75,10.8,10.49,10.6,10.6,272300,PUCKU,Goal Acquisitions Units,기타 금융업,,,,,,,,,
2021-02-17,10.58,10.69,10.51,10.58,10.58,128300,PUCKU,Goal Acquisitions Units,기타 금융업,,,,,,,,,
2021-02-18,10.55,10.675,10.5,10.67,10.67,182200,PUCKU,Goal Acquisitions Units,기타 금융업,,,,,,,,,
2021-02-19,10.64,10.73,10.56,10.71,10.71,91000,PUCKU,Goal Acquisitions Units,기타 금융업,,,,,,,,,
2021-02-22,10.74,10.75,10.52,10.62,10.62,627900,PUCKU,Goal Acquisitions Units,기타 금융업,,,,,,,,,
2021-02-23,10.6,10.608,10.49,10.5,10.5,250900,PUCKU,Goal Acquisitions Units,기타 금융업,,,,,,,,,
2021-02-24,10.55,10.62,10.41,10.5,10.5,900300,PUCKU,Goal Acquisitions Units,기타 금융업,,,,,,,,,
2021-02-25,10.5,10.53,10.44,10.45,10.45,364900,PUCKU,Goal Acquisitions Units,기타 금융업,,,,,,,,,
2021-02-26,10.45,10.46,10.41,10.44,10.44,134300,PUCKU,Goal Acquisitions Units,기타 금융업,,,,,,,,,
2021-03-01,10.54,10.57,10.4,10.43,10.43,98000,PUCKU,Goal Acquisitions Units,기타 금융업,,,,,,,,,
2021-03-02,10.46,10.46,10.16,10.23,10.23,393000,PUCKU,Goal Acquisitions Units,기타 금융업,,,,,,,,,
2021-03-03,10.25,10.25,10.12,10.19,10.19,149200,PUCKU,Goal Acquisitions Units,기타 금융업,,,,,,,,,
2021-03-04,10.26,10.26,10.01,10.09,10.09,247100,PUCKU,Goal Acquisitions Units,기타 금융업,,,,0.18435714285714294,-0.5424254165052284,,0.2954337958241312,,
2021-03-05,10.08,10.35,10.05,10.27,10.27,87700,PUCKU,Goal Acquisitions Units,기타 금융업,,,,0.19250000000000003,0.9350649350649334,,-0.1517698938371259,,
2021-03-08,10.26,10.4,10.16,10.18,10.18,14400,PUCKU,Goal Acquisitions Units,기타 금융업,,,,0.1875,-0.47999999999999926,,-0.18634762623423334,,
2021-03-09,10.19,10.21,10.04,10.18,10.18,17000,PUCKU,Goal Acquisitions Units,기타 금융업,,,,0.18678571428571442,0.0,,-0.7345890223922491,,
2021-03-10,10.18,10.203,10.13,10.13,10.13,28400,PUCKU,Goal Acquisitions Units,기타 금융업,,,,0.1795,-0.27855153203342026,,-0.5972962535021292,,
2021-03-11,10.175,10.21,10.16,10.17,10.17,9700,PUCKU,Goal Acquisitions Units,기타 금융업,-3.8243744127403834,,,0.17307142857142857,0.23111844820469998,,-0.303886360447175,,
2021-03-12,10.19,10.2,10.13,10.19,10.19,35700,PUCKU,Goal Acquisitions Units,기타 금융업,-3.466848851793214,,,0.161642857142857,0.12372956252761567,,0.07081797916101215,,
2021-03-15,10.2,10.21,10.1,10.14,10.14,128100,PUCKU,Goal Acquisitions Units,기타 금융업,-4.2888010807121235,,,0.16021428571428573,-0.31208203299152254,,-0.6653506792246772,,
2021-03-16,10.18,10.19,10.08,10.1,10.1,121900,PUCKU,Goal Acquisitions Units,기타 금융업,-4.253445111239684,,,0.1530714285714286,-0.26131591227252116,,-0.17168234479370859,,
2021-03-17,10.07,10.12,10.05,10.1,10.1,112700,PUCKU,Goal Acquisitions Units,기타 금융업,-4.259034693988717,,,0.1516428571428571,0.0,,-0.17557750880927978,,
2021-03-18,10.14,10.15,10.08,10.09,10.09,38900,PUCKU,Goal Acquisitions Units,기타 금융업,-2.6473537033122163,,,0.1530714285714285,-0.06532897806812743,,0.8456137025413181,,
2021-03-19,10.09,10.13,10.05,10.1,10.1,55200,PUCKU,Goal Acquisitions Units,기타 금융업,-2.195841686877542,,,0.14664285714285707,0.06819288845591674,,0.10745149459674372,,
2021-03-22,10.05,10.14,10.05,10.09,10.09,14000,PUCKU,Goal Acquisitions Units,기타 금융업,-2.6440202969459703,,,0.131642857142857,-0.07596310363537556,,-0.5309231277117854,,
2021-03-23,10.09,10.09,9.94,9.98,9.98,116000,PUCKU,Goal Acquisitions Units,기타 금융업,-2.6815972674760435,,,0.13307142857142842,-0.8266237251744465,-0.10601320474481966,-0.3241819475604628,-0.18016341374211578,
2021-03-24,10.07,10.07,9.92,9.95,9.95,76800,PUCKU,Goal Acquisitions Units,기타 금융업,-2.2236385662914193,,,0.1259285714285713,-0.23823028927964623,-0.0842849813715638,0.15022167802509512,-0.19053570787061838,
2021-03-25,9.82,10.105,9.82,9.94,9.94,105500,PUCKU,Goal Acquisitions Units,기타 금융업,-2.4837213017603554,,,0.1248571428571428,-0.08009153318077636,-0.15679615767482877,-0.47909256065096284,-0.213915898357321,
2021-03-26,9.98,10.1,9.95,10.08,10.08,87000,PUCKU,Goal Acquisitions Units,기타 금융업,-2.3474928845231946,,,0.11914285714285709,1.1750599520383747,-0.038577589672087784,-0.08580301474721908,-0.20673414039396285,
2021-03-29,10.152,10.152,9.96,10.03,10.03,24000,PUCKU,Goal Acquisitions Units,기타 금융업,-2.470779789405664,,,0.12071428571428543,-0.41420118343195955,-0.06816338848865632,-0.3429759014517072,-0.1787617746124956,
2021-03-30,10.0,10.02,9.94,9.97,9.97,65700,PUCKU,Goal Acquisitions Units,기타 금융업,-2.512550199684005,,,0.12192857142857123,-0.4920913884006933,-0.08341623537203298,-0.22727429154472245,-0.1523316344726808,
2021-03-31,9.97,10.05,9.97,10.01,10.01,205900,PUCKU,Goal Acquisitions Units,기타 금융업,-2.194265755397684,,,0.12192857142857123,0.3280609256004622,-0.0764917727009071,0.013072637460292358,-0.12969170605071884,
2021-04-01,10.07,10.12,10.0,10.06,10.06,144400,PUCKU,Goal Acquisitions Units,기타 금융업,-2.523570875985748,,,0.12549999999999986,0.3984063745019981,-0.05687200041702264,-0.6052759709321058,-0.17798413105737015,
2021-04-05,10.01,10.13,9.99,10.13,10.13,64200,PUCKU,Goal Acquisitions Units,기타 금융업,-2.884825990042139,,,0.12764285714285695,0.548405148293232,0.004591369674745545,-0.6601820463631043,-0.1776149429958292,
2021-04-06,10.065,10.12,10.065,10.1,10.1,127100,PUCKU,Goal Acquisitions Units,기타 금융업,-2.726678865690124,,,0.12442857142857136,-0.24110218140069814,0.006035207594161475,-0.15724766852250727,-0.1765838946907434,
2021-04-07,10.1,10.28,10.1,10.28,10.28,43100,PUCKU,Goal Acquisitions Units,기타 금융업,-0.9306673446495828,,,0.1322857142857143,1.360691144708421,0.10322743221619154,1.227029182048594,-0.07639770248660957,
2021-04-08,10.22,10.3,10.22,10.3,10.3,50400,PUCKU,Goal Acquisitions Units,기타 금융업,-0.9910302412977412,,,0.133,0.1503759398496342,0.11863492635317452,-0.2620929288184516,-0.15551960472659312,
2021-04-09,10.27,10.3,10.25,10.29,10.29,52600,PUCKU,Goal Acquisitions Units,기타 금융업,-1.6718004936750241,,,0.13085714285714292,-0.07641921397381103,0.10830549046533682,-0.8464318520385976,-0.22365412948626037,
2021-04-12,10.25,10.31,10.222,10.23,10.23,34100,PUCKU,Goal Acquisitions Units,기타 금융업,-2.0212867144681956,,,0.13071428571428584,-0.45901639344261275,0.08094454119339131,-0.43840198494633764,-0.2170454764315855,
2021-04-13,10.28,10.31,10.245,10.27,10.27,199300,PUCKU,Goal Acquisitions Units,기타 금융업,-1.815379852124277,,,0.12571428571428583,0.31818181818181107,0.16271636571883827,-0.04390935658296846,-0.19702600564747877,
2021-04-14,10.36,10.36,10.27,10.3,10.3,622400,PUCKU,Goal Acquisitions Units,기타 금융업,-1.0233122853215204,,,0.12142857142857151,0.24705882352942096,0.1973798737766288,0.7176742226020297,-0.1564936810348406,
2021-04-15,10.3,10.32,10.29,10.29,10.29,19000,PUCKU,Goal Acquisitions Units,기타 금융업,-2.0606128647112087,,,0.10321428571428586,-0.09688581314880394,0.1961802823503411,-1.4139323903370693,-0.22326795458384815,
2021-04-16,10.28,10.3,10.22,10.3,10.3,34300,PUCKU,Goal Acquisitions Units,기타 금융업,-2.0924085519292257,,,0.09750000000000014,0.10256410256411845,0.1195734359593228,-0.37779425338677586,-0.24412447162953083,
2021-04-19,10.27,10.28,10.195,10.23,10.23,41400,PUCKU,Goal Acquisitions Units,기타 금융업,-1.9975474561263362,,,0.09128571428571457,-0.7668231611893591,0.09438615183379427,-0.052101584506170306,-0.22334773470484962,
2021-04-20,10.25,10.29,10.17,10.2,10.2,89300,PUCKU,Goal Acquisitions Units,기타 금융업,-1.4314304399347333,,,0.09342857142857167,-0.321100917431204,0.10659975690304349,0.553740730849946,-0.16756094739094474,
2021-04-21,10.16,10.25,10.14,10.17,10.17,44200,PUCKU,Goal Acquisitions Units,기타 금융업,-2.402784457254614,,,0.09557142857142877,-0.3139013452914725,0.06074530898219101,-1.4699292652164084,-0.2734896547249948,
2021-04-22,10.17,10.25,10.12,10.12,10.12,113300,PUCKU,Goal Acquisitions Units,기타 금융업,-1.7614289002396921,,,0.0962857142857146,-0.5192878338278989,-0.004804277327087337,0.6157119155864016,-0.18627623425938714,
2021-04-23,10.165,10.17,10.14,10.15,10.15,111600,PUCKU,Goal Acquisitions Units,기타 금융업,-2.3111139746570752,,,0.08985714285714318,0.3338632750397571,-0.020128696845192688,-1.0128238034438874,-0.2114649311937288,10.249600000000001
2021-04-26,10.22,10.22,10.13,10.15,10.15,78100,PUCKU,Goal Acquisitions Units,기타 금융업,-2.264061606805834,,,0.09164285714285736,0.0,-0.002907112459428534,-0.2239605356392962,-0.21623013598778512,10.2386
2021-04-27,10.23,10.23,10.15,10.18,10.18,167900,PUCKU,Goal Acquisitions Units,기타 금융업,-1.767438087232931,,,0.08450000000000024,0.355029585798808,-0.07474008095297233,0.381948045990845,-0.27659307427762436,10.229199999999999
2021-04-28,10.18,10.19,10.17,10.18,10.18,54400,PUCKU,Goal Acquisitions Units,기타 금융업,-1.5151226328119383,,,0.08021428571428592,0.0,-0.08548121951366049,0.105551431501359,-0.25033276282620925,10.2208
2021-04-29,10.161,10.161,10.161,10.161,10.161,1900,PUCKU,Goal Acquisitions Units,기타 금융업,-2.147636404479658,,,0.07800000000000017,-0.24358974358974472,-0.09742197162908431,-1.0729680639974444,-0.2665139208232698,10.212420000000002
2021-04-30,10.16,10.16,10.12,10.15,10.15,159200,PUCKU,Goal Acquisitions Units,기타 금융업,-1.3952110750830027,,,0.07464285714285726,-0.14736842105262107,-0.07516140217265634,0.7057846140276579,-0.18478630661084153,10.20202
2021-05-03,10.15,10.2,10.14,10.18,10.18,119300,PUCKU,Goal Acquisitions Units,기타 금융업,-1.2623755107035173,,,0.07321428571428575,0.4097560975609667,-0.06862038221700235,0.08922808250549041,-0.17527648953309447,10.191419999999999
2021-05-04,10.18,10.2,10.14,10.16,10.16,126700,PUCKU,Goal Acquisitions Units,기타 금융업,-0.713888735464574,,,0.07107142857142852,-0.2814070351758736,-0.10636794355309484,0.45113877565560323,-0.1943147357435535,10.182220000000001
2021-05-05,10.16,10.2,10.15,10.16,10.16,38500,PUCKU,Goal Acquisitions Units,기타 금융업,-0.6183004001410919,,,0.07249999999999979,0.0,-0.09944752832818025,-0.07994154204747816,-0.09902967515143986,10.17542
2021-05-06,10.164,10.17,10.14,10.15,10.15,85300,PUCKU,Goal Acquisitions Units,기타 금융업,-1.3227447836465234,,,0.06892857142857116,-0.14507772020725135,-0.11713622995470667,-1.015178290128786,-0.1445571063472977,10.168420000000001
2021-05-07,10.18,10.18,10.135,10.17,10.17,62800,PUCKU,Goal Acquisitions Units,기타 금융업,-1.6723066520360597,,,0.06464285714285685,0.309392265193365,-0.040263699498797816,-0.48066832853118163,-0.17516901663479853,10.16282
2021-05-10,10.18,10.18,10.14,10.15,10.15,60700,PUCKU,Goal Acquisitions Units,기타 금융업,-0.719334292557694,,,0.05892857142857112,-0.3393939393939339,-0.04157034392470709,0.7801466633927155,-0.15899716431031496,10.15702
2021-05-11,10.15,10.18,10.14,10.14,10.14,7800,PUCKU,Goal Acquisitions Units,기타 금융업,0.127774432143557,,,0.053928571428571104,-0.1854304635761561,-0.032393852373613065,0.6906248048824368,-0.00467187358896889,10.15122
2021-05-12,10.12,10.21,10.12,10.21,10.21,2800,PUCKU,Goal Acquisitions Units,기타 금융업,2.995705806269422,,,0.05107142857142831,1.3706293706293833,0.10260023365904994,3.3819179826159176,0.19291427405599654,10.15082
2021-05-13,10.16,10.17,10.14,10.14,10.14,15100,PUCKU,Goal Acquisitions Units,기타 금융업,1.0629254953075096,,,0.05249999999999971,-1.3333333333333461,-0.016485238367600297,-2.4337160323847455,0.09142197198879239,10.14982
2021-05-14,10.125,10.175,10.11,10.14,10.14,82500,PUCKU,Goal Acquisitions Units,기타 금융업,-0.3582764085003243,,,0.050714285714285524,0.0,-0.01648523836760029,-1.2522594097426856,0.01797205240997885,10.15082
2021-05-17,10.15,10.15,10.06,10.06,10.06,49200,PUCKU,Goal Acquisitions Units,기타 금융업,-0.8105646281384216,,,0.05142857142857122,-1.5555555555555634,-0.15295560560719826,-1.3443277071344493,-0.10533335852754215,10.14662
2021-05-18,10.13,10.13,10.05,10.08,10.08,125700,PUCKU,Goal Acquisitions Units,기타 금융업,0.2915028483007287,,,0.05571428571428554,0.3589743589743524,-0.12731457996617307,1.0453076120713345,-0.03820791705825821,10.14462
2021-05-19,10.075,10.09,10.06,10.09,10.09,1800,PUCKU,Goal Acquisitions Units,기타 금융업,0.6568761649671684,,,0.05649999999999977,0.17699115044247482,-0.09727308753530026,0.4044651524350362,0.06732302697263326,10.142819999999999
2021-05-20,10.12,10.15,10.1,10.14,10.14,12000,PUCKU,Goal Acquisitions Units,기타 금융업,0.1184633137786939,,,0.05785714285714264,0.864197530864213,-0.025018376684097805,0.072603181429998,0.022095781787086124,10.14302
2021-05-21,10.11,10.11,10.09,10.09,10.09,1100,PUCKU,Goal Acquisitions Units,기타 금융업,-0.2965834564024772,,,0.057142857142857065,-0.8750000000000137,-0.11678666936702498,-0.8162605422114714,-0.04258197712126829,10.14142
2021-05-24,10.04,10.15,10.04,10.15,10.15,1800,PUCKU,Goal Acquisitions Units,기타 금융업,-0.6769032373314832,,,0.06071428571428582,0.9882352941176535,-0.026097931560344474,0.23604582827868859,-0.057945759076762186,10.14062
2021-05-25,10.19,10.19,10.16,10.16,10.16,8600,PUCKU,Goal Acquisitions Units,기타 금융업,-0.3558540971174251,,,0.060000000000000116,0.1666666666666628,-0.014193169655582835,0.3286870452408118,-0.028758002841884338,10.14102
2021-05-26,10.18,10.19,10.15,10.19,10.19,700,PUCKU,Goal Acquisitions Units,기타 금융업,-0.23850484842595776,,,0.06071428571428582,0.49411764705881217,0.03146364229199313,0.34417030267454385,0.06833832521549636,10.14282
2021-05-27,10.33,10.33,10.16,10.16,10.16,21800,PUCKU,Goal Acquisitions Units,기타 금융업,-0.6599101214590952,,,0.06964285714285724,-0.43076923076922097,-0.021405035991048725,-0.5265293452900833,0.06506253830414625,10.144020000000001
2021-05-28,10.17,10.17,10.15,10.16,10.16,5000,PUCKU,Goal Acquisitions Units,기타 금융업,-0.7140729484975905,,,0.06821428571428585,0.0,0.0028373882513751275,-0.06610298626021915,0.00461613475750805,10.14542
2021-06-01,10.173,10.2,10.141,10.2,10.2,14000,PUCKU,Goal Acquisitions Units,기타 금융업,-0.2727322729419668,,,0.06957142857142871,0.5749486652977278,0.057150183170938264,0.6199651303124589,-0.0004309848546332286,10.14742
2021-06-02,10.19,10.19,10.14,10.14,10.14,4900,PUCKU,Goal Acquisitions Units,기타 금융업,-0.9416664502550298,,,0.06742857142857137,-0.8898305084745581,-0.10431123676505756,-1.0397999441372259,-0.3162679796227149,10.14842
2021-06-03,10.18,10.2,10.18,10.2,10.2,1600,PUCKU,Goal Acquisitions Units,기타 금융업,0.01795619858764308,,,0.06671428571428553,0.8993576017130454,0.05516668716682755,1.2958053122518896,-0.04987359786295526,10.15282
2021-06-04,10.2,10.2,10.19,10.19,10.19,16600,PUCKU,Goal Acquisitions Units,기타 금융업,-0.9414523594133639,,,0.062785714285714,-0.1592718998862317,0.04379012288923957,-1.1776353161883744,-0.04454330546621875,10.157620000000001
2021-06-07,10.2,10.2,10.18,10.19,10.19,23000,PUCKU,Goal Acquisitions Units,기타 금융업,-0.8791530652741075,,,0.05778571428571398,0.0,0.15490123400035125,0.09536860471886613,0.058292145380446636,10.16262
2021-06-08,10.16,10.2,10.16,10.2,10.2,10300,PUCKU,Goal Acquisitions Units,기타 금융업,-0.77796622054086,,,0.054928571428571056,0.18205461638491283,0.142264109529677,0.16047418003964847,-0.004910242621816649,10.16502
2021-06-09,10.181,10.2,10.181,10.2,10.2,3600,PUCKU,Goal Acquisitions Units,기타 금융업,-0.545918540048862,,,0.054142857142856826,0.0,0.12962188449807163,0.24995873078041153,-0.015946415597146983,10.16842
2021-06-10,10.19,10.3,10.17,10.19,10.19,257700,PUCKU,Goal Acquisitions Units,기타 금융업,-0.8809977372621902,,,0.059142857142856844,-0.169082125603862,0.055816194750351995,-0.8478306096643731,-0.08169168638960207,10.17282
2021-06-11,10.15,10.3,10.15,10.3,10.3,222900,PUCKU,Goal Acquisitions Units,기타 금융업,0.07805245726357768,,,0.06628571428571396,1.659482758620716,0.23685067750897554,1.3583688481434066,0.07363898435003209,10.17862
2021-06-14,10.3,10.34,10.28,10.33,10.33,4900,PUCKU,Goal Acquisitions Units,기타 금융업,0.19133023168000918,,,0.06271428571428535,0.47835990888381946,0.20043100713513023,0.17161756815219198,0.06903696576956804,10.184019999999999
2021-06-15,10.26,10.34,10.26,10.34,10.34,2100,PUCKU,Goal Acquisitions Units,기타 금융업,0.4520525926278829,,,0.06557142857142827,0.15250544662309115,0.1994194914177323,0.5051860866410012,0.08164404015529585,10.18822
2021-06-16,10.34,10.34,10.26,10.26,10.26,72600,PUCKU,Goal Acquisitions Units,기타 금융업,0.24152267608608113,,,0.06842857142857119,-1.1691022964509445,0.08061806688132107,-0.30473560709047454,0.03529361802922311,10.191419999999999
2021-06-17,10.3,10.3,10.225,10.29,10.29,11900,PUCKU,Goal Acquisitions Units,기타 금융업,0.6081040847846442,,,0.061642857142856985,0.48667439165700127,0.1461497541974798,0.5528070597856204,0.11238907553463053,10.19162
2021-06-18,10.28,10.28,10.23,10.23,10.23,33100,PUCKU,Goal Acquisitions Units,기타 금융업,1.3154542706022676,,,0.06449999999999978,-0.9302325581395182,0.0797045714732285,0.8756076783380596,0.17965412300593614,10.19022
2021-06-21,10.22,10.27,10.22,10.22,10.22,11800,PUCKU,Goal Acquisitions Units,기타 금융업,-0.16306132220316183,,,0.06385714285714261,-0.1565995525727042,0.02745112733962621,-1.9602735077371234,-0.004648636854748304,10.18882
2021-06-22,10.26,10.26,10.221,10.25,10.25,8300,PUCKU,Goal Acquisitions Units,기타 금융업,-0.37108379575161443,,,0.062428571428571215,0.4805491990846596,0.1253353921652846,-0.16120128531737948,0.058108410203812154,10.18922
2021-06-23,10.29,10.3,10.22,10.3,10.3,52200,PUCKU,Goal Acquisitions Units,기타 금융업,0.2187494031214987,,,0.06385714285714274,0.7829977628635473,0.11702397510460619,0.9269822668804092,0.031763906962992125,10.189820000000001
