Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,,,,,
2018-03-07,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,,,,,
2018-03-08,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,,,,,
2018-03-09,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,,,,,
2018-03-12,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,,,,,
2018-03-13,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,,,,,
2018-03-14,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,,,,,
2018-03-15,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,,,,,
2018-03-16,16.0,16.0,16.0,16.0,16.0,8,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,,,,,
2018-03-19,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,,,,,
2018-03-20,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,,,,,
2018-03-21,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,,,,,
2018-03-22,16.0,16.0,16.0,16.0,16.0,50,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,,,,,
2018-03-23,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,,,,,
2018-03-26,12.0,12.0,12.0,12.0,12.0,58,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,0.2857142857142857,-14.0,,-15.82176027404579,
2018-03-27,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,0.2857142857142857,0.0,,1.0899182719076979,
2018-03-28,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,0.2857142857142857,0.0,,0.17438485599515288,
2018-03-29,12.0,12.0,12.0,12.0,12.0,50,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,0.2857142857142857,0.0,,-0.812289689729301,
2018-04-02,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,,,,0.2857142857142857,0.0,,1.2011162031889178,
2018-04-03,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-16.337454438488088,,,0.2857142857142857,0.0,,-0.6627536059212085,
2018-04-04,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-16.28122997052712,,,0.2857142857142857,0.0,,-0.5787324186525676,
2018-04-05,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-15.794427169310643,,,0.2857142857142857,0.0,,-0.34461075905486704,
2018-04-06,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-12.902994538184565,,,0.2857142857142857,0.0,,1.0222313686381763,
2018-04-09,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-12.238975777948669,,,0.2857142857142857,0.0,,-0.153790690104483,
2018-04-10,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-12.654057858162393,,,0.2857142857142857,0.0,,-0.7380008372991089,
2018-04-11,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-11.099145034160884,,,0.2857142857142857,0.0,,0.25002123975038987,
2018-04-12,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-10.677251000355692,,,0.2857142857142857,0.0,,-0.38918224277530467,
2018-04-13,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-9.24323324979085,,,0.2857142857142857,0.0,-1.0,0.14399865498927852,-1.1156749945080726
2018-04-16,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-8.75173162879619,,,0.0,,,,
2018-04-17,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-8.348454180355613,,,0.0,,,,
2018-04-18,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-7.022857416751926,,,0.0,,,,
2018-04-19,10.0,10.0,10.0,10.0,10.0,40,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-20.242718376274972,,,0.14285714285714285,-14.0,,-13.643161083620523,
2018-04-20,10.0,10.0,10.0,10.0,10.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-17.512199791591755,,,0.14285714285714285,0.0,,0.5801680837400559,
2018-04-23,10.0,10.0,10.0,10.0,10.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-15.242256469380699,,,0.14285714285714285,0.0,,-0.0039217953289751575,
2018-04-24,10.0,10.0,10.0,10.0,10.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-13.38900301935999,,,0.14285714285714285,0.0,,0.9510419122287359,
2018-04-25,16.0,16.0,16.0,16.0,16.0,3,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,36.0435670809042,,,0.5714285714285714,10.5,,10.372446347538732,
2018-04-26,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,32.56678850458161,,,0.5714285714285714,0.0,,-0.7841055410257932,
2018-04-27,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,30.33316228209568,,,0.5714285714285714,0.0,,-0.09019821600764248,
2018-04-30,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,29.446254219939426,,,0.5714285714285714,0.0,,0.6900205157480281,
2018-05-01,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,27.15983777789821,,,0.5714285714285714,0.0,,-0.2094412846551276,
2018-05-02,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,26.044126541857526,,,0.5714285714285714,0.0,,0.5980292804061811,
2018-05-03,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,24.29289436233113,,,0.5714285714285714,0.0,,0.18270705564942086,
2018-05-04,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,20.9907168429339,,,0.5714285714285714,0.0,,-0.9814571838462393,
2018-05-07,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,18.90404295638135,,,0.5714285714285714,0.0,,-0.27728885559391914,
2018-05-08,16.0,16.0,16.0,16.0,16.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,17.22251064130791,,,0.5714285714285714,0.0,-0.25,0.02104565731179142,-0.1852939362468053
2018-05-09,16.0,16.0,15.4,16.0,16.0,14,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,14.541102482223312,,,0.4714285714285714,0.0,0.75,-0.7626632673829051,0.7347416220558818
2018-05-10,16.0,20.0,16.0,20.0,20.0,307,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,38.06076561038847,,,0.7571428571428571,5.283018867924529,1.1273584905660379,4.529805799204142,1.016858601731888
2018-05-11,20.0,22.0,19.4,22.0,22.0,14,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,46.7157723665991,,,0.942857142857143,2.121212121212121,1.2788736420811893,1.9798227058779982,1.158554637532386
2018-05-14,22.0,26.0,22.0,26.0,26.0,3,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,65.64190284666016,,,1.2285714285714289,3.255813953488371,1.511431781616073,3.173688735595138,1.3173151249157005
2018-05-15,26.0,26.0,26.0,26.0,26.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,59.626799766527895,,,0.8,0.0,0.761431781616073,0.6434843499309685,0.6223892679437173
2018-05-16,24.799999,24.799999,24.799999,24.799999,24.799999,8,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,45.95902894369619,,,0.8857143571428573,-1.3548397294484091,0.6646575152269009,-1.7545383900198432,0.5530726358727137
2018-05-17,24.799999,24.799999,24.799999,24.799999,24.799999,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,40.02190491433624,,,0.8857143571428573,0.0,0.6646575152269009,0.08409651545868166,0.5655222595488797
2018-05-18,24.799999,26.0,24.799999,26.0,26.0,19,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,40.86892930304315,,,0.9714287142857144,1.2352949653977994,0.7528928698981723,1.5106606796116373,0.6241394141105661
2018-05-21,26.0,26.0,26.0,26.0,26.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,34.14878064240925,,,0.9714287142857144,0.0,0.7528928698981723,-0.7785122804121192,0.5834914858422096
2018-05-22,26.0,26.0,26.0,26.0,26.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,29.329862761259683,,,0.9714287142857144,0.0,0.7528928698981723,0.34127160690819414,0.5651516520209248
2018-05-23,26.0,26.0,26.0,26.0,26.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,25.96606850621321,,,0.9714287142857144,0.0,0.7528928698981723,-0.3722544081516799,0.5255115474637033
2018-05-24,26.0,26.0,26.0,26.0,26.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,23.336880315232488,,,0.9714287142857144,0.0,0.7528928698981723,0.2553941547221742,0.6138580716471614
2018-05-25,26.0,26.0,26.0,26.0,26.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,20.843808544786935,,,0.9714287142857144,0.0,0.7528928698981723,0.30413822268209845,0.6553885772383056
2018-05-29,26.0,26.0,26.0,26.0,26.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,19.51859487493377,,,0.9714287142857144,0.0,0.7528928698981723,1.3795678017195587,0.7524258732674317
2018-05-30,26.0,26.0,26.0,26.0,26.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,15.507992990449914,,,0.9285715714285716,0.0,0.7528928698981723,-1.4510241537238,0.7032572385287964
2018-05-31,26.0,26.0,26.0,26.0,26.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,13.868852330569448,,,0.6428572857142859,0.0,0.3755343793321345,0.8085037456091614,0.4374499489862978
2018-06-01,24.0,24.0,24.0,24.0,24.0,1,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,2.349344263908093,,,0.6000001428571429,-3.3333325396827287,-0.014075953588926231,-4.539205067245762,-0.028194891951113656
2018-06-04,24.0,24.0,19.200001,19.200001,19.200001,23,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-18.949982526209485,,,0.6571429285714286,-7.3043455103972255,-0.7683730581521832,-7.810753248435024,-0.8127978908104109
2018-06-05,16.0,24.0,16.0,24.0,24.0,3,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-0.3443131338880412,,,1.2285715,3.906975703082808,-0.4893033650748397,3.8234650248773487,-0.5856564140285266
2018-06-06,24.0,24.0,24.0,24.0,24.0,1,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-2.6731574714534245,,,1.1428571428571428,0.0,-0.3925290986856676,-0.9955935940567365,-0.5314460714597333
2018-06-07,24.0,24.0,24.0,24.0,24.0,1,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-4.076909394502559,,,1.1428571428571428,0.0,-0.3925290986856676,0.0839228884517819,-0.5314584733887976
2018-06-08,24.0,24.0,24.0,24.0,24.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-5.05466979085435,,,1.0571427857142857,0.0,-0.48076445335693896,-0.3617449017238439,-0.6652017291984748
2018-06-11,24.0,24.0,24.0,24.0,24.0,3,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-5.447893862212949,,,1.0571427857142857,0.0,-0.48076445335693896,-0.12989163660977168,-0.6188716832125928
2018-06-12,24.0,24.0,24.0,24.0,24.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-5.138614863013702,,,1.0571427857142857,0.0,-0.48076445335693896,-0.21849413052316394,-0.6588549501719756
2018-06-13,24.0,24.0,24.0,24.0,24.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-4.2582768515853076,,,1.0571427857142857,0.0,-0.48076445335693896,0.5170609292620733,-0.5953324260709932
2018-06-14,24.0,24.0,24.0,24.0,24.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-4.237699694682384,,,1.0571427857142857,0.0,-0.48076445335693896,-0.3296771775498713,-0.6371232355189964
2018-06-15,24.0,24.0,24.0,24.0,24.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-3.8824543406197565,,,1.0571427857142857,0.0,-0.48076445335693896,0.13223344527198758,-0.6494021481911473
2018-06-18,24.0,24.0,24.0,24.0,24.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-3.175886762475655,,,1.0571427857142857,0.0,-0.48076445335693896,0.2979970070988169,-0.7266572049497716
2018-06-19,24.0,24.0,24.0,24.0,24.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-2.333475753344083,,,1.0571427857142857,0.0,-0.48076445335693896,0.5813973867626209,-0.5814842377721702
2018-06-20,24.0,24.0,24.0,24.0,24.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-2.0209300416175635,,,1.0571427857142857,0.0,-0.48076445335693896,-0.25699461418976793,-0.6575912634720937
2018-06-21,24.0,24.0,24.0,24.0,24.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-0.9564328400516131,,,0.9142856428571429,0.0,-0.24266927195102977,0.9798362138871144,-0.2633740291054596
2018-06-22,24.0,24.0,24.0,24.0,24.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-0.6785050088381372,,,0.5714285714285714,0.0,0.2790696930773435,-0.28583249989041326,0.2741203100762983
2018-06-25,24.0,24.0,24.0,24.0,24.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,1.1192791668539925,,,0.0,,,,
2018-06-26,16.0,16.0,11.0,12.0,12.0,326,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-47.98580487792541,,,0.9285714285714286,-12.923076923076923,,-13.21500737639376,
2018-06-27,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-45.90635633126651,,,0.9285714285714286,0.0,,1.0438929535374446,
2018-06-28,12.0,12.0,11.0,11.0,11.0,56,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-48.99263645861338,,,1.0,-1.0,,-1.7059745748140458,
2018-06-29,11.0,11.0,11.0,11.0,11.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-47.4664499036823,,,1.0,0.0,,-0.08322258702224733,
2018-07-02,15.0,15.0,15.0,15.0,15.0,1,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-27.88560541260754,,,1.2857142857142858,3.1111111111111107,,2.790207117215521,
2018-07-03,15.0,15.0,15.0,15.0,15.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-25.97312721554692,,,1.2857142857142858,0.0,,0.5070874287198107,
2018-07-05,15.0,15.0,15.0,15.0,15.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-25.011489604510285,,,1.2857142857142858,0.0,,-0.8536092900449566,
2018-07-06,15.0,15.0,15.0,15.0,15.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-23.963184004346072,,,1.2857142857142858,0.0,,-0.8259139117275743,
2018-07-09,12.6,12.6,12.0,12.0,12.0,2,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-37.820998861034724,,,1.5,-2.0,,-2.8614620754790727,
2018-07-10,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-36.037673888097345,,,1.5,0.0,,-0.3595140679040743,
2018-07-11,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-33.457079782867396,,,1.5,0.0,,0.7163195261411313,
2018-07-12,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-31.7462537700283,,,1.5,0.0,,-0.8764447830649205,
2018-07-13,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-29.37982197159964,,,1.5,0.0,,-0.10950309930826524,
2018-07-16,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-26.68055967736016,,,1.5,0.0,-0.9151404151404152,0.1193585689301785,-1.1224132979439163
2018-07-17,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-24.12883516950751,,,0.5714285714285714,0.0,0.007936507936507908,-0.45064935491994923,-0.21067343926721557
2018-07-18,12.0,12.0,12.0,12.0,12.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-21.194801392823116,,,0.5714285714285714,0.0,0.007936507936507908,-0.27446801311711144,-0.30484207974254096
2018-07-19,15.0,15.0,15.0,15.0,15.0,6,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,2.0331129747271692,,,0.7142857142857143,4.2,0.37936507936507935,4.731596129392511,0.15498439912935588
2018-07-20,15.0,15.0,15.0,15.0,15.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,5.526469555914182,,,0.7142857142857143,0.0,0.37936507936507935,0.13499125625384661,0.17057110222050545
2018-07-23,15.0,15.0,15.0,15.0,15.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,8.949269814348625,,,0.42857142857142855,0.0,0.15714285714285717,-0.27621799627975,-0.04845926302915675
2018-07-24,15.0,15.0,15.0,15.0,15.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,12.460109267808072,,,0.42857142857142855,0.0,0.15714285714285717,-0.7264934763383574,-0.13657218481902592
2018-07-25,15.0,15.0,15.0,15.0,15.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,10.437389758153648,,,0.42857142857142855,0.0,0.15714285714285717,-1.3597487623691231,-0.17272500427075207
2018-07-26,15.0,15.0,15.0,15.0,15.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,9.805305357129468,,,0.42857142857142855,0.0,0.15714285714285717,0.4947237396338587,-0.07839374345922116
2018-07-27,15.0,15.0,15.0,15.0,15.0,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,9.089778382555114,,,0.21428571428571427,0.0,0.3,1.0254012438798317,0.19923935078070057
2018-07-30,11.4,11.4,11.4,11.4,11.4,6,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-16.6299780678549,,,0.4714285714285714,-7.636363636363636,-0.2454545454545454,-6.784092145295948,-0.259659083318719
2018-07-31,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-15.780975108730322,,,0.4714285714285714,0.0,-0.2454545454545454,-0.7226143859277137,-0.3624400770379222
2018-08-01,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-14.378227108825293,,,0.4714285714285714,0.0,-0.2454545454545454,0.15775934926504143,-0.28856835330006786
2018-08-02,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-13.473341106412251,,,0.4714285714285714,0.0,-0.2454545454545454,-0.6911665775634589,-0.33011574460401016
2018-08-03,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-12.53935112724175,,,0.4714285714285714,0.0,-0.2454545454545454,-0.6427790391705774,-0.38455414518263564
2018-08-06,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-12.551735677239584,,,0.4714285714285714,0.0,-0.2454545454545454,-0.5054873046363596,-0.38847114159095064
2018-08-07,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-12.504359999724013,,,0.4714285714285714,0.0,-0.2454545454545454,-0.40178532919497345,-0.39756523559651225
2018-08-08,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-12.15702606424065,,,0.2571428571428571,0.0,-0.5454545454545454,0.03832123641388986,-0.7327991565235565
2018-08-09,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-11.745155739967416,,,0.2571428571428571,0.0,-0.5454545454545454,0.20988432902786316,-0.7274496513254125
2018-08-10,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-10.856709682624633,,,0.2571428571428571,0.0,-0.5454545454545454,0.9830213461013501,-0.6375039840124768
2018-08-13,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-10.251277274615422,,,0.2571428571428571,0.0,-0.5454545454545454,0.5486558128604249,-0.5464218919268495
2018-08-14,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-10.56574358640775,,,0.2571428571428571,0.0,-0.5454545454545454,-0.8998960707628176,-0.5135752710978277
2018-08-15,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-9.662214722123185,,,0.2571428571428571,0.0,-0.5454545454545454,0.9840421434313045,-0.47862395654086726
2018-08-16,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-9.015166817951158,,,0.2571428571428571,0.0,-0.5454545454545454,-1.026369154912058,-0.6251789850260022
2018-08-17,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-7.903116297211721,,,0.0,,,,
2018-08-20,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-6.67170708182756,,,0.0,,,,
2018-08-21,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-5.385513623806871,,,0.0,,,,
2018-08-22,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-3.878154932503608,,,0.0,,,,
2018-08-23,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-2.185585586939154,,,0.0,,,,
2018-08-24,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-1.1455368314710168,,,0.0,,,,
2018-08-27,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-1.7361164300775722,,,0.0,,,,
2018-08-28,11.4,11.4,11.4,11.4,11.4,0,RCRT,Recruiter.Com Group Inc,전문 및 상업 서비스,-1.6231966555066535,,,0.0,,,,
