Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2020-02-13,24.93,25.02,24.860001,25.0,20.555925,270200,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,,,,,,
2020-02-14,25.049999,25.17,25.01,25.17,20.695705,196600,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,,,,,,
2020-02-18,25.200001,25.24,25.1,25.200001,20.720373,216500,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,,,,,,
2020-02-19,25.25,25.25,25.200001,25.209999,20.728596,94500,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,,,,,,
2020-02-20,25.226,25.280001,25.18,25.24,20.753265,109500,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,,,,,,
2020-02-21,25.257,25.257,25.17,25.209999,20.728596,114000,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,,,,,,
2020-02-24,24.889999,25.1,24.889999,24.98,20.539482,174400,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,,,,,,
2020-02-25,25.0,25.0,24.75,24.84,20.424368,133900,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,,,,,,
2020-02-26,24.84,24.98,24.799999,24.85,20.432589,48400,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,,,,,,
2020-02-27,24.799999,24.799999,24.549999,24.6,20.22703,90900,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,,,,,,
2020-02-28,24.790001,24.790001,24.1,24.34,20.01325,475200,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,,,,,,
2020-03-02,24.299999,24.440001,23.5,24.326,20.001741,81700,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,,,,,,
2020-03-03,24.33,24.549999,24.209999,24.35,20.021473,63400,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,,,,,,
2020-03-04,24.417,24.98,24.299999,24.889999,20.465479,64100,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,,,,,,
2020-03-05,24.5,25.129999,24.5,24.870001,20.449034,95900,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,0.34835742857142854,-0.05740655533602495,,1.0810457797601187,,
2020-03-06,24.75,24.799999,24.370001,24.549999,20.185919,21800,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,0.371928857142857,-0.8603849737776242,,-0.34964803603893735,,
2020-03-09,24.4,24.4,22.75,23.08,18.97723,23100,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,0.49050021428571433,-2.9969385480099566,,-1.0538775387655173,,
2020-03-10,23.67,24.124001,22.330999,23.049999,18.952564,24000,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,0.6150004285714287,-0.04878207982665523,,-1.1326858598142922,,
2020-03-11,22.632,23.18,21.1,21.16,17.398537,41400,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,,,,0.7564289285714286,-2.4985810677143205,,-1.4492677197186998,,
2020-03-12,19.559999,19.919001,16.74,17.4,14.306925,49000,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,-10.370463237233029,,,1.0659289285714288,-3.527439681217021,,-1.7866613627467651,,
2020-03-13,19.0,19.190001,17.209999,18.4,15.129164,207900,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,-12.92734760383607,,,1.1845005000000002,0.8442377187683753,,-0.6187851488989472,,
2020-03-16,15.0,17.450001,15.0,16.83,13.838249,35700,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,-9.28412746207149,,,1.4095005,-1.1138697715963919,,0.7762664483266679,,
2020-03-17,16.33,17.65,15.9,16.200001,13.320242,22300,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,-17.04724208096208,,,1.5216432857142854,-0.41402541969898393,,-1.2088697441094416,,
2020-03-18,14.8,16.221001,7.31,10.23,8.411484,73400,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,-43.59216856766294,,,2.136714714285714,-2.794009401482369,,-2.0960494290087652,,
2020-03-19,10.15,14.49,10.15,13.7,11.264647,52900,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,-23.908982436844994,,,2.3974289285714288,1.4473838863985387,,1.3878235199966633,,
2020-03-20,13.7,16.200001,13.7,15.0,12.333556,48000,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,-12.299287617985243,,,2.5088575,0.5181641444362626,,1.0668900973995528,,
2020-03-23,14.75,14.76,12.0,12.5,10.277963,150000,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,-23.60027825951575,,,2.6988575,-0.9263178956280574,,-0.565300621463408,,
2020-03-24,13.683,14.5,13.26,13.7,11.264647,70600,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,-22.202377633686233,,,2.793143142857143,0.4296235239746801,-0.8570247229078249,-0.6576590428714397,-0.4719127612823722,
2020-03-25,14.0,14.88,13.21,13.21,10.861752,208300,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,-24.455662148063205,,,2.8674289285714285,-0.17088479338322068,-0.8651303113397674,-0.3153000459742725,-0.5716517488348288,
2020-03-26,13.827,18.549999,13.827,18.549999,15.252497,148000,RILYM,B Riley Financial 6.375% Senior Notes Exp 28th Feb 2025,투자은행 및 서비스,0.7095643252738704,,,3.2131431428571426,1.6619237807288116,-0.6849654003035933,0.8826215682869184,-0.4836324913829819,
