Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2022-02-11,RMMZ,RiverNorth Managed Duration Muni Income Fd II Inc.,다양한 금융서비스,19.9,19.9,18.540001,18.540001,17.221575,1479400.0,,,,,,,,,,,,,False
2022-02-14,RMMZ,RiverNorth Managed Duration Muni Income Fd II Inc.,다양한 금융서비스,18.549999,19.1,18.549999,19.1,17.741751,166300.0,,,,,,,,,,,,,False
2022-02-15,RMMZ,RiverNorth Managed Duration Muni Income Fd II Inc.,다양한 금융서비스,19.190001,19.200001,18.85,19.1,17.741751,163600.0,,,,,,,,,,,,,False
2022-02-16,RMMZ,RiverNorth Managed Duration Muni Income Fd II Inc.,다양한 금융서비스,19.190001,19.200001,18.799999,19.09,17.73246,89400.0,,,,,,,,,,,,,False
2022-02-17,RMMZ,RiverNorth Managed Duration Muni Income Fd II Inc.,다양한 금융서비스,19.290001,19.9,19.15,19.879999,18.466284,218300.0,,,,,,,,,,,,,False
2022-02-18,RMMZ,RiverNorth Managed Duration Muni Income Fd II Inc.,다양한 금융서비스,19.889999,20.0,19.799999,20.0,18.577747,101700.0,,,,,,,,,,,,,False
2022-02-22,RMMZ,RiverNorth Managed Duration Muni Income Fd II Inc.,다양한 금융서비스,20.0,20.190001,20.0,20.02,18.596329,78100.0,,,,,,,,,,,,,False
2022-02-23,RMMZ,RiverNorth Managed Duration Muni Income Fd II Inc.,다양한 금융서비스,20.139999,20.139999,20.0,20.01,18.58704,18300.0,,,,,,,,,,,,,False
2022-02-24,RMMZ,RiverNorth Managed Duration Muni Income Fd II Inc.,다양한 금융서비스,20.0,20.5,20.0,20.08,18.65206,53900.0,,,,,,,,,,,,,False
2022-02-25,RMMZ,RiverNorth Managed Duration Muni Income Fd II Inc.,다양한 금융서비스,20.08,20.299999,20.0,20.1,18.670639,10400.0,,,,,,,,,,,,,False
2022-02-28,RMMZ,RiverNorth Managed Duration Muni Income Fd II Inc.,다양한 금융서비스,20.01,20.07,20.0,20.0,18.577747,18200.0,,,,,,,,,,,,,False
2022-03-01,RMMZ,RiverNorth Managed Duration Muni Income Fd II Inc.,다양한 금융서비스,20.02,20.4,20.02,20.190001,18.754236,8700.0,,,,,,,,,,,,,False
