Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-03-19,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",74.349998,74.550003,73.25,74.150002,66.401505,197200,,,,,,,,,,,,,False
2018-03-20,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",74.199997,75.099998,73.949997,74.449997,66.670143,270900,,,,,,,,,,,,,False
2018-03-21,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",74.349998,74.349998,73.349998,73.5,65.81942,262200,,,,,,,,,,,,,False
2018-03-22,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",72.849998,73.75,71.849998,72.099998,64.565704,437000,,,,,,,,,,,,,False
2018-03-23,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",72.300003,72.300003,69.900002,70.0,62.685158,258900,,,,,,,,,,,,,False
2018-03-26,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",71.099998,71.800003,69.400002,70.5,63.132904,217000,,,,,,,,,,,,,False
2018-03-27,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",71.0,71.349998,69.25,69.849998,62.550823,363500,,,,,,,,,,,,,False
2018-03-28,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",69.800003,70.0,69.0,69.949997,62.874413,399800,,,,,,,,,,,,,False
2018-03-29,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",70.5,73.949997,70.099998,73.349998,65.930511,475400,,,,,,,,,,,,,False
2018-04-02,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",72.949997,73.0,69.75,70.5,63.368778,561400,,,,,,,,,,,,,False
2018-04-03,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",71.050003,71.650002,70.099998,71.599998,64.357521,319100,,,,,,,,,,,,,False
2018-04-04,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",69.75,72.449997,69.599998,72.349998,65.031647,463800,,,,,,,,,,,,,False
2018-04-05,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",72.75,73.879997,72.400002,73.599998,66.155228,257600,,,,,,,,,,,,,False
2018-04-06,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",72.900002,73.330002,71.150002,71.599998,64.357521,307600,,,,,,,,,,,,,False
2018-04-09,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",71.849998,72.199997,70.5,70.650002,63.503616,228400,,,,,,,2.1235710714285716,-0.4473577610759767,,-0.6011484511804597,,,False
2018-04-10,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",71.949997,73.949997,71.580002,72.550003,65.211433,280200,,,,,,,2.277142071428571,0.834379647997998,,0.0963788106988891,,,False
2018-04-11,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",72.199997,72.720001,71.550003,72.5,65.166473,183100,,,,,,,2.2821419999999994,-0.021910555960147883,,0.228110683790242,,,False
2018-04-12,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",72.849998,73.300003,72.279999,72.400002,65.076599,359400,,,,,,,2.2192849999999993,-0.04505865627893641,,-0.43424089905424107,,,False
2018-04-13,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",72.900002,72.900002,71.379997,72.199997,64.896812,283200,,,,,,,2.1564281428571417,-0.09274827944649686,,0.05125037554278167,,,False
2018-04-16,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",72.900002,74.32,72.5,74.099998,66.60463,265600,1.5420313289817633,,,,,,2.1364282857142842,0.889335257684423,,0.4614259100503126,,,False
2018-04-17,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",74.5,74.849998,73.949997,74.449997,66.919228,238800,0.9126843096241455,,,,,,2.050714214285713,0.1706717579474649,,-0.4334929244244732,,,False
2018-04-18,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",74.650002,75.099998,74.199997,74.699997,67.143936,136800,1.1347407169933987,,,,,,2.0435714285714277,0.12233484795526045,,0.07279410885033684,,,False
2018-04-19,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",74.599998,75.25,74.050003,75.150002,67.548447,321000,2.1797131889913723,,,,,,1.843571214285713,0.24409417792648586,,0.6009330943059635,,,False
2018-04-20,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",75.150002,75.550003,74.400002,75.300003,67.683266,464200,3.0899820717045445,,,,,,1.6685714285714275,0.08989785958904305,,0.670065943329099,,,False
2018-04-23,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",75.5,76.0,75.25,75.449997,67.818085,597200,3.061560879026004,,,,,,1.6114282857142845,0.093081399482513,,0.08915960415353784,,,False
2018-04-24,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",75.599998,76.349998,72.849998,73.650002,66.200157,533700,1.7006690336978547,,,,,,1.6578569285714277,-1.0857360300391228,,-0.13469411781038687,,,False
2018-04-25,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",73.5,74.699997,73.449997,74.25,66.739456,174100,2.082001363104591,,,,,,1.6378569999999988,0.3663311265879743,,0.23877747412670577,,,False
2018-04-26,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",74.300003,74.300003,73.150002,73.650002,66.200157,231800,0.07280440935559795,,,,,,1.5450002142857133,-0.3883481662022884,0.05206904472629954,-1.1724537072280816,-0.019081006774983866,,False
2018-04-27,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",73.5,73.5,72.150002,72.550003,65.211433,323100,-1.4240155719592917,,,,,,1.5307147142857136,-0.7186179042600344,0.03269332021315256,-0.8088161202676768,-0.03391441170978509,,False
2018-04-30,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",72.599998,72.949997,71.199997,71.199997,63.997978,219200,-2.385695215160555,,,,,,1.4200007857142853,-0.9507079246585985,-0.09481293497660433,-0.2606874089105704,-0.05941914168188934,,False
2018-05-01,RRX,Regal Rexnord Corp,"건설장비 및 대형차, 기차, 배",71.199997,71.449997,69.949997,71.300003,64.08786,277300,-2.403367135638401,,,,,,1.4435723571428574,0.06927674910452092,-0.0882995560434137,-0.14016453555060668,-0.08572451449194995,,False
