Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,2.83,2.85,2.7,2.73,2.591452,860600,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-05,2.72,2.76,2.63,2.75,2.610437,620400,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-08,2.75,2.75,2.65,2.71,2.572467,521700,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-09,2.74,2.74,2.67,2.71,2.572467,555700,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-10,2.71,2.9,2.69,2.82,2.676884,1366600,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-11,2.82,2.9,2.8,2.9,2.752824,1124700,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-12,2.9,2.9,2.73,2.86,2.714854,687500,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-15,2.92,2.94,2.81,2.89,2.743332,586300,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-16,2.89,2.89,2.67,2.69,2.553482,992900,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-17,2.7,2.91,2.58,2.83,2.686377,901100,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-18,2.83,3.03,2.81,2.86,2.714854,2530100,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-19,2.78,2.93,2.73,2.88,2.73384,1741900,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-22,2.9,2.98,2.82,2.85,2.705362,903500,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-23,2.85,2.86,2.61,2.63,2.496527,1251400,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-24,2.7,2.72,2.57,2.57,2.439572,906000,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-25,2.57,2.7,2.45,2.69,2.553482,952100,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-26,2.77,2.79,2.57,2.64,2.50602,598400,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-29,2.63,2.63,2.42,2.46,2.335155,766300,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-30,2.45,2.5,2.29,2.48,2.35414,604400,SB,Safe Bulkers Inc,화물 및 물류 서비스,,,
2021-03-31,2.48,2.49,2.37,2.45,2.325662,519000,SB,Safe Bulkers Inc,화물 및 물류 서비스,-11.20818035556389,,
2021-04-01,2.45,2.51,2.38,2.45,2.325662,512500,SB,Safe Bulkers Inc,화물 및 물류 서비스,-11.513563454117737,,
2021-04-05,2.46,2.52,2.32,2.37,2.249722,607500,SB,Safe Bulkers Inc,화물 및 물류 서비스,-14.78857275269011,,
2021-04-06,2.38,2.41,2.34,2.35,2.230737,490200,SB,Safe Bulkers Inc,화물 및 물류 서비스,-14.59678668904586,,
2021-04-07,2.34,2.38,2.27,2.35,2.230737,821700,SB,Safe Bulkers Inc,화물 및 물류 서비스,-13.9371243432584,,
2021-04-08,2.34,2.34,2.22,2.26,2.145304,719600,SB,Safe Bulkers Inc,화물 및 물류 서비스,-16.510056231647006,,
2021-04-09,2.28,2.31,2.23,2.24,2.126319,375200,SB,Safe Bulkers Inc,화물 및 물류 서비스,-16.661592871062037,,
2021-04-12,2.21,2.25,2.14,2.19,2.078857,734000,SB,Safe Bulkers Inc,화물 및 물류 서비스,-17.268367051582402,,
2021-04-13,2.18,2.21,2.12,2.12,2.012409,496900,SB,Safe Bulkers Inc,화물 및 물류 서비스,-18.806558176528853,,
2021-04-14,2.19,2.4,2.16,2.27,2.154797,812200,SB,Safe Bulkers Inc,화물 및 물류 서비스,-11.806240246842137,,
2021-04-15,2.29,2.39,2.22,2.37,2.249722,722400,SB,Safe Bulkers Inc,화물 및 물류 서비스,-7.86971525511726,,
2021-04-16,2.44,2.47,2.28,2.35,2.230737,676100,SB,Safe Bulkers Inc,화물 및 물류 서비스,-7.71162526389949,,
2021-04-19,2.39,2.5,2.29,2.5,2.373124,775600,SB,Safe Bulkers Inc,화물 및 물류 서비스,-0.1855762930893734,,
2021-04-20,2.5,2.53,2.33,2.41,2.287692,825900,SB,Safe Bulkers Inc,화물 및 물류 서비스,-1.9760377021196263,,
2021-04-21,2.51,2.78,2.46,2.76,2.619929,1565600,SB,Safe Bulkers Inc,화물 및 물류 서비스,11.329753753654481,,
2021-04-22,2.76,2.8,2.66,2.75,2.610437,1366200,SB,Safe Bulkers Inc,화물 및 물류 서비스,11.91761660646451,,
2021-04-23,2.72,2.83,2.7,2.8,2.657899,615700,SB,Safe Bulkers Inc,화물 및 물류 서비스,12.893805870342279,,
