Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2020-02-06,26.0,31.4,25.5,28.639999,28.639999,7624500,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,,,,,
2020-02-07,30.450001,34.150002,29.309999,31.92,31.92,3225300,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,,,,,
2020-02-10,32.380001,33.450001,28.110001,28.940001,28.940001,2007500,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,,,,,
2020-02-11,28.75,29.52,26.65,26.790001,26.790001,1253500,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,,,,,
2020-02-12,27.33,28.216,26.66,27.129999,27.129999,1510600,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,,,,,
2020-02-13,27.08,27.549999,26.059999,26.6,26.6,595100,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,,,,,
2020-02-14,26.610001,27.1,26.24,26.9,26.9,564800,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,,,,,
2020-02-18,27.17,32.16,27.0,31.9,31.9,1502000,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,,,,,
2020-02-19,32.279999,36.414001,32.279999,35.720001,35.720001,1626900,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,,,,,
2020-02-20,36.400002,48.73,32.84,47.619999,47.619999,6922300,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,,,,,
2020-02-21,51.549999,54.830002,45.0,50.0,50.0,7124200,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,,,,,
2020-02-24,45.0,56.650002,44.0,52.990002,52.990002,4328800,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,,,,,
2020-02-25,54.099998,54.5,43.16,43.59,43.59,2795700,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,,,,,
2020-02-26,45.950001,47.549999,40.060001,42.389999,42.389999,2134900,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,,,,,
2020-02-27,39.0,51.125,38.0,43.43,43.43,2922700,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,6.980357571428572,0.14898964549564675,,2.7213406151698027,
2020-02-28,43.52,47.490002,42.5,46.380001,46.380001,1392600,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,6.943214642857143,0.4248753857890343,,0.8298696922896666,
2020-03-02,48.23,49.77,43.0,44.75,44.75,1224000,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,7.045357500000001,-0.23135816741733828,,-2.2156857653821356,
2020-03-03,44.549999,45.676998,39.060001,39.509998,39.509998,1445800,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,7.313000142857143,-0.7165324624146338,,0.39284973393245404,
2020-03-04,41.970001,43.77,39.509998,43.0,43.0,1006600,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,,,,7.506143142857143,0.46495276383332607,,-1.0137728667682815,
2020-03-05,41.889999,43.98,40.509998,41.169998,41.169998,774700,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,14.903214321632795,,,7.647571857142856,-0.23929189998924597,,0.8991604351068978,
2020-03-06,39.900002,43.66,39.200001,43.32,43.32,799700,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,19.957029855488596,,,7.904714642857142,0.271989831023538,,0.7827267687622249,
2020-03-09,38.580002,41.41,37.18,37.25,37.25,1015500,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,9.834482901217534,,,7.967571785714284,-0.7618381312714877,,1.1812228779729517,
2020-03-10,39.380001,39.893002,32.099998,35.029999,35.029999,1041200,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,-2.956604509708083,,,8.201786285714284,-0.2706728659666199,,-1.354576645954257,
2020-03-11,33.290001,37.029999,32.014999,35.52,35.52,874700,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,1.440435399691653,,,7.425000571428571,0.06599339559454476,,1.1153067435901654,
2020-03-12,38.490002,43.75,35.0,37.310001,37.310001,2692400,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,14.606151872861584,,,7.3478575714285705,0.24360855971953532,,1.9843868781897909,
2020-03-13,39.75,40.490002,34.529999,35.580002,35.580002,1388600,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,-1.9529845546520597,,,6.870000499999999,-0.2518193412067437,,-1.7148422088740662,
2020-03-16,32.450001,32.5,30.01,30.379999,30.379999,1041500,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,-6.550079696988986,,,6.457857785714284,-0.8052210458246941,,1.0849151740983656,
2020-03-17,31.01,31.57,27.040001,30.370001,30.370001,1152500,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,-12.679795412349081,,,6.246429285714285,-0.0016005944424711085,-0.1184232090769721,-0.7964449188529288,0.2783183223771893
2020-03-18,29.1,33.630001,27.68,28.959999,28.959999,966800,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,-12.667188633850657,,,5.7339293571428565,-0.24590501768975134,-0.14662997073307196,0.45205495478385227,0.11622648949247856
2020-03-19,28.959999,34.490002,28.51,33.439999,33.439999,797100,SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,0.45678764049574827,,,5.804643642857142,0.7717958716574839,-0.1218499360281827,0.7122355052556084,0.10782404756147439
