Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2018-03-12,17.450001,17.6,16.950001,17.049999,16.478243,176300,SHYF,Shyft Group Inc,자동차 및 자동차 부품,,,,,,,,,
2018-03-13,17.450001,17.450001,16.85,16.85,16.284952,157900,SHYF,Shyft Group Inc,자동차 및 자동차 부품,,,,,,,,,
2018-03-14,17.0,17.129999,16.75,16.85,16.284952,132900,SHYF,Shyft Group Inc,자동차 및 자동차 부품,,,,,,,,,
2018-03-15,16.85,16.950001,16.6,16.75,16.188307,131700,SHYF,Shyft Group Inc,자동차 및 자동차 부품,,,,,,,,,
2018-03-16,16.700001,16.950001,16.4,16.75,16.188307,262800,SHYF,Shyft Group Inc,자동차 및 자동차 부품,,,,,,,,,
2018-03-19,16.75,17.6,16.6,17.5,16.913157,415500,SHYF,Shyft Group Inc,자동차 및 자동차 부품,,,,,,,,,
2018-03-20,17.5,17.9,17.450001,17.65,17.058123,231900,SHYF,Shyft Group Inc,자동차 및 자동차 부품,,,,,,,,,
2018-03-21,17.799999,18.0,17.4,17.799999,17.203094,175000,SHYF,Shyft Group Inc,자동차 및 자동차 부품,,,,,,,,,
2018-03-22,17.6,17.75,17.049999,17.5,16.913157,311600,SHYF,Shyft Group Inc,자동차 및 자동차 부품,,,,,,,,,
2018-03-23,17.5,17.549999,17.25,17.299999,16.71986,317300,SHYF,Shyft Group Inc,자동차 및 자동차 부품,,,,,,,,,
2018-03-26,17.35,17.65,17.049999,17.25,16.671537,182600,SHYF,Shyft Group Inc,자동차 및 자동차 부품,,,,,,,,,
2018-03-27,17.35,17.35,16.860001,17.049999,16.478243,202500,SHYF,Shyft Group Inc,자동차 및 자동차 부품,,,,,,,,,
2018-03-28,17.1,17.35,16.75,17.15,16.574892,301200,SHYF,Shyft Group Inc,자동차 및 자동차 부품,,,,,,,,,
2018-03-29,17.200001,17.85,17.15,17.200001,16.623213,548300,SHYF,Shyft Group Inc,자동차 및 자동차 부품,,,,,,,,,
2018-04-02,17.25,17.25,16.25,16.5,15.946687,235100,SHYF,Shyft Group Inc,자동차 및 자동차 부품,,,,0.5978571428571432,-1.1708499402628434,,0.030266262926074372,,
