Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2018-03-19,STGW,Stagwell Inc,미디어 및 출판,7.35,7.45,7.0,7.1,7.1,563100.0,,,,,,,,,,,,,False
2018-03-20,STGW,Stagwell Inc,미디어 및 출판,7.15,7.4,7.0,7.1,7.1,369300.0,,,,,,,,,,,,,False
2018-03-21,STGW,Stagwell Inc,미디어 및 출판,7.05,7.3,6.9,7.0,7.0,328900.0,,,,,,,,,,,,,False
2018-03-22,STGW,Stagwell Inc,미디어 및 출판,6.95,6.95,6.6,6.65,6.65,420700.0,,,,,,,,,,,,,False
2018-03-23,STGW,Stagwell Inc,미디어 및 출판,6.7,6.8,6.53,6.65,6.65,416000.0,,,,,,,,,,,,,False
2018-03-26,STGW,Stagwell Inc,미디어 및 출판,6.8,6.85,6.55,6.7,6.7,225700.0,,,,,,,,,,,,,False
2018-03-27,STGW,Stagwell Inc,미디어 및 출판,6.75,7.05,6.6,6.95,6.95,442900.0,,,,,,,,,,,,,False
2018-03-28,STGW,Stagwell Inc,미디어 및 출판,6.95,7.25,6.85,7.1,7.1,466500.0,,,,,,,,,,,,,False
2018-03-29,STGW,Stagwell Inc,미디어 및 출판,7.1,7.3,7.05,7.2,7.2,374000.0,,,,,,,,,,,,,False
2018-04-02,STGW,Stagwell Inc,미디어 및 출판,7.3,7.45,6.9,6.95,6.95,379000.0,,,,,,,,,,,,,False
2018-04-03,STGW,Stagwell Inc,미디어 및 출판,6.95,7.0,6.75,6.85,6.85,287600.0,,,,,,,,,,,,,False
2018-04-04,STGW,Stagwell Inc,미디어 및 출판,6.8,7.2,6.61,7.05,7.05,262300.0,,,,,,,,,,,,,False
2018-04-05,STGW,Stagwell Inc,미디어 및 출판,7.05,7.54,7.0,7.15,7.15,275700.0,,,,,,,,,,,,,False
2018-04-06,STGW,Stagwell Inc,미디어 및 출판,7.15,7.35,6.9,7.05,7.05,315100.0,,,,,,,,,,,,,False
2018-04-09,STGW,Stagwell Inc,미디어 및 출판,7.05,7.2,6.95,6.95,6.95,302200.0,,,,,,,0.3928571428571428,-0.2545454545454537,,-0.4083361446499367,,,False
2018-04-10,STGW,Stagwell Inc,미디어 및 출판,7.0,7.2,6.85,6.9,6.9,247000.0,,,,,,,0.38928571428571423,-0.12844036697247663,,-0.8664412042715856,,,False
2018-04-11,STGW,Stagwell Inc,미디어 및 출판,6.85,7.05,6.7,6.85,6.85,372500.0,,,,,,,0.3857142857142857,-0.12962962962963148,,0.12039161012075839,,,False
2018-04-12,STGW,Stagwell Inc,미디어 및 출판,7.4,8.35,7.35,7.65,7.65,584600.0,,,,,,,0.46428571428571425,1.7230769230769247,,1.33389468030162,,,False
2018-04-13,STGW,Stagwell Inc,미디어 및 출판,7.7,7.85,7.45,7.55,7.55,289700.0,,,,,,,0.4735714285714285,-0.21116138763197703,,-0.06716273264269851,,,False
2018-04-16,STGW,Stagwell Inc,미디어 및 출판,7.65,8.25,7.58,8.18,8.18,355400.0,14.160457851392195,,,,,,0.5021428571428571,1.254623044096728,,0.8267136964626176,,,False
2018-04-17,STGW,Stagwell Inc,미디어 및 출판,8.15,8.5,7.9,8.2,8.2,1353500.0,12.365692041750108,,,,,,0.5128571428571428,0.03899721448467884,,-0.5651674678872592,,,False
2018-04-18,STGW,Stagwell Inc,미디어 및 출판,8.3,8.65,8.1,8.2,8.2,538500.0,11.41678875402896,,,,,,0.5235714285714285,0.0,,-0.04954073910492361,,,False
2018-04-19,STGW,Stagwell Inc,미디어 및 출판,8.3,8.4,7.88,7.95,7.95,407800.0,7.905817373436785,,,,,,0.5428571428571428,-0.46052631578947206,,-0.10368739940999439,,,False
2018-04-20,STGW,Stagwell Inc,미디어 및 출판,7.95,8.15,7.85,7.95,7.95,269500.0,7.923686408873287,,,,,,0.525,0.0,,0.5801680837400559,,,False
2018-04-23,STGW,Stagwell Inc,미디어 및 출판,8.0,8.08,7.75,7.8,7.8,162300.0,5.2107305560720185,,,,,,0.5307142857142858,-0.28263795423956994,,-0.2865597495685451,,,False
2018-04-24,STGW,Stagwell Inc,미디어 및 출판,7.8,7.95,7.65,7.75,7.75,272100.0,5.155809168551184,,,,,,0.51,-0.09803921568627416,,0.8530026965424617,,,False
2018-04-25,STGW,Stagwell Inc,미디어 및 출판,7.8,7.8,7.4,7.6,7.6,333600.0,2.5296041649325085,,,,,,0.5,-0.3000000000000007,,-0.4275536524612692,,,False
2018-04-26,STGW,Stagwell Inc,미디어 및 출판,7.55,7.78,7.26,7.6,7.6,240000.0,1.2469928341494407,,,,,,0.5050000000000001,0.0,0.08226548979739114,-0.7841055410257932,0.011115438296107727,,False
2018-04-27,STGW,Stagwell Inc,미디어 및 출판,7.6,7.78,7.4,7.45,7.45,124600.0,-0.9742594344821276,,,,,,0.5142857142857143,-0.2916666666666656,0.07961397464587601,-0.38186488267430807,0.013006242722938346,,False
2018-04-30,STGW,Stagwell Inc,미디어 및 출판,7.4,7.65,7.4,7.55,7.55,187700.0,0.8981466676911687,,,,,,0.5071428571428572,0.19718309859154856,0.10287279361473493,0.8872036143395767,0.13826658690944996,,False
2018-05-01,STGW,Stagwell Inc,미디어 및 출판,7.55,7.55,7.2,7.3,7.3,392600.0,-2.913674323760007,,,,,,0.5071428571428572,-0.49295774647887314,0.07692078526836053,-0.7023990311340007,0.07949582681982428,,False
2018-05-02,STGW,Stagwell Inc,미디어 및 출판,7.3,7.45,7.05,7.15,7.15,472400.0,-4.297924198975167,,,,,,0.42857142857142866,-0.3499999999999987,-0.07115613780856256,0.24802928040618238,0.001934012541578739,,False
2018-05-03,STGW,Stagwell Inc,미디어 및 출판,7.1,7.15,6.8,7.05,7.05,269000.0,-5.4162300356820126,,,,,,0.42500000000000016,-0.23529411764705999,-0.07287990423821135,-0.05258706199763913,0.002975131873368695,,False
2018-05-04,STGW,Stagwell Inc,미디어 및 출판,7.0,7.38,7.0,7.25,7.25,234300.0,-3.989054344702281,,,,,,0.40214285714285725,0.49733570159857937,-0.12697185727379343,-0.4841214822476599,-0.09065595232022254,,False
