Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2021-12-27,SVNA,7 Acquisition Corp,기타 금융업,9.8,9.8,9.8,9.8,9.8,20000.0,,,,,,,,,,,,,False
2021-12-28,SVNA,7 Acquisition Corp,기타 금융업,9.8,9.8,9.8,9.8,9.8,100.0,,,,,,,,,,,,,False
2021-12-29,SVNA,7 Acquisition Corp,기타 금융업,9.93,9.93,9.93,9.93,9.93,100.0,,,,,,,,,,,,,False
2021-12-30,SVNA,7 Acquisition Corp,기타 금융업,9.8,9.8,9.8,9.8,9.8,0.0,,,,,,,,,,,,,False
2021-12-31,SVNA,7 Acquisition Corp,기타 금융업,9.86,9.88,9.86,9.86,9.86,11300.0,,,,,,,,,,,,,False
2022-01-03,SVNA,7 Acquisition Corp,기타 금융업,9.86,9.86,9.86,9.86,9.86,0.0,,,,,,,,,,,,,False
2022-01-04,SVNA,7 Acquisition Corp,기타 금융업,9.85,9.85,9.84,9.85,9.85,28900.0,,,,,,,,,,,,,False
2022-01-05,SVNA,7 Acquisition Corp,기타 금융업,9.84,9.84,9.84,9.84,9.84,70900.0,,,,,,,,,,,,,False
2022-01-06,SVNA,7 Acquisition Corp,기타 금융업,9.84,9.87,9.84,9.87,9.87,9500.0,,,,,,,,,,,,,False
2022-01-07,SVNA,7 Acquisition Corp,기타 금융업,9.87,9.97,9.86,9.87,9.87,5600.0,,,,,,,,,,,,,False
2022-01-10,SVNA,7 Acquisition Corp,기타 금융업,9.87,9.87,9.87,9.87,9.87,0.0,,,,,,,,,,,,,False
2022-01-11,SVNA,7 Acquisition Corp,기타 금융업,9.86,9.86,9.86,9.86,9.86,200.0,,,,,,,,,,,,,False
2022-01-12,SVNA,7 Acquisition Corp,기타 금융업,9.86,9.89,9.86,9.88,9.88,262400.0,,,,,,,,,,,,,False
2022-01-13,SVNA,7 Acquisition Corp,기타 금융업,9.92,9.93,9.91,9.92,9.92,13300.0,,,,,,,,,,,,,False
2022-01-14,SVNA,7 Acquisition Corp,기타 금융업,9.94,9.94,9.88,9.88,9.88,3200.0,,,,,,,0.047142857142856896,-0.8484848484848349,,-0.9203077868741464,,,False
2022-01-18,SVNA,7 Acquisition Corp,기타 금융업,9.87,9.87,9.87,9.87,9.87,200.0,,,,,,,0.04785714285714272,-0.20895522388063026,,1.2696163162979655,,,False
