Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2021-04-23,SWIM,Latham Group Inc,화학,24.700001,27.77,23.58,27.25,27.25,8259200.0,,,,,,,,,,,,,False
2021-04-26,SWIM,Latham Group Inc,화학,27.450001,27.690001,25.049999,27.6,27.6,1802800.0,,,,,,,,,,,,,False
2021-04-27,SWIM,Latham Group Inc,화학,26.83,28.57,25.85,27.5,27.5,1026000.0,,,,,,,,,,,,,False
2021-04-28,SWIM,Latham Group Inc,화학,26.940001,28.795,26.110001,28.309999,28.309999,956900.0,,,,,,,,,,,,,False
2021-04-29,SWIM,Latham Group Inc,화학,28.629999,28.98,26.549999,26.879999,26.879999,2067700.0,,,,,,,,,,,,,False
2021-04-30,SWIM,Latham Group Inc,화학,26.23,26.780001,25.99,26.0,26.0,591000.0,,,,,,,,,,,,,False
2021-05-03,SWIM,Latham Group Inc,화학,26.0,26.52,24.99,26.01,26.01,549100.0,,,,,,,,,,,,,False
2021-05-04,SWIM,Latham Group Inc,화학,25.790001,26.34,25.0,25.139999,25.139999,836000.0,,,,,,,,,,,,,False
2021-05-05,SWIM,Latham Group Inc,화학,25.74,26.290001,25.049999,25.93,25.93,1105000.0,,,,,,,,,,,,,False
2021-05-06,SWIM,Latham Group Inc,화학,25.73,26.98,25.5,26.33,26.33,451500.0,,,,,,,,,,,,,False
2021-05-07,SWIM,Latham Group Inc,화학,26.41,29.26,26.142,28.91,28.91,983700.0,,,,,,,,,,,,,False
2021-05-10,SWIM,Latham Group Inc,화학,28.879999,30.26,28.1,29.620001,29.620001,309100.0,,,,,,,,,,,,,False
2021-05-11,SWIM,Latham Group Inc,화학,29.24,30.5,28.24,29.950001,29.950001,554000.0,,,,,,,,,,,,,False
2021-05-12,SWIM,Latham Group Inc,화학,29.790001,30.073999,28.215,28.66,28.66,534100.0,,,,,,,,,,,,,False
2021-05-13,SWIM,Latham Group Inc,화학,28.74,29.75,28.5,29.629999,29.629999,548400.0,,,,,,,1.9715715714285722,0.4919927909576999,,-0.6083899080936995,,,False
2021-05-14,SWIM,Latham Group Inc,화학,30.08,31.98,29.450001,31.809999,31.809999,560300.0,,,,,,,1.9637142142857151,1.1101411723461792,,-0.14211823739650642,,,False
2021-05-17,SWIM,Latham Group Inc,화학,31.809999,33.259998,31.530001,32.700001,32.700001,521200.0,,,,,,,1.8929997142857153,0.4701543234705786,,0.6813821718916927,,,False
2021-05-18,SWIM,Latham Group Inc,화학,32.889999,34.73,31.610001,31.690001,31.690001,1029400.0,,,,,,,1.9240711428571438,-0.5249286149056864,,0.16140463819129558,,,False
2021-05-19,SWIM,Latham Group Inc,화학,31.200001,31.73,29.02,31.620001,31.620001,458200.0,,,,,,,1.9440710714285723,-0.03600691406233508,,0.1914670879302263,,,False
2021-05-20,SWIM,Latham Group Inc,화학,31.889999,32.43,29.51,29.709999,29.709999,385300.0,4.184730801876735,,,,,,2.089071142857143,-0.9142828890871383,,-1.7058772385213534,,,False
2021-05-21,SWIM,Latham Group Inc,화학,30.049999,30.259001,28.49,29.68,29.68,264200.0,3.69021216430383,,,,,,2.1061426428571433,-0.014243574670376635,,0.04449588311816563,,,False
2021-05-24,SWIM,Latham Group Inc,화학,30.25,30.879999,29.01,29.59,29.59,286300.0,2.02106357831644,,,,,,2.143999714285715,-0.041977617534330616,,-0.7941670833732956,,,False
2021-05-25,SWIM,Latham Group Inc,화학,29.74,30.48,29.610001,29.9,29.9,589900.0,2.884516517624469,,,,,,2.118999571428572,0.14629545195755048,,0.30831583053169953,,,False
2021-05-26,SWIM,Latham Group Inc,화학,29.98,30.719999,29.4,30.200001,30.200001,547000.0,3.4019298446721136,,,,,,2.1075709285714295,0.14234443829767135,,-0.007602906086596972,,,False
2021-05-27,SWIM,Latham Group Inc,화학,30.120001,30.17,29.040001,29.92,29.92,312700.0,1.783131929803794,,,,,,1.9677137857142863,-0.1422976258197822,,-0.23805774034064453,,,False
2021-05-28,SWIM,Latham Group Inc,화학,30.059999,31.190001,29.51,31.059999,31.059999,347900.0,4.704968326311221,,,,,,1.9334281428571434,0.5896257402746575,,0.5235227540144384,,,False
2021-06-01,SWIM,Latham Group Inc,화학,31.24,31.809999,30.42,31.059999,31.059999,183800.0,3.8820667215664795,,,,,,1.8712852142857146,0.0,,0.04501646501473108,,,False
2021-06-02,SWIM,Latham Group Inc,화학,31.389999,31.610001,29.66,30.68,30.68,335800.0,1.5677662760294142,,,,,,1.8777853571428573,-0.20236551454325358,0.07674651190581673,-0.3523349502059213,-0.13521023095184062,,False
2021-06-03,SWIM,Latham Group Inc,화학,30.620001,30.620001,28.66,29.639999,29.639999,279400.0,-2.0957141310101512,,,,,,1.9327853571428573,-0.5380840640977244,0.0031695936875721442,-0.1416363535588801,-0.10187069134221065,,False
2021-06-04,SWIM,Latham Group Inc,화학,29.9,30.280001,28.49,28.969999,28.969999,183000.0,-5.527646503378869,,,,,,1.8799283571428573,-0.35639656024885646,-0.10158310149778756,-1.3747599765509992,-0.18991652985324586,,False
2021-06-07,SWIM,Latham Group Inc,화학,28.98,29.43,27.049999,27.889999,27.889999,358300.0,-8.831481287405662,,,,,,1.9263572142857142,-0.5606436812398067,-0.17521153040567222,-0.4652750765209406,-0.27182061902557686,,False
2021-06-08,SWIM,Latham Group Inc,화학,28.0,28.389999,27.74,27.92,27.92,387000.0,-8.45398457801707,,,,,,1.749928642857143,0.017144127631981004,-0.13649204879583882,-0.004436308713283359,-0.2836664009473325,,False
2021-06-09,SWIM,Latham Group Inc,화학,27.860001,28.190001,27.26,27.440001,27.440001,285100.0,-9.417631928703528,,,,,,1.622785857142857,-0.2957870244476426,-0.15504777096621794,-0.04582829366723107,-0.30061607106143656,,False
2021-06-10,SWIM,Latham Group Inc,화학,27.379999,27.84,27.120001,27.530001,27.530001,571500.0,-9.187403849248732,,,,,,1.4656429285714287,0.06140649829882058,-0.08535567186722086,-0.6173419857616905,-0.22286355300717492,,False
2021-06-11,SWIM,Latham Group Inc,화학,27.68,28.01,27.379999,27.809999,27.809999,276400.0,-8.019398537764811,,,,,,1.3842857857142856,0.2022689266115124,-0.06989049320422878,-0.09884498386579682,-0.2331021863631722,,False
2021-06-14,SWIM,Latham Group Inc,화학,27.870001,28.620001,27.639999,28.49,28.49,241400.0,-5.325362092804076,,,,,,1.3207145714285713,0.5148735500543948,-0.030115409805034108,0.20813120932276735,-0.1615094511705963,,False
2021-06-15,SWIM,Latham Group Inc,화학,28.48,28.961,28.110001,28.16,28.16,254200.0,-5.415392539783204,,,,,,1.3179287857142854,-0.2503928919202917,-0.05845029151059426,0.10228774809761837,-0.17622574277303069,,False
2021-06-16,SWIM,Latham Group Inc,화학,28.309999,29.145,28.01,28.940001,28.940001,487600.0,-1.6900489891083392,,,,,,1.3047145714285708,0.5978326731998956,-0.025915417589006815,1.4621993625603658,-0.07123986644110479,,False
2021-06-17,SWIM,Latham Group Inc,화학,28.940001,29.82,28.4,28.76,28.76,465100.0,-1.6445972808559084,,,,,,1.3232859999999995,-0.13602577220645973,-0.025467428045198064,-0.06989310407784056,-0.05922810670804735,,False
2021-06-18,SWIM,Latham Group Inc,화학,28.290001,29.667999,28.290001,29.48,29.48,1477700.0,2.2084877930562685,,,,,,1.3017143571428567,0.553116738744691,-0.0280752138687671,2.3589569752222688,0.07187433766394054,,False
2021-06-21,SWIM,Latham Group Inc,화학,29.6,31.190001,29.6,30.379999,30.379999,337900.0,3.837472127904218,,,,,,1.3245716428571424,0.6794641911997114,0.020457942645497995,-1.124209763964708,-0.011641821548876543,,False
2021-06-22,SWIM,Latham Group Inc,화학,30.25,30.66,29.700001,29.99,29.99,364300.0,1.9728883939329256,,,,,,1.2538572142857138,-0.31103940349553616,0.01269552200604924,-0.9527898878975752,-0.05453145995542325,,False
2021-06-23,SWIM,Latham Group Inc,화학,30.209999,31.040001,29.775,30.799999,30.799999,339800.0,4.7485535330206385,,,,,,1.1999287142857138,0.6750392672136132,0.09934718852828762,0.8190237712304751,0.014087120386673544,,False
2021-06-24,SWIM,Latham Group Inc,화학,30.950001,31.59,30.66,31.049999,31.049999,271100.0,4.927897037780227,,,,,,1.138500071428571,0.21958716233219394,0.14048888299836265,-0.5717220038965913,0.07144697557627411,,False
2021-06-25,SWIM,Latham Group Inc,화학,31.27,31.700001,30.17,30.389999,30.389999,3067300.0,2.373619566838703,,,,,,1.0777857857142852,-0.6123665841098431,0.13679438993621723,-1.0654595618682203,0.028576655194325555,,False
