Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2018-03-06,11.18,11.25,11.06,11.1,11.1,5700,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-07,11.16,11.75,11.16,11.75,11.75,1700,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-08,11.22,11.8,11.22,11.56,11.56,18800,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-09,11.56,12.09,11.38,11.47,11.47,9100,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-12,11.75,12.23,11.2,12.23,12.23,4500,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-13,12.23,12.23,12.23,12.23,12.23,0,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-14,11.85,11.85,11.6,11.6,11.6,12700,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-15,11.78,11.9,11.68,11.68,11.68,700,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-16,11.39,11.62,11.0,11.14,11.14,12500,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-19,11.1,11.1,11.1,11.1,11.1,800,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-20,11.48,11.48,11.48,11.48,11.48,200,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-21,11.41,11.44,11.41,11.44,11.44,500,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-22,11.19,11.19,11.14,11.18,11.18,2100,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-23,11.14,11.38,11.14,11.38,11.38,900,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,,,,,
2018-03-26,11.15,11.18,11.08,11.1,11.1,1300,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,0.42214285714285743,-0.6632825719120158,,-2.485042845957806,
2018-03-27,11.08,11.08,11.04,11.04,11.04,1100,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,0.3800000000000003,-0.15789473684210645,,0.9320235350655914,
2018-03-28,11.0,11.0,10.96,10.96,10.96,1900,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,0.3442857142857144,-0.23236514522821072,,-0.05798028923305784,
2018-03-29,11.03,11.19,10.8,10.9,10.9,2400,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,0.32142857142857156,-0.18666666666666815,,-0.9989563563959691,
2018-04-02,10.8,10.8,10.14,10.45,10.45,4800,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",,,,0.30214285714285716,-1.489361702127663,,-0.2882454989387453,
2018-04-03,10.77,11.0,10.37,10.45,10.45,3400,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-4.822799766222074,,,0.34714285714285725,0.0,,-0.6627536059212085,
2018-04-04,10.4,10.72,10.34,10.72,10.72,1700,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-3.462451348282325,,,0.32928571428571435,0.8199566160520647,,0.24122419739949708,
2018-04-05,10.4,10.66,10.4,10.66,10.66,1000,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-4.308595196420395,,,0.3307142857142858,-0.18142548596112457,,-0.5260362450159917,
2018-04-06,10.35,10.78,10.35,10.77,10.77,3000,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-1.0534885091589063,,,0.3128571428571429,0.3515981735159799,,1.3738295421541562,
2018-04-09,11.24,11.24,10.6,10.96,10.96,5000,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",0.26369297918860113,,,0.35571428571428576,0.5341365461847425,,0.3803458560802595,
2018-04-10,10.96,10.96,10.96,10.96,10.96,0,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-1.067307288937125,,,0.32857142857142857,0.0,,-0.7380008372991089,
2018-04-11,10.93,10.95,10.93,10.93,10.93,800,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-0.4486043202346801,,,0.32571428571428573,-0.09210526315789822,,0.15791597659249165,
2018-04-12,10.55,10.9,10.53,10.6,10.6,900,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-3.967018356032781,,,0.332857142857143,-0.9914163090128753,,-1.38059855178818,
2018-04-13,10.4,10.62,9.7,10.11,10.11,27700,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-7.64477082122389,,,0.38142857142857156,-1.2846441947565543,-0.2552479099937378,-1.140645539767276,-0.37092290450181054
2018-04-16,9.71,10.65,9.71,10.22,10.22,4800,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-7.130107708302125,,,0.42714285714285716,0.25752508361204296,-0.1894759345991622,-0.17038426402206747,-0.2055901486492578
2018-04-17,10.22,10.7,10.1,10.7,10.7,12500,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-3.6322954427768006,,,0.4657142857142857,1.030674846625764,-0.10457810720860003,0.42651016425382593,-0.2416982465643839
2018-04-18,10.48,10.48,10.12,10.12,10.12,1900,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-8.385524294866375,,,0.5014285714285716,-1.1566951566951564,-0.17060167945623902,-1.20623589580008,-0.3237165041763141
2018-04-19,10.2,10.2,10.05,10.05,10.05,600,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-7.945976404130639,,,0.4842857142857144,-0.14454277286135384,-0.16759282989871657,0.21229614351812384,-0.23719846846816456
2018-04-20,10.05,10.15,9.86,10.0,10.0,16700,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-7.060707493647833,,,0.4507142857142859,-0.11093502377179233,-0.06913378144472579,0.4692330599682636,-0.18309285711766393
2018-04-23,10.49,10.49,10.0,10.0,10.0,5900,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-6.308119063617468,,,0.44071428571428584,0.0,-0.06913378144472579,-0.0039217953289751575,-0.13603344207536153
2018-04-24,9.87,10.62,9.87,10.21,10.21,50800,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-2.6782735308275796,,,0.4671428571428572,0.4495412844036715,-0.09559201941961103,1.4005831966324074,-0.05322208498729651
2018-04-25,10.04,10.15,10.02,10.07,10.07,3500,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-3.692503238501965,,,0.457857142857143,-0.3057722308892367,-0.10447392977161904,-0.43332588335050526,-0.046599916296904624
2018-04-26,10.07,10.15,10.02,10.02,10.02,7000,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-4.618324940030682,,,0.43642857142857167,-0.1145662847790523,-0.13777139107840705,-0.8986718258048455,-0.20892144257969045
2018-04-27,10.11,10.11,10.04,10.1,10.1,2200,TAYD,Taylor Devices Inc,"건설장비 및 대형차, 기차, 배",-3.5419065327700228,,,0.3971428571428573,0.20143884892086342,-0.16153551231154126,0.11124063291322094,-0.22814324423447893
