Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2022-01-18,40.990002,43.0,13.0,32.0,32.0,2854000,TKLF,Yoshitsu Co Ltd ADR,식품 및 약품소매,,,
2022-01-19,29.75,32.799999,22.014999,32.75,32.75,332300,TKLF,Yoshitsu Co Ltd ADR,식품 및 약품소매,,,
2022-01-20,25.549999,30.799999,25.549999,29.530001,29.530001,296700,TKLF,Yoshitsu Co Ltd ADR,식품 및 약품소매,,,
2022-01-21,28.559999,31.299999,27.629999,29.52,29.52,221900,TKLF,Yoshitsu Co Ltd ADR,식품 및 약품소매,,,
2022-01-24,28.049999,30.389999,4.5,4.69,4.69,9897800,TKLF,Yoshitsu Co Ltd ADR,식품 및 약품소매,,,
2022-01-25,5.137,6.5,3.85,3.92,3.92,20516900,TKLF,Yoshitsu Co Ltd ADR,식품 및 약품소매,,,
2022-01-26,3.93,3.96,3.11,3.26,3.26,6962300,TKLF,Yoshitsu Co Ltd ADR,식품 및 약품소매,,,
2022-01-27,3.1,3.19,2.53,2.55,2.55,4493900,TKLF,Yoshitsu Co Ltd ADR,식품 및 약품소매,,,
2022-01-28,2.5,3.72,2.5,3.4,3.4,28218900,TKLF,Yoshitsu Co Ltd ADR,식품 및 약품소매,,,
2022-01-31,3.75,4.56,3.45,4.2,4.2,42435100,TKLF,Yoshitsu Co Ltd ADR,식품 및 약품소매,,,
2022-02-01,3.94,4.03,3.45,3.57,3.57,6568000,TKLF,Yoshitsu Co Ltd ADR,식품 및 약품소매,,,
2022-02-02,3.5,4.09,3.31,3.55,3.55,7253200,TKLF,Yoshitsu Co Ltd ADR,식품 및 약품소매,,,
2022-02-03,3.43,3.61,3.31,3.42,3.42,1394000,TKLF,Yoshitsu Co Ltd ADR,식품 및 약품소매,,,
2022-02-04,3.35,3.4,3.21,3.27,3.27,1523800,TKLF,Yoshitsu Co Ltd ADR,식품 및 약품소매,,,
2022-02-07,3.27,3.45,3.06,3.14,3.14,1482500,TKLF,Yoshitsu Co Ltd ADR,식품 및 약품소매,,,
2022-02-08,3.09,3.49,3.07,3.32,3.32,1903500,TKLF,Yoshitsu Co Ltd ADR,식품 및 약품소매,,,
