Date,Symbol,Name,Industry,Open,High,Low,Close,Adj Close,Volume,RS,50MA,150MA,200MA,MA150_Slope,MA200_Slope,ATR,TC,ATC,TRS,ATRS,ATRS150,IsOriginData_NaN
2021-04-20,TRKA,Troika Media Group Inc,미디어 및 출판,3.6,4.0,2.85,3.12,3.12,9060400.0,,,,,,,,,,,,,False
2021-04-21,TRKA,Troika Media Group Inc,미디어 및 출판,2.83,2.95,2.62,2.81,2.81,1245300.0,,,,,,,,,,,,,False
2021-04-22,TRKA,Troika Media Group Inc,미디어 및 출판,2.73,2.89,2.62,2.8,2.8,710300.0,,,,,,,,,,,,,False
2021-04-23,TRKA,Troika Media Group Inc,미디어 및 출판,2.8,3.2,2.76,2.95,2.95,1933900.0,,,,,,,,,,,,,False
2021-04-26,TRKA,Troika Media Group Inc,미디어 및 출판,2.85,3.04,2.85,3.04,3.04,481200.0,,,,,,,,,,,,,False
2021-04-27,TRKA,Troika Media Group Inc,미디어 및 출판,3.0,3.014,2.86,3.01,3.01,319500.0,,,,,,,,,,,,,False
2021-04-28,TRKA,Troika Media Group Inc,미디어 및 출판,3.05,3.24,2.87,2.91,2.91,1393500.0,,,,,,,,,,,,,False
2021-04-29,TRKA,Troika Media Group Inc,미디어 및 출판,2.92,2.949,2.76,2.8,2.8,429200.0,,,,,,,,,,,,,False
2021-04-30,TRKA,Troika Media Group Inc,미디어 및 출판,2.75,2.82,2.68,2.75,2.75,282300.0,,,,,,,,,,,,,False
2021-05-03,TRKA,Troika Media Group Inc,미디어 및 출판,2.76,2.78,2.46,2.495,2.495,373600.0,,,,,,,,,,,,,False
2021-05-04,TRKA,Troika Media Group Inc,미디어 및 출판,2.39,2.52,2.26,2.34,2.34,227700.0,,,,,,,,,,,,,False
2021-05-05,TRKA,Troika Media Group Inc,미디어 및 출판,2.31,2.32,2.15,2.18,2.18,294900.0,,,,,,,,,,,,,False
2021-05-06,TRKA,Troika Media Group Inc,미디어 및 출판,2.32,2.42,2.21,2.26,2.26,940000.0,,,,,,,,,,,,,False
2021-05-07,TRKA,Troika Media Group Inc,미디어 및 출판,2.24,2.28,2.11,2.17,2.17,252300.0,,,,,,,,,,,,,False
2021-05-10,TRKA,Troika Media Group Inc,미디어 및 출판,2.19,2.76,2.183,2.5,2.5,1185100.0,,,,,,,0.2892142857142857,1.1410224746851076,,2.2605630774717573,,,False
2021-05-11,TRKA,Troika Media Group Inc,미디어 및 출판,2.27,2.7,2.26,2.52,2.52,419300.0,,,,,,,0.2849285714285715,0.07019303083479574,,0.9462482992933887,,,False
2021-05-12,TRKA,Troika Media Group Inc,미디어 및 출판,2.54,2.66,2.394,2.62,2.62,355500.0,,,,,,,0.28464285714285714,0.351317440401506,,2.36260605238804,,,False
2021-05-13,TRKA,Troika Media Group Inc,미디어 및 출판,2.63,2.86,2.56,2.81,2.81,378200.0,,,,,,,0.27464285714285713,0.6918075422626786,,-0.4085751567887208,,,False
2021-05-14,TRKA,Troika Media Group Inc,미디어 및 출판,2.84,2.94,2.667,2.76,2.76,433500.0,,,,,,,0.2805714285714286,-0.17820773930753658,,-1.430467149050222,,,False
2021-05-17,TRKA,Troika Media Group Inc,미디어 및 출판,2.76,2.98,2.67,2.95,2.95,270900.0,9.803813442440546,,,,,,0.28985714285714287,0.6554953178905878,,0.8667231663117019,,,False
2021-05-18,TRKA,Troika Media Group Inc,미디어 및 출판,2.86,2.98,2.67,2.76,2.76,257600.0,4.3085720908143665,,,,,,0.28557142857142853,-0.665332666333168,,0.021000586763814,,,False
2021-05-19,TRKA,Troika Media Group Inc,미디어 및 출판,2.7,2.8,2.64,2.79,2.79,91500.0,5.715816938139517,,,,,,0.2835,0.1058201058201067,,0.3332941078126681,,,False
2021-05-20,TRKA,Troika Media Group Inc,미디어 및 출판,2.73,2.97,2.72,2.91,2.91,274300.0,8.919855116121344,,,,,,0.2913571428571428,0.41186565334640884,,-0.3797286960878062,,,False
2021-05-21,TRKA,Troika Media Group Inc,미디어 및 출판,2.93,2.96,2.83,2.92,2.92,79000.0,9.406209944093803,,,,,,0.27778571428571425,0.03599897145795758,,0.09473842924649985,,,False
2021-05-24,TRKA,Troika Media Group Inc,미디어 및 출판,2.96,3.15,2.85,2.96,2.96,523700.0,9.993700551701545,,,,,,0.2806428571428571,0.14252990582845523,,-0.6096595600105097,,,False
2021-05-25,TRKA,Troika Media Group Inc,미디어 및 출판,2.96,2.97,2.71,2.81,2.81,180200.0,5.03521414553374,,,,,,0.28564285714285714,-0.5251312828207049,,-0.36311090424655584,,,False
2021-05-26,TRKA,Troika Media Group Inc,미디어 및 출판,2.76,2.84,2.71,2.8,2.8,160500.0,4.697604713292036,,,,,,0.27778571428571425,-0.03599897145795918,,-0.1859463158422275,,,False
2021-05-27,TRKA,Troika Media Group Inc,미디어 및 출판,2.75,2.84,2.71,2.73,2.73,143100.0,2.08136578524456,,,,,,0.2749285714285714,-0.2546115874253047,0.13905487108449505,-0.35037170194616707,0.22552244537969007,,False
2021-05-28,TRKA,Troika Media Group Inc,미디어 및 출판,2.72,2.76,2.52,2.61,2.61,170100.0,-2.1973415572183685,,,,,,0.24992857142857142,-0.48013718205201533,0.023257752746129123,-0.5462401683122344,0.02503649925226209,,False
2021-06-01,TRKA,Troika Media Group Inc,미디어 및 출판,2.55,2.6,2.46,2.6,2.6,247400.0,-2.7053948717481124,,,,,,0.22921428571428565,-0.043627298223744795,0.01512772924194766,0.0013891667909862876,-0.042453438783623794,,False
2021-06-02,TRKA,Troika Media Group Inc,미디어 및 출판,2.56,2.62,2.44,2.49,2.49,421300.0,-7.174129700423748,,,,,,0.22307142857142853,-0.4931155939801468,-0.04518891607102754,-0.6430850296428146,-0.25714565892868485,,False
2021-06-03,TRKA,Troika Media Group Inc,미디어 및 출판,2.54,2.54,2.39,2.42,2.42,165800.0,-9.837658221373612,,,,,,0.21235714285714283,-0.32963336696939255,-0.11814898101617548,0.0668143435694517,-0.22318926604595823,,False
2021-06-04,TRKA,Troika Media Group Inc,미디어 및 출판,2.38,2.48,2.28,2.3,2.3,254700.0,-15.097766838663185,,,,,,0.2071428571428571,-0.5793103448275868,-0.14679916712475047,-1.5976737611297294,-0.23513259548020876,,False
2021-06-07,TRKA,Troika Media Group Inc,미디어 및 출판,2.32,2.4,2.31,2.39,2.39,61700.0,-12.067558785928355,,,,,,0.19214285714285712,0.4684014869888492,-0.1601630121891604,0.5637700917077153,-0.25677210080906493,,False
2021-06-08,TRKA,Troika Media Group Inc,미디어 및 출판,2.39,2.55,2.37,2.52,2.52,96600.0,-7.295430765803978,,,,,,0.1828571428571428,0.7109374999999997,-0.06185800030821985,0.6893570636547353,-0.20903235245971344,,False
2021-06-09,TRKA,Troika Media Group Inc,미디어 및 출판,2.41,2.83,2.41,2.76,2.76,569800.0,1.3473342870637062,,,,,,0.20142857142857137,1.191489361702127,0.015689803683353026,1.4414480924825384,-0.12987849641186555,,False
2021-06-10,TRKA,Troika Media Group Inc,미디어 및 출판,2.73,2.73,2.5,2.5,2.5,231200.0,-8.233251777890626,,,,,,0.2021428571428571,-1.286219081272084,-0.10560196307511074,-1.964967565332595,-0.24310984421506474,,False
2021-06-11,TRKA,Troika Media Group Inc,미디어 및 출판,2.51,2.69,2.5,2.61,2.61,126000.0,-3.8672741605117245,,,,,,0.20642857142857138,0.5328719723183386,-0.0701110344422264,0.23175806184102937,-0.2333227276011698,,False
