Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2018-03-12,26.700001,26.75,26.35,26.65,26.433102,103200,TRS,TriMas Corp,용기 및 포장,,,,,,,,,
2018-03-13,26.700001,26.75,26.200001,26.200001,25.986765,96300,TRS,TriMas Corp,용기 및 포장,,,,,,,,,
2018-03-14,26.299999,26.299999,25.879999,25.950001,25.7388,93200,TRS,TriMas Corp,용기 및 포장,,,,,,,,,
2018-03-15,26.049999,26.4,25.85,26.0,25.788391,266300,TRS,TriMas Corp,용기 및 포장,,,,,,,,,
2018-03-16,25.950001,26.5,25.799999,26.1,25.887581,296800,TRS,TriMas Corp,용기 및 포장,,,,,,,,,
2018-03-19,26.1,26.1,25.700001,25.85,25.639614,125800,TRS,TriMas Corp,용기 및 포장,,,,,,,,,
2018-03-20,25.9,26.35,25.9,26.200001,25.986765,132400,TRS,TriMas Corp,용기 및 포장,,,,,,,,,
2018-03-21,26.25,26.4,25.950001,26.25,26.036358,149600,TRS,TriMas Corp,용기 및 포장,,,,,,,,,
2018-03-22,26.1,26.200001,25.299999,25.299999,25.094088,138400,TRS,TriMas Corp,용기 및 포장,,,,,,,,,
2018-03-23,25.35,25.35,24.700001,24.700001,24.498974,182100,TRS,TriMas Corp,용기 및 포장,,,,,,,,,
2018-03-26,25.0,25.549999,24.700001,25.450001,25.24287,167800,TRS,TriMas Corp,용기 및 포장,,,,,,,,,
2018-03-27,25.5,25.75,25.15,25.25,25.044495,176400,TRS,TriMas Corp,용기 및 포장,,,,,,,,,
2018-03-28,25.25,25.799999,25.15,25.75,25.540428,120300,TRS,TriMas Corp,용기 및 포장,,,,,,,,,
2018-03-29,25.799999,26.549999,25.73,26.25,26.036358,151100,TRS,TriMas Corp,용기 및 포장,,,,,,,,,
2018-04-02,26.200001,26.25,24.950001,25.25,25.044495,199500,TRS,TriMas Corp,용기 및 포장,,,,0.6707137857142855,-1.4909489282899364,,-0.28983272510101865,,
2018-04-03,25.75,27.35,25.75,27.299999,27.077812,291000,TRS,TriMas Corp,용기 및 포장,,,,0.7814281428571428,2.623400524716924,,1.9606469187957154,,
2018-04-04,26.950001,27.950001,26.950001,27.799999,27.57374,133100,TRS,TriMas Corp,용기 및 포장,,,,0.8228567142857143,0.6076392053676417,,0.028906786715074073,,
2018-04-05,28.0,28.6,27.48,28.299999,28.069674,206400,TRS,TriMas Corp,용기 및 포장,,,,0.8635710000000003,0.5789911889120869,,0.23438042985721985,,
2018-04-06,28.15,28.549999,27.700001,27.85,27.623337,197200,TRS,TriMas Corp,용기 및 포장,,,,0.8742850714285717,-0.5147051170217343,,0.507526251616442,,
2018-04-09,28.049999,28.049999,27.4,27.4,27.177,118400,TRS,TriMas Corp,용기 및 포장,6.449392743616933,,,0.8921422142857145,-0.504403886279825,,-0.658194576384308,,
2018-04-10,27.75,28.0,27.6,27.700001,27.474558,126500,TRS,TriMas Corp,용기 및 포장,5.3897913433082145,,,0.8992850714285717,0.3335994441934091,,-0.40440139310569984,,
2018-04-11,27.6,27.700001,27.18,27.299999,27.077812,156200,TRS,TriMas Corp,용기 및 포장,3.994127175824169,,,0.9042852142857148,-0.4423405289402613,,-0.19231928918987146,,
2018-04-12,27.549999,27.549999,27.299999,27.35,27.127405,118500,TRS,TriMas Corp,용기 및 포장,2.9030350657001103,,,0.8542851428571433,0.05852963781246877,,-0.3306526049628359,,
2018-04-13,27.549999,27.6,26.950001,27.1,26.87944,108500,TRS,TriMas Corp,용기 및 포장,1.8805746909571486,,,0.8542851428571433,-0.29264233621560937,,-0.14864368122633084,,
2018-04-16,27.25,27.5,27.15,27.450001,27.226591,285100,TRS,TriMas Corp,용기 및 포장,1.9758409523555232,,,0.822142428571429,0.42571820628229534,,-0.0021911413518150846,,
2018-04-17,27.65,27.75,27.0,27.5,27.276184,190000,TRS,TriMas Corp,용기 및 포장,0.7667791426843928,,,0.8328567142857146,0.06003313552305389,,-0.5441315468488842,,
2018-04-18,27.5,27.75,27.4,27.5,27.276184,176700,TRS,TriMas Corp,용기 및 포장,0.42936003459033145,,,0.8114282142857147,0.0,,-0.04954073910492361,,
2018-04-19,27.35,27.9,27.35,27.700001,27.474558,97900,TRS,TriMas Corp,용기 및 포장,1.4383246020627238,,,0.7921425714285716,0.2524810649165251,0.12109654364121702,0.6093199812960028,0.051490905071769046,
2018-04-20,27.65,27.9,27.58,27.65,27.424963,150600,TRS,TriMas Corp,용기 및 포장,1.733071439540823,,,0.7221426428571431,-0.06923978315720807,0.22264719686498333,0.5109283005828479,0.10868812119204521,
2018-04-23,27.65,27.799999,26.9,27.1,26.87944,155100,TRS,TriMas Corp,용기 및 포장,-0.5918865906595516,,,0.6364282857142859,-0.8641979188318332,-0.0264669776742136,-0.8681197141608084,-0.09336663830484933,
2018-04-24,27.200001,27.65,26.9,27.25,27.028217,185800,TRS,TriMas Corp,용기 및 포장,0.9331531784551705,,,0.6185711428571431,0.24249433833456496,-0.052548753890861936,1.193536250563301,-0.01017881945854742,
2018-04-25,27.200001,27.65,26.85,27.4,27.177,134100,TRS,TriMas Corp,용기 및 포장,0.9497272999620554,,,0.595714,0.25179868191783067,-0.07591964724759452,0.12424502945656216,-0.018045633772880116,
2018-04-26,27.25,28.83,26.200001,28.35,28.119267,184600,TRS,TriMas Corp,용기 및 포장,2.9979596126304298,,,0.7228569285714285,1.3142296386056282,0.05471854958293137,0.530124097579835,-0.016431501918352045,
2018-04-27,28.549999,28.549999,27.25,27.299999,27.077812,142600,TRS,TriMas Corp,용기 및 포장,-1.0637916263839808,,,0.7692854999999997,-1.3649041870670928,-0.00674575761615919,-1.4551024030747353,-0.07335348953909684,
2018-04-30,27.450001,27.700001,27.049999,27.1,26.87944,177200,TRS,TriMas Corp,용기 및 포장,-1.1949889966980654,,,0.7728570714285711,-0.2587787669850965,-0.04905848698605245,0.43124174876293164,-0.013664693691337462,
2018-05-01,27.0,27.25,26.549999,27.1,26.87944,95300,TRS,TriMas Corp,용기 및 포장,-1.334735808082177,,,0.785714214285714,0.0,-0.017462734918890922,-0.2094412846551276,-0.014887693367427181,
2018-05-02,27.049999,27.25,26.85,26.9,26.681068,79600,TRS,TriMas Corp,용기 및 포장,-1.2061909423734196,,,0.7964284999999995,-0.25112109875525923,-0.039580644673728634,0.34690818165092185,0.03350950567641266,
2018-05-03,26.799999,26.9,26.299999,26.700001,26.482695,90900,TRS,TriMas Corp,용기 및 포장,-1.492939764586576,,,0.7928572142857137,-0.25225096826567656,-0.036695546963019146,-0.0695439126162557,0.039159489148560885,
2018-05-04,26.6,27.25,26.549999,27.1,26.87944,58800,TRS,TriMas Corp,용기 및 포장,-1.033060658936169,,,0.8142858571428567,0.49122675592513215,-0.03201636484567366,-0.4902304279211071,0.00429954010789717,
2018-05-07,27.15,27.549999,27.15,27.4,27.177,60600,TRS,TriMas Corp,용기 및 포장,-0.1690276864194873,,,0.7928572142857137,0.378378344290236,-0.00927742136230352,0.10108948869631684,0.050386756932554386,
2018-05-08,27.549999,28.25,27.15,28.200001,27.970488,135800,TRS,TriMas Corp,용기 및 포장,2.7088369765878806,,,0.8464286428571423,0.9451487810001056,0.05823320585198973,0.966194438311897,0.12293926960518443,
2018-05-09,28.049999,28.450001,27.950001,28.4,28.168859,109600,TRS,TriMas Corp,용기 및 포장,2.3483563500190208,,,0.8428572142857139,0.23728692904347862,0.05714791043248641,-0.5253763383394265,0.041889532488368054,
2018-05-10,28.549999,28.65,28.4,28.5,28.268045,92100,TRS,TriMas Corp,용기 및 포장,1.656602986902156,,,0.8378572142857139,0.11935207848661057,0.07061875769275917,-0.6338609902337768,-0.03988113114139086,
2018-05-11,28.5,28.700001,28.280001,28.4,28.168859,73600,TRS,TriMas Corp,용기 및 포장,1.0244606922565458,,,0.803571571428571,-0.12444442232099341,0.12345829315781917,-0.26583383765511626,0.0031392886090157207,
2018-05-14,28.5,28.950001,27.700001,27.700001,27.474558,74400,TRS,TriMas Corp,용기 및 포장,-1.5024909922017327,,,0.8392858571428568,-0.8340412197376631,0.04656289615266001,-0.9161664376308962,-0.14755376054771263,
2018-05-15,27.700001,27.9,27.299999,27.75,27.524149,116700,TRS,TriMas Corp,용기 및 포장,-0.6802080146367739,,,0.825000214285714,0.06060483274333312,0.03290619264019589,0.7040891826743017,-0.10613632103215984,
2018-05-16,27.799999,28.450001,27.75,28.200001,27.970488,86000,TRS,TriMas Corp,용기 및 포장,0.42203510741769534,,,0.6871432142857142,0.6548867698093717,-0.014189726559536717,0.25518810923793744,-0.12577460591372394,
2018-05-17,28.15,28.75,28.15,28.75,28.516012,86200,TRS,TriMas Corp,용기 및 포장,2.327486854996108,,,0.6371432857142858,0.8632265493991814,0.14496246890234002,0.9473230648578631,0.045827213224318805,
2018-05-18,28.85,28.950001,28.280001,28.65,28.416826,116700,TRS,TriMas Corp,용기 및 포장,2.1392648137783965,,,0.6385717142857145,-0.15659948250582656,0.1522609892222879,0.11876623170801143,0.023507533434681645,
2018-05-21,28.799999,29.15,28.799999,29.049999,28.813568,82000,TRS,TriMas Corp,용기 및 포장,2.5675061832108437,,,0.6242859285714287,0.640730443685204,0.19802744948551673,-0.13778183672691513,0.028626065429553964,27.1270001
2018-05-22,29.15,29.4,28.950001,28.950001,28.714386,130400,TRS,TriMas Corp,용기 및 포장,2.3962782109683944,,,0.6278572857142858,-0.1592686782096285,0.2045883366673475,0.18200292869856563,0.01684711879009995,27.173000119999998
2018-05-23,28.9,29.030001,28.65,28.75,28.516012,79700,TRS,TriMas Corp,용기 및 포장,1.292601837834506,,,0.6121430000000002,-0.3267226775442997,0.19926892886173156,-0.6989770856959796,-0.028112393572737475,27.224000099999998
2018-05-24,28.75,29.049999,28.65,28.950001,28.714386,65500,TRS,TriMas Corp,용기 및 포장,2.212424512830524,,,0.590714285714286,0.33857484885127004,0.18836522121359858,0.5939690035734442,0.04933042296258762,27.284000100000004
