Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS
2019-05-07,9.5,9.6,7.18,7.89,7.89,1366900,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,
2019-05-08,8.29,8.6,7.85,8.23,8.23,251900,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,
2019-05-09,8.46,8.66,7.9,8.1,8.1,263500,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,
2019-05-10,7.96,8.32,7.79,8.27,8.27,70100,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,
2019-05-13,7.95,8.0,7.56,7.98,7.98,53600,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,
2019-05-14,7.7,8.9,7.7,8.9,8.9,108900,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,
2019-05-15,9.1,9.1,8.155,8.68,8.68,76500,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,
2019-05-16,8.78,8.985,8.18,8.6,8.6,40600,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,
2019-05-17,8.41,8.977,8.22,8.78,8.78,34700,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,
2019-05-20,8.94,9.0,8.5,9.0,9.0,141600,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,
2019-05-21,9.25,9.25,8.52,9.03,9.03,154600,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,
2019-05-22,8.93,9.14,8.362,8.9,8.9,149800,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,
2019-05-23,8.52,9.18,8.37,8.66,8.66,59000,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,
2019-05-24,9.19,9.235,8.63,9.02,9.02,29400,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,,,,,
2019-05-28,9.23,9.24,8.507,8.83,8.83,64300,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,0.7580714285714285,-0.25063601243757594,,0.3492273366883525,
2019-05-29,8.89,9.0,8.4,8.97,8.97,76100,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,0.7473571428571429,0.18732677052470684,,0.6680713779275596,
2019-05-30,8.87,9.75,8.795,9.11,9.11,122200,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,0.7612857142857143,0.18389941827734874,,0.033414840307544325,
2019-05-31,9.25,10.0,8.85,9.99,9.99,215100,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,0.8055714285714285,1.0923922681326488,,2.0913474945660226,
2019-06-03,10.01,10.62,9.75,10.12,10.12,228600,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,,,,0.817,0.1591187270501824,,0.38578854773136395,
2019-06-04,10.24,10.34,9.28,9.94,9.94,143400,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,13.340704670121717,,,0.8070000000000002,-0.22304832713754608,,-1.9056832674287447,
2019-06-05,9.9,10.417,9.25,9.66,9.66,61000,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,8.077659268629645,,,0.8228571428571428,-0.340277777777777,,-1.0186885023206147,
2019-06-06,9.57,9.94,9.4,9.41,9.41,29600,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,3.8976277221299593,,,0.8039285714285713,-0.31097290093291874,,-0.8380042278624972,
2019-06-07,9.53,9.85,9.28,9.29,9.29,59900,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,0.8554793827486362,,,0.7905714285714284,-0.15178894109143606,,-1.0393354721159493,
2019-06-10,9.25,9.375,7.55,7.8,7.8,106100,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-15.491673924586358,,,0.8852142857142856,-1.6832082627289593,,-2.078656899524605,
2019-06-11,7.82,8.625,7.581,8.14,8.14,43700,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-11.753398529656945,,,0.9076428571428572,0.3745966789958299,,0.4042113555267764,
2019-06-12,8.06,8.5,7.79,7.95,7.95,65600,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-13.121626697387146,,,0.9027857142857141,-0.21045968826647726,,-0.03788468243126114,
2019-06-13,7.92,7.92,7.66,7.83,7.83,16300,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-14.328153017004785,,,0.8656428571428568,-0.13862529911708904,,-0.5126960733902713,
2019-06-14,7.9,7.9,7.51,7.55,7.55,23900,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-16.76499671030478,,,0.8502857142857143,-0.32930107526881747,-0.11721317298413429,-0.1794233464427216,-0.26273653705493183
2019-06-17,7.49,7.862,5.69,7.66,7.66,50400,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-15.06374023579199,,,0.9530714285714286,0.1154163231657052,-0.09106657758389992,0.02280572065498887,-0.2860523667716007
2019-06-18,7.89,8.43,7.701,8.43,8.43,43700,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-7.008883793706177,,,0.9652142857142856,0.7977503145119511,-0.04746489587052533,-0.15774804886987648,-0.3450394686857032
2019-06-19,8.54,10.02,7.64,9.5,9.5,64300,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,4.325040062931729,,,1.067,1.0028116213683227,0.011028832921687088,0.7050209724190033,-0.29706760210631333
2019-06-20,9.43,10.0,9.0,9.0,9.0,66600,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-1.9838063946174822,,,1.056285714285714,-0.4733567757641332,-0.10081038449951163,-1.43695396849528,-0.5490891351821207
2019-06-21,9.08,9.5,8.347,8.57,8.57,167700,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-6.302156019529326,,,1.0765,-0.39944263817928444,-0.14070762487304497,-0.2644375580550894,-0.5955338570240102
2019-06-24,8.305,8.87,8.06,8.23,8.23,18300,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-9.281746764096999,,,1.058642857142857,-0.3211659132312259,-0.14771602387973637,-0.10862821663689878,-0.4671727819674497
2019-06-25,8.31,8.44,7.9,7.9,7.9,20500,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-11.447649245723568,,,1.0138571428571428,-0.3254896435113429,-0.1466597285749911,0.8237238927418692,-0.33557189660584374
2019-06-26,8.69,8.69,7.81,7.93,7.93,32800,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-10.26564857564608,,,1.038142857142857,0.02889775698362399,-0.12238325300952375,0.18130020289775073,-0.26276443726582605
2019-06-27,7.46,8.42,7.45,7.9,7.9,11000,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-10.10733904448754,,,1.0667142857142855,-0.028123744475692457,-0.11355002467982778,-0.5399161893418261,-0.22709163135338867
2019-06-28,7.88,8.41,7.5,7.5,7.5,49300,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-13.59373855328988,,,1.0013571428571428,-0.399457878593338,-0.02185356867014054,-1.2058648621562458,-0.16474934296993443
2019-07-01,7.66,8.05,7.04,7.25,7.25,78400,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-15.32828683152594,,,0.9989285714285713,-0.25026814444047196,-0.0664867703441621,-1.316151106924078,-0.2876323760021383
2019-07-02,7.3,7.51,7.14,7.49,7.49,7800,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-11.202899334382433,,,0.9746428571428571,0.24624404543788955,-0.033865075079564474,-0.1590222782869173,-0.2962850614203995
2019-07-03,7.644,7.7,7.19,7.19,7.19,2000,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-13.863114743374783,,,0.9903571428571427,-0.30292102416155775,-0.04560048401131223,-1.3421711570126917,-0.35553328167914383
2019-07-05,7.743,7.85,7.5,7.79,7.79,3000,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-5.309414367193243,,,1.009642857142857,0.5942695436858858,0.020368845914023714,0.8307419592762109,-0.28337861698493433
2019-07-08,7.834,7.834,7.5,7.5,7.5,17200,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-7.188861754469167,,,0.8783571428571426,-0.3301618280881517,-0.011458164889823208,0.2826780799169563,-0.2648163056090795
2019-07-09,7.535,7.535,7.3,7.3,7.3,1900,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-9.35469827209876,,,0.840142857142857,-0.23805475259309666,-0.08544424111161233,-0.4055038416446068,-0.28251314795013166
2019-07-10,7.844,7.844,7.2,7.47,7.47,2900,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-7.1017302735477905,,,0.7161428571428571,0.23738280470775974,-0.14011772801593828,-0.3682063756326417,-0.35917224423953487
2019-07-11,7.4,7.84,7.21,7.21,7.21,9200,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-9.940929301393863,,,0.6897142857142856,-0.376967688483844,-0.13323279321020332,-0.7041883407085986,-0.30683184225477195
2019-07-12,7.318,7.85,7.318,7.4,7.4,4700,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-7.555579431882631,,,0.6530714285714284,0.29093295417259174,-0.08392025089935502,-0.3796321846270137,-0.3150600298670522
2019-07-15,7.6,7.6,7.17,7.21,7.21,2500,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-9.564912242018242,,,0.6259285714285713,-0.3035490128951279,-0.08266190087534801,-0.32935640336008803,-0.3308263289187086
2019-07-16,7.08,7.42,6.86,7.1,7.1,4800,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-10.152440768824455,,,0.6273571428571427,-0.17533872253216495,-0.07193683509112102,0.3549131823158389,-0.3643128082348536
2019-07-17,6.87,7.21,6.87,7.1,7.1,6700,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-8.67616087643035,,,0.5887857142857141,0.0,-0.0740009605899513,1.008745293596671,-0.3052095874706451
2019-07-18,7.04,7.18,6.4,6.4,6.4,9100,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-16.189079714825994,,,0.5752142857142856,-1.2169377871600637,-0.15891624935312068,-1.747712255880272,-0.391480735080534
2019-07-19,6.39,7.51,6.39,6.5,6.5,14700,TRVI,Trevi Therapeutics Inc,생명과학 및 메디컬 리서치,-12.876255238296963,,,0.5902142857142856,0.16942998910807155,-0.11828140166016286,1.053177694110822,-0.23012055249002916
