Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,93.529999,94.599998,89.620003,91.709999,88.545517,788100,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-05,92.75,93.690002,89.489998,93.400002,90.177208,820800,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-08,94.25,96.949997,93.879997,95.239998,91.95372,858900,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-09,96.309998,96.589996,92.230003,92.230003,89.047569,521600,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-10,92.760002,95.989998,92.349998,95.150002,91.866829,564200,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-11,94.339996,96.459999,93.639999,95.75,92.446121,990300,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-12,96.230003,97.910004,95.790001,97.760002,94.386765,643000,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-15,98.0,99.639999,97.199997,98.260002,94.869514,692500,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-16,98.139999,98.139999,94.629997,94.769997,91.499947,753200,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-17,94.599998,97.75,94.050003,97.209999,93.855751,852300,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-18,96.989998,99.010002,96.029999,96.169998,92.851631,817800,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-19,94.760002,97.580002,94.010002,95.709999,92.407494,1515200,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-22,97.169998,97.169998,93.239998,93.830002,90.592384,646300,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-23,92.919998,94.099998,91.599998,92.050003,88.873795,685500,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-24,93.709999,94.389999,90.919998,90.919998,87.782776,476200,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-25,90.839996,97.269997,89.589996,96.470001,93.141289,910800,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-26,96.779999,97.82,95.57,97.769997,94.396416,524200,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-29,97.220001,98.32,94.629997,95.07,91.789589,487800,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-30,94.709999,96.43,94.709999,96.43,93.102654,442000,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,,,
2021-03-31,96.209999,97.75,95.839996,95.940002,92.62957,584200,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-0.5156175584689171,,
2021-04-01,96.279999,96.769997,95.300003,96.279999,92.957832,633700,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-1.25151996905144,,
2021-04-05,97.5,97.5,95.550003,96.900002,93.55645,531600,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-1.9192383850849537,,
2021-04-06,97.800003,100.769997,97.550003,98.730003,95.323311,767000,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,0.17280384553857164,,
2021-04-07,98.190002,99.790001,97.43,98.550003,95.149513,669100,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-0.23054899403517348,,
2021-04-08,99.739998,99.75,97.809998,98.870003,95.458466,686600,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-0.2709219631479187,,
2021-04-09,98.620003,99.559998,97.330002,99.459999,96.028107,401800,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-0.39974714318448124,,
2021-04-12,100.449997,100.449997,97.199997,97.559998,94.193665,801400,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-2.0489010036934263,,
2021-04-13,97.959999,98.550003,95.830002,95.889999,92.581299,900700,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-3.7216473111773674,,
2021-04-14,95.93,98.440002,95.93,96.589996,93.257133,812800,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-2.5198690407152724,,
2021-04-15,97.32,97.32,95.32,96.879997,93.537132,541900,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-3.0517138065740856,,
2021-04-16,97.279999,99.18,97.279999,98.93,95.516396,675700,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-1.1654689710446031,,
2021-04-19,99.129997,99.449997,97.5,97.830002,94.454353,463500,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-1.5452981884131245,,
2021-04-20,97.529999,98.029999,94.660004,97.150002,93.797821,643600,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-1.4947575359391285,,
2021-04-21,97.050003,98.980003,96.269997,98.690002,95.284691,533900,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-0.8783985742101819,,
2021-04-22,98.660004,101.389999,98.279999,100.889999,97.40876,548600,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,2.0547920187881985,,
2021-04-23,101.900002,101.900002,98.470001,100.360001,96.897064,693600,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,0.5614938880895037,,
2021-04-26,101.139999,101.739998,99.410004,99.839996,96.394997,685700,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,0.02111074643318389,,
2021-04-27,98.959999,101.080002,98.529999,100.360001,96.897064,791300,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,0.5572360849120273,,
2021-04-28,99.940002,101.099998,99.0,100.779999,97.302551,706900,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,1.120399597082744,,
2021-04-29,102.110001,104.940002,101.620003,103.709999,100.131454,855100,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,3.257930514438523,,
2021-04-30,105.5,110.75,104.800003,107.019997,103.327232,1755500,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,6.956871388217345,,
2021-05-03,108.110001,109.410004,106.209999,107.410004,103.703789,819800,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,6.638839594508439,,
2021-05-04,107.209999,109.0,105.589996,106.959999,103.269318,952900,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,6.584752690730844,,
2021-05-05,107.190002,107.190002,103.540001,104.769997,101.154877,739100,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,4.116342392083072,,
2021-05-06,104.959999,105.830002,101.059998,103.32,99.754921,1229000,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,1.7470339188525363,,
2021-05-07,103.419998,105.43,102.559998,104.629997,101.019714,538500,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,2.1496336355183665,,
2021-05-10,104.010002,104.529999,101.459999,101.5,97.997719,802700,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,0.0149368642478942,,
2021-05-11,100.010002,100.93,97.699997,100.040001,96.588081,998100,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-0.7538723668269576,,
2021-05-12,99.480003,99.989998,95.029999,95.290001,92.001999,738200,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-3.401040956014223,,
2021-05-13,95.580002,97.550003,94.900002,96.800003,93.4599,669500,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-3.1118776927592795,,
2021-05-14,97.07,99.099998,97.0,98.550003,95.149513,862700,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-2.8051100076670443,,
2021-05-17,101.25,101.669998,97.540001,99.669998,96.230858,815700,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-1.5407106186518749,,
2021-05-18,99.800003,99.800003,97.57,98.099998,95.09668,899300,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-2.3135123057302254,,
2021-05-19,96.839996,98.43,95.25,98.400002,95.387505,617100,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-1.778256485871843,,
2021-05-20,97.970001,98.970001,96.75,97.059998,94.088524,1077200,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-3.9180447023242637,,
2021-05-21,97.470001,99.010002,96.25,96.620003,93.66198,890400,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-4.128677338132691,,
2021-05-24,97.879997,99.599998,96.959999,99.059998,96.02729,868600,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-2.624166106044612,,
2021-05-25,99.199997,99.970001,97.040001,97.239998,94.263008,502800,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-4.060610573361001,,
2021-05-26,97.800003,100.129997,97.449997,99.860001,96.802795,524500,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-1.6006892909871229,,
2021-05-27,100.580002,100.580002,98.550003,99.059998,96.02729,1150100,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,-2.291556669231587,,
