Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope,ATR,TC,ATC,TRS,ATRS,50MA
2018-03-12,15.2,15.34,15.0,15.24,15.24,3178961,UA,Under Armour Inc Class C,섬유 및 의류,,,,,,,,,
2018-03-13,15.22,15.45,14.56,14.58,14.58,4461972,UA,Under Armour Inc Class C,섬유 및 의류,,,,,,,,,
2018-03-14,14.59,14.72,13.8,14.02,14.02,6167374,UA,Under Armour Inc Class C,섬유 및 의류,,,,,,,,,
2018-03-15,14.06,14.25,13.76,13.83,13.83,2784674,UA,Under Armour Inc Class C,섬유 및 의류,,,,,,,,,
2018-03-16,13.87,14.2593,13.69,14.08,14.08,4076207,UA,Under Armour Inc Class C,섬유 및 의류,,,,,,,,,
2018-03-19,14.02,14.24,13.81,14.07,14.07,2932363,UA,Under Armour Inc Class C,섬유 및 의류,,,,,,,,,
2018-03-20,14.12,14.25,13.915,14.01,14.01,2990119,UA,Under Armour Inc Class C,섬유 및 의류,,,,,,,,,
2018-03-21,13.93,14.23,13.93,14.07,14.07,2244620,UA,Under Armour Inc Class C,섬유 및 의류,,,,,,,,,
2018-03-22,13.94,14.12,13.7,13.71,13.71,2056471,UA,Under Armour Inc Class C,섬유 및 의류,,,,,,,,,
2018-03-23,13.8,14.04,13.62,13.72,13.72,2514459,UA,Under Armour Inc Class C,섬유 및 의류,,,,,,,,,
2018-03-26,14.0,14.52,13.66,14.46,14.46,3817806,UA,Under Armour Inc Class C,섬유 및 의류,,,,,,,,,
2018-03-27,14.46,14.675,14.235,14.32,14.32,4122365,UA,Under Armour Inc Class C,섬유 및 의류,,,,,,,,,
2018-03-28,14.37,14.6,14.13,14.19,14.19,2413800,UA,Under Armour Inc Class C,섬유 및 의류,,,,,,,,,
2018-03-29,14.31,14.6,14.245,14.35,14.35,2458724,UA,Under Armour Inc Class C,섬유 및 의류,,,,,,,,,
2018-04-02,13.99,14.16,13.84,13.99,13.99,3548753,UA,Under Armour Inc Class C,섬유 및 의류,,,,0.5331642857142856,-0.6752140187291498,,0.525902184459768,,
2018-04-03,14.08,14.77,14.01,14.73,14.73,3206588,UA,Under Armour Inc Class C,섬유 및 의류,,,,0.5253071428571429,1.4086996723005591,,0.7459460663793507,,
2018-04-04,14.59,15.8352,14.57,15.64,15.64,6667750,UA,Under Armour Inc Class C,섬유 및 의류,,,,0.5499642857142858,1.6546528995389311,,1.0759204808863636,,
2018-04-05,15.55,15.86,15.05,15.19,15.19,3424641,UA,Under Armour Inc Class C,섬유 및 의류,,,,0.5728214285714285,-0.7855851362304402,,-1.1301958952853073,,
2018-04-06,15.1,15.22,14.59,14.75,14.75,2217519,UA,Under Armour Inc Class C,섬유 및 의류,,,,0.5771571428571428,-0.7623573673918954,,0.2598740012462809,,
2018-04-09,14.83,14.83,14.38,14.4,14.4,2432646,UA,Under Armour Inc Class C,섬유 및 의류,2.3683550600893444,,,0.5785857142857143,-0.6049233352262902,,-0.7587140253307731,,
2018-04-10,14.6,14.62,14.36,14.58,14.58,1850269,UA,Under Armour Inc Class C,섬유 및 의류,1.9317900849424419,,,0.5732285714285713,0.3140108657728152,,-0.42398997152629375,,
2018-04-11,14.36,14.82,14.36,14.71,14.71,2044848,UA,Under Armour Inc Class C,섬유 및 의류,3.129593105519146,,,0.5846571428571428,0.22235253872843808,,0.47237377847882794,,
2018-04-12,14.73,15.06,14.62,14.99,14.99,1639663,UA,Under Armour Inc Class C,섬유 및 의류,3.725618780562434,,,0.5860857142857142,0.47774581972407637,,0.0885635769487717,,
2018-04-13,15.09,15.16,14.25,14.34,14.34,3016977,UA,Under Armour Inc Class C,섬유 및 의류,-0.8181103730620642,,,0.6210857142857142,-1.0465544208298838,,-0.9025557658406053,,
2018-04-16,14.41,14.48,14.27,14.35,14.35,1528343,UA,Under Armour Inc Class C,섬유 및 의류,-1.7661632282106376,,,0.574657142857143,0.01740168050514555,,-0.41050766712896486,,
2018-04-17,14.44,14.45,14.19,14.2,14.2,2680452,UA,Under Armour Inc Class C,섬유 및 의류,-3.871785552210405,,,0.5618,-0.2669989320042726,,-0.8711636143762107,,
2018-04-18,14.23,14.37,13.98,14.02,14.02,2469366,UA,Under Armour Inc Class C,섬유 및 의류,-5.1860819848880695,,,0.5560857142857143,-0.32369110620151004,,-0.37323184530643366,,
2018-04-19,14.02,14.14,13.9,14.01,14.01,1566977,UA,Under Armour Inc Class C,섬유 및 의류,-4.72021963427437,,,0.5439428571428572,-0.01838428406345165,-0.027774651721923442,0.338454632316026,-0.09738029029137141,
2018-04-20,13.99,14.18,13.915,13.99,13.99,1612603,UA,Under Armour Inc Class C,섬유 및 의류,-4.084032119131942,,,0.5264428571428572,-0.037990827928684974,0.01774129047810976,0.5421772558113709,-0.09621778519482835,
2018-04-23,14.18,14.75,14.18,14.61,14.61,3520344,UA,Under Armour Inc Class C,섬유 및 의류,0.00504668506706718,,,0.5250142857142858,1.1809202470681053,0.0014713315329344865,1.17699845173913,-0.06542832909770124,
2018-04-24,14.68,15.17,14.6,14.81,14.81,2998860,UA,Under Armour Inc Class C,섬유 및 의류,2.577907327673823,,,0.4753571428571429,0.42073628850488576,-0.08666556925521161,1.3717782007336217,-0.0442956348228971,
2018-04-25,14.85,14.87,14.22,14.32,14.32,2255276,UA,Under Armour Inc Class C,섬유 및 의류,-0.9475741843834151,,,0.4639285714285715,-1.0561970746728255,-0.1059949934296677,-1.1837507271340941,-0.0481209799549533,
2018-04-26,14.34,14.71,14.16,14.69,14.69,1861279,UA,Under Armour Inc Class C,섬유 및 의류,0.5065152177816667,,,0.4582142857142858,0.8074824629773949,0.006136423025281604,0.02337692195160168,-0.06501362847600181,
2018-04-27,14.86,15.85,14.81,15.37,15.37,5480630,UA,Under Armour Inc Class C,섬유 및 의류,4.7334136004487215,,,0.5089285714285715,1.3361403508771923,0.14478382917553034,1.2459421348695499,0.07817609725259268,
2018-04-30,15.37,15.72,15.15,15.35,15.35,4767829,UA,Under Armour Inc Class C,섬유 및 의류,5.099027058460104,,,0.5310714285714287,-0.03765971755211754,0.11966450179517803,0.6523607981959106,0.15505829508989302,
2018-05-01,14.77,16.18,14.39,16.15,16.15,10260794,UA,Under Armour Inc Class C,섬유 및 의류,9.84798469430661,,,0.6260714285714286,1.2778094694808881,0.19505428256321017,1.0683681848257605,0.19762932411467388,
2018-05-02,15.92,16.82,15.89,16.370001,16.370001,6222166,UA,Under Armour Inc Class C,섬유 및 의류,11.852385962985768,,,0.6610714285714285,0.3327945975148567,0.18470062383398017,0.9308238779210378,0.2577907741841215,
2018-05-03,16.290001,16.32,15.46,15.57,15.57,3518697,UA,Under Armour Inc Class C,섬유 및 의류,6.419175589242343,,,0.6610714999999997,-1.2101580540077717,0.17301465003555963,-1.0274509983583509,0.2488696861471396,
2018-05-04,15.55,15.79,15.24,15.73,15.73,2261433,UA,Under Armour Inc Class C,섬유 및 의류,5.921879827504228,,,0.685357214285714,0.23345490010892161,0.1884470228644008,-0.7480022837373177,0.2247629278179716,
2018-05-07,15.86,16.26,15.69,16.25,16.25,2981243,UA,Under Armour Inc Class C,섬유 및 의류,8.492209071767665,,,0.7075000714285712,0.7349822579523209,0.26001710786130033,0.4576934023584017,0.31968128615615815,
2018-05-08,16.200001,16.715,16.17,16.51,16.51,3578229,UA,Under Armour Inc Class C,섬유 및 의류,9.581397581011174,,,0.7185714999999997,0.36182898987783635,0.30898282900982504,0.38287464718962777,0.3736888927630198,
2018-05-09,16.51,16.549999,16.17,16.51,16.51,2289788,UA,Under Armour Inc Class C,섬유 및 의류,8.001497830090587,,,0.7285714285714281,0.0,0.3102959921572145,-0.7626632673829051,0.29503761421309604,
2018-05-10,16.540001,16.719999,16.370001,16.639999,16.639999,1790970,UA,Under Armour Inc Class C,섬유 및 의류,7.382886987939474,,,0.734642714285714,0.17695540631120904,0.32564929460292114,-0.5762576624091784,0.2151494057687711,
2018-05-11,16.700001,16.975,16.5,16.9,16.9,2138461,UA,Under Armour Inc Class C,섬유 및 의류,8.117560253306277,,,0.7142855714285713,0.36400147280029327,0.2672979535837917,0.2226120574661704,0.1469789490349883,
2018-05-14,16.950001,16.959,16.450001,16.66,16.66,1583021,UA,Under Armour Inc Class C,섬유 및 의류,5.801740982733139,,,0.709928357142857,-0.33806228133482474,0.21309805573809815,-0.42018749922805787,0.018981399037725468,
2018-05-15,16.65,17.57,16.575001,17.129999,17.129999,4646357,UA,Under Armour Inc Class C,섬유 및 의류,8.528538370011972,,,0.7345711428571428,0.6398277478909968,0.3342426859212283,1.2833120978219652,0.19520017224887257,
2018-05-16,17.209999,18.52,17.15,18.309999,18.309999,6697363,UA,Under Armour Inc Class C,섬유 및 의류,14.017903618801576,,,0.794571214285714,1.4850777108264235,0.38264234648187323,1.0853790502549892,0.27105746712768597,
2018-05-17,18.25,18.4,17.790001,17.84,17.84,4480178,UA,Under Armour Inc Class C,섬유 및 의류,9.922519946653296,,,0.7552854285714281,-0.6222799781653051,0.2427551801216948,-0.5381834627066234,0.14361992444367358,
2018-05-18,17.860001,18.07,17.58,18.0,18.0,2952551,UA,Under Armour Inc Class C,섬유 및 의류,9.915786304261353,,,0.7495711428571425,0.2134553891577625,0.26069197345811485,0.48882110337160045,0.13193851767050857,
2018-05-21,18.030001,18.08,17.735001,17.969999,17.969999,1497772,UA,Under Armour Inc Class C,섬유 및 의류,7.941002686094478,,,0.6463567857142853,-0.046415541173354696,0.16610447269709747,-0.8249278215854738,-0.003296911358865308,15.16459994
2018-05-22,18.040001,18.16,17.76,17.809999,17.809999,1621047,UA,Under Armour Inc Class C,섬유 및 의류,6.515849146966546,,,0.6084996428571424,-0.2629418141459179,0.12355187186418502,0.07832979276227625,-0.06418934601306256,15.21599992
2018-05-23,17.780001,18.18,17.75,17.889999,17.889999,1725109,UA,Under Armour Inc Class C,섬유 및 의류,5.683756980895716,,,0.5742138571428568,0.13932091502991256,0.21994322679544817,-0.23293349312176737,-0.007438095639020885,15.282199899999998
2018-05-24,17.91,18.5,17.790001,18.389999,18.389999,2887353,UA,Under Armour Inc Class C,섬유 및 의류,7.784247913227338,,,0.5856423571428568,0.8537633828934851,0.26425097556577415,1.1091575376156593,0.12521617731476317,15.369599879999999
2018-05-25,18.459999,18.93,18.34,18.879999,18.879999,4151047,UA,Under Armour Inc Class C,섬유 및 의류,9.880241271958635,,,0.5870709285714282,0.8346521283081799,0.27137025201976406,1.1387903509902784,0.17386595935989724,15.470599860000002
2018-05-29,18.65,18.85,18.3048,18.57,18.57,2723064,UA,Under Armour Inc Class C,섬유 및 의류,8.39033243801377,,,0.5892279999999998,-0.5261104360281612,0.20794600731219282,0.8534573656913975,0.20747901068145222,15.56039986
2018-05-30,18.65,19.290001,18.65,19.200001,19.200001,3263689,UA,Under Armour Inc Class C,섬유 및 의류,9.830498713408065,,,0.6135138571428571,1.0268733014995355,0.28129410027644536,-0.4241508522242645,0.2316584689070694,15.66299988
2018-05-31,19.25,19.535,18.879999,18.92,18.92,3959219,UA,Under Armour Inc Class C,섬유 및 의류,8.317893267465127,,,0.6352997857142854,-0.4407383825656192,0.2371731153566719,0.3677653630435422,0.29908868501083513,15.76119988
2018-06-01,19.120001,19.43,18.950001,19.33,19.33,2977537,UA,Under Armour Inc Class C,섬유 및 의류,8.512852750845479,,,0.6377997857142851,0.642834960411329,0.2570897930431744,-0.5630375671517043,0.24297085468098695,15.866399880000001
2018-06-04,19.52,20.6,19.42,20.469999,20.469999,6047989,UA,Under Armour Inc Class C,섬유 및 의류,13.058232097796285,,,0.6921569999999997,1.6470237243862356,0.3988816505946788,1.1406159863484369,0.3544568179364509,16.00159986
2018-06-05,20.469999,21.299999,20.1,21.299999,21.299999,5357291,UA,Under Armour Inc Class C,섬유 및 의류,16.090348979875625,,,0.7067998571428566,1.1743069719271897,0.43705873802583545,1.0907962937217304,0.3407056890721484,16.15319984
2018-06-06,21.459999,22.58,21.32,22.1,22.1,9962960,UA,Under Armour Inc Class C,섬유 및 의류,17.84503420689678,,,0.6989427142857139,1.14458736552904,0.41273799907602227,0.14899377147230342,0.27382102630195654,16.305999840000002
2018-06-07,22.389999,22.459999,21.41,21.65,21.65,5458373,UA,Under Armour Inc Class C,섬유 및 의류,14.098461681917907,,,0.7303712857142853,-0.6161249884843348,0.41317764119609157,-0.532202100032553,0.2742482664929616,16.45259984
2018-06-08,21.57,22.4,21.379999,22.4,22.4,4490046,UA,Under Armour Inc Class C,섬유 및 의류,16.03178401948062,,,0.7682284999999993,0.9762720336462403,0.46766454437384,0.6145271319223964,0.2832272685323041,16.616799840000002
2018-06-11,22.440001,22.5,22.110001,22.17,22.17,4748416,UA,Under Armour Inc Class C,섬유 및 의류,13.271913814034164,,,0.7714427857142852,-0.2981426545936754,0.4496840362723885,-0.42803429120344705,0.3115768064167347,16.77319984
2018-06-12,22.290001,22.299999,21.950001,22.129999,22.129999,3171840,UA,Under Armour Inc Class C,섬유 및 의류,11.414926888843935,,,0.7678712142857138,-0.05209337094008629,0.4647446393585194,-0.2705875014632502,0.28665414254348276,16.93599982
2018-06-13,22.040001,22.280001,21.73,21.77,21.77,3294141,UA,Under Armour Inc Class C,섬유 및 의류,8.880243005496924,,,0.7764427142857137,-0.4636517200514684,0.42167516542413497,0.05340920921060488,0.30710719271008075,17.07679982
2018-06-14,21.790001,22.120001,21.41,21.73,21.73,3730286,UA,Under Armour Inc Class C,섬유 및 의류,7.6026212033395435,,,0.7764428571428564,-0.05151699140770074,0.3570122815454789,-0.381194168957572,0.2006534993834214,17.19859982
2018-06-15,21.549999,21.98,21.34,21.469999,21.469999,4358892,UA,Under Armour Inc Class C,섬유 및 의류,5.575722103080727,,,0.780014285714285,-0.33332851046684037,0.2735850930615488,-0.2010950651948528,0.10494739822734057,17.3241998
2018-06-18,21.280001,21.57,20.469999,21.559999,21.559999,3574568,UA,Under Armour Inc Class C,섬유 및 의류,5.424190083581792,,,0.817500142857142,0.1100917238808695,0.3190281044836225,0.4080887309796864,0.07313535289078978,17.46039978
2018-06-19,21.17,21.43,20.7248,20.860001,20.860001,3272942,UA,Under Armour Inc Class C,섬유 및 의류,1.7401843930459293,,,0.8257285714285708,-0.8477337762322467,0.18512759893135233,-0.2663363894696258,0.08440781451612112,17.589599800000002
2018-06-20,21.07,21.43,20.860001,21.360001,21.360001,2494607,UA,Under Armour Inc Class C,섬유 및 의류,3.179455933363551,,,0.8196569999999994,0.6100112608078749,0.26018114488660193,0.353016646618107,0.08335433477144717,17.72519982
2018-06-21,21.16,21.67,21.025,21.08,21.08,1916885,UA,Under Armour Inc Class C,섬유 및 의류,1.7151494818565594,,,0.8292998571428569,-0.3376354132806375,0.19014754676574716,0.6422008006064769,0.16944278961131726,17.852599820000002
2018-06-22,21.27,21.360001,20.77,20.790001,20.790001,3344183,UA,Under Armour Inc Class C,섬유 및 의류,-0.4023577673665124,,,0.7807284999999996,-0.3714466680798745,0.04597109016102501,-0.6572791679702877,0.04102170715997978,17.96859984
