Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name,Industry,RS,150MA,MA150_Slope
2021-03-04,17.389999,17.389999,16.4,16.809999,15.237773,275300,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-05,17.16,17.190001,16.469999,17.01,15.419068,264200,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-08,17.1,17.42,16.83,17.389999,15.763524,412300,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-09,17.379999,17.389999,16.82,17.15,15.545972,221400,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-10,17.389999,17.52,17.09,17.4,15.772587,185200,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-11,17.4,17.719999,17.1,17.5,15.863235,220500,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-12,17.52,18.23,17.440001,18.17,16.470573,205100,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-15,18.139999,18.629999,17.790001,18.469999,16.742512,172600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-16,18.42,18.469999,17.690001,17.83,16.162371,139400,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-17,17.83,18.26,17.700001,18.09,16.398058,110100,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-18,18.01,18.49,17.940001,18.07,16.379925,134200,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-19,18.120001,18.18,17.25,17.26,15.645684,429400,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-22,17.32,17.4,16.549999,16.74,15.174319,144600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-23,16.809999,16.969999,16.389999,16.43,14.893313,149800,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-24,16.559999,17.16,16.379999,16.450001,14.911444,168000,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-25,16.4,16.950001,16.02,16.870001,15.292163,134500,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-26,17.209999,17.41,16.99,17.309999,15.69101,148000,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-29,17.1,17.6,16.9,16.940001,15.355615,125200,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-30,17.030001,17.35,16.93,17.35,15.727266,104500,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,,,
2021-03-31,17.129999,17.15,16.620001,16.65,15.215514,325400,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-5.073017897873977,,
2021-04-01,16.59,17.1,16.5,17.1,15.626743,193400,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-3.420592676497858,,
2021-04-05,17.17,17.27,16.66,16.940001,15.480529,148000,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-5.392395943427575,,
2021-04-06,16.860001,17.35,16.860001,17.26,15.772959,190000,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-3.164997421802962,,
2021-04-07,17.370001,17.6,17.059999,17.42,15.919172,160000,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-2.237411655752175,,
2021-04-08,17.33,17.33,16.99,17.25,15.763822,92800,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-3.3186652349110113,,
2021-04-09,17.27,17.389999,17.1,17.27,15.782097,122300,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-3.6609816910436077,,
2021-04-12,17.32,17.360001,17.1,17.280001,15.791235,109600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-3.1157728422223308,,
2021-04-13,17.23,17.51,17.059999,17.379999,15.882621,79600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-2.358506461707055,,
2021-04-14,17.42,17.58,17.299999,17.32,15.827788,76900,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.953644797635934,,
2021-04-15,17.5,17.51,17.24,17.49,15.983142,68000,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.6665321953622914,,
2021-04-16,18.0,18.23,17.780001,18.02,16.467482,255500,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.316786891764532,,
2021-04-19,18.16,18.16,17.809999,18.040001,16.48576,141800,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,2.063642757796602,,
2021-04-20,18.09,18.16,17.629999,17.84,16.302988,122100,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.5440297401041692,,
2021-04-21,17.9,18.34,17.709999,18.209999,16.641109,125600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,2.4991468245757487,,
2021-04-22,18.32,18.49,17.92,17.940001,16.394373,87900,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.78797786310525,,
2021-04-23,17.959999,18.18,17.940001,18.1,16.540588,80900,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.5678778447738129,,
2021-04-26,18.219999,18.33,18.049999,18.120001,16.558868,123000,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.5327719800585449,,
2021-04-27,18.33,18.4,18.09,18.280001,16.705082,69700,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,2.330840520474897,,
2021-04-28,18.41,18.6,18.290001,18.299999,16.723354,68800,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,2.5394019789657385,,
2021-04-29,18.379999,18.620001,18.200001,18.41,16.823881,59800,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,2.246546228953683,,
2021-04-30,18.280001,18.360001,17.92,18.17,16.604557,130600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.535911030281989,,
2021-05-03,18.370001,18.5,18.17,18.33,16.750774,185700,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.8899967970553933,,
2021-05-04,18.299999,18.58,18.219999,18.4,16.814741,105400,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,2.7495047333939926,,
2021-05-05,18.360001,18.4,18.059999,18.360001,16.778189,118200,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,2.292581160806173,,
2021-05-06,18.41,18.940001,18.35,18.93,17.299078,150700,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,4.256814058366309,,
2021-05-07,18.799999,19.030001,18.459999,18.809999,17.189419,97300,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,2.527725122044111,,
2021-05-10,18.84,19.040001,18.610001,18.65,17.043203,153300,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,2.4125951913032795,,
2021-05-11,18.299999,18.549999,18.209999,18.35,16.769051,109100,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.386884846023273,,
2021-05-12,18.27,18.379999,17.940001,17.969999,16.421787,144700,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.2040070672368008,,
2021-05-13,18.040001,18.469999,18.02,18.370001,16.787325,102500,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.8941880274524037,,
2021-05-14,18.370001,18.57,18.26,18.540001,16.94268,84200,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.1679817483179145,,
2021-05-17,18.5,18.620001,18.27,18.35,16.769051,106300,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,0.30016298844595113,,
2021-05-18,18.08,18.370001,18.0,18.030001,16.47662,81800,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-0.6627613595319382,,
2021-05-19,18.0,18.049999,17.57,18.02,16.467482,96600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-0.4418089524209745,,
2021-05-20,17.91,18.030001,17.610001,18.02,16.467482,109400,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.4749828817901434,,
2021-05-21,18.200001,18.200001,17.9,18.059999,16.504032,78100,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.1964640074077937,,
2021-05-24,17.98,18.34,17.85,18.209999,16.641109,93000,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.3666932281514388,,
2021-05-25,18.26,18.450001,18.040001,18.040001,16.48576,113300,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-2.013906814467814,,
2021-05-26,18.110001,18.379999,18.1,18.32,16.741634,60500,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-0.6697666593897256,,
2021-05-27,18.309999,18.5,18.24,18.27,16.695942,110400,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.0310529981598426,,
2021-05-28,18.309999,18.33,18.16,18.280001,16.705082,60700,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.055717237579501,,
2021-06-01,18.4,18.73,18.280001,18.639999,17.034063,122900,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,0.8690764485789648,,
2021-06-02,18.75,18.799999,18.549999,18.75,17.134586,67900,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.2745097320989718,,
2021-06-03,18.68,18.68,18.42,18.57,16.970095,90000,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,0.6406386473800652,,
2021-06-04,18.59,18.639999,18.370001,18.42,16.833017,79600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-0.8767573934705286,,
2021-06-07,18.42,18.959999,18.42,18.790001,17.171143,95700,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.193035296985201,,
2021-06-08,18.75,19.629999,18.75,19.49,17.810833,144000,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,4.756348855293169,,
2021-06-09,19.620001,19.809999,19.450001,19.74,18.039293,182800,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,5.982367022852708,,
2021-06-10,19.82,19.82,19.459999,19.629999,17.93877,113600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,4.657383078732025,,
2021-06-11,19.780001,19.780001,19.52,19.65,17.957047,64800,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,4.372227292270159,,
2021-06-14,19.73,19.799999,19.43,19.57,17.88394,85000,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,3.5753037618549532,,
2021-06-15,19.6,19.700001,19.25,19.469999,17.792557,75500,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,3.0480468186943055,,
2021-06-16,19.5,19.709999,19.360001,19.59,17.902214,91800,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,3.929485043256342,,
2021-06-17,19.65,19.65,19.040001,19.450001,17.774281,162900,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,2.9680188012942477,,
2021-06-18,19.370001,19.450001,19.01,19.030001,17.390465,232100,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.8171961203558684,,
2021-06-21,19.120001,19.690001,19.07,19.66,17.966187,131100,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,3.3806905602726145,,
2021-06-22,19.66,19.66,19.34,19.540001,17.856525,84600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.9283527493393793,,
2021-06-23,19.610001,19.709999,19.34,19.57,17.88394,95000,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.850192096836567,,
2021-06-24,19.540001,19.629999,19.360001,19.59,17.902214,84500,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.113514507614366,,
2021-06-25,19.65,19.969999,19.540001,19.950001,18.231199,304400,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,2.2791883226913168,,
2021-06-28,19.9,19.9,19.07,19.35,17.682896,146800,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.2013309717958887,,
2021-06-29,19.41,19.610001,19.27,19.370001,17.701172,131000,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.210295940299999,,
2021-06-30,19.32,19.66,19.32,19.379999,17.710306,142200,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.3486307681518261,,
2021-07-01,19.24,19.48,19.110001,19.280001,17.830538,141800,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-2.40381414617028,,
2021-07-02,19.43,19.43,19.040001,19.219999,17.775047,92300,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-3.4964889190258086,,
2021-07-06,19.07,19.17,18.700001,19.07,17.63632,103100,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-3.9976286477334644,,
2021-07-07,18.950001,19.1,18.76,18.91,17.488352,100500,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-4.839289411486691,,
2021-07-08,18.76,18.969999,18.440001,18.620001,17.220156,138300,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-5.105718160104056,,
2021-07-09,18.809999,19.139999,18.75,19.129999,17.691813,104700,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-3.324989699675218,,
2021-07-12,19.0,19.629999,18.950001,19.610001,18.135725,149600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.0720274019136777,,
2021-07-13,19.6,19.66,19.18,19.190001,17.747305,121800,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-2.6262091604573823,,
2021-07-14,19.190001,19.440001,19.08,19.309999,17.858278,121900,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.946074777430562,,
2021-07-15,19.16,19.35,19.040001,19.23,17.784294,124600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.7844511216390302,,
2021-07-16,19.379999,19.530001,19.09,19.139999,17.701059,90600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.2996247920998738,,
2021-07-19,18.84,18.85,18.120001,18.360001,16.9797,163000,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-3.5195409166731806,,
2021-07-20,18.360001,19.18,18.360001,18.940001,17.516096,127600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.658595801742857,,
2021-07-21,19.110001,19.49,19.0,19.110001,17.673315,95400,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.3465758023157082,,
2021-07-22,19.07,19.07,18.469999,18.610001,17.210907,79200,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-3.7393475562033207,,
2021-07-23,18.620001,18.85,18.459999,18.58,17.183161,81600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-4.449474695904199,,
2021-07-26,18.530001,19.0,18.530001,19.0,17.571587,68700,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-2.117538163902122,,
2021-07-27,18.870001,19.040001,18.709999,18.799999,17.38662,105400,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-2.424176752918439,,
2021-07-28,18.91,19.0,18.65,18.83,17.414368,70800,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.987915950181407,,
2021-07-29,19.09,19.309999,18.93,19.09,17.654819,91000,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-0.835266553639058,,
2021-07-30,19.110001,19.49,18.99,19.07,17.63632,179600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-0.2584648354107322,,
2021-08-02,19.190001,19.59,18.870001,18.99,17.56234,114000,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-0.39336645713412555,,
2021-08-03,19.17,19.299999,18.74,19.25,17.802792,153500,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,0.193008084435764,,
2021-08-04,19.07,19.25,18.809999,18.860001,17.442112,80700,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-1.3172730549569356,,
2021-08-05,18.93,19.360001,18.93,19.360001,17.904522,63400,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,0.6226668848916983,,
2021-08-06,19.58,19.690001,19.219999,19.299999,17.84903,74200,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,0.17506114011849316,,
2021-08-09,19.299999,19.32,18.940001,19.059999,17.627075,63700,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-0.7808037046132532,,
2021-08-10,19.09,19.280001,18.860001,19.209999,17.765799,44700,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,-0.027215176008088537,,
2021-08-11,19.25,19.5,19.120001,19.49,18.024748,57600,UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,1.3325104038871993,,
